phrase,frequency,seed_word,Volume,source_type,word_count,phrase_length,has_question_word,has_best_or_top,is_question_like,query_type,cluster_id_A,cluster_size,is_noise,cluster_label_B,cluster_id_B,direction_keyword
00989 area code,1,code,12100,keyword_tool,3,15,False,False,False,normal,42,502,False,0,code_B0,code
202 telephone code,1,code,12100,keyword_tool,3,18,False,False,False,normal,42,502,False,0,code_B0,code
203 area code,1,code,110000,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
205 area code,1,code,90500,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
206 telephone code,1,code,9900,keyword_tool,3,18,False,False,False,normal,42,502,False,0,code_B0,code
209 area code,1,code,165000,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
212 area code,1,code,49500,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
213 area code,1,code,368000,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
217 area code,1,code,74000,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
224 area code,1,code,74000,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
225 area code,1,code,49500,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
225 area code location,1,code,5400,keyword_tool,4,22,False,False,False,normal,42,502,False,0,code_B0,code
229 area code,1,code,49500,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
229 code,1,code,6600,keyword_tool,2,8,False,False,False,normal,42,502,False,0,code_B0,code
231 area code,1,code,40500,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
239 area code,1,code,90500,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
240 area code,1,code,90500,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
251 area code,1,code,49500,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
256 area code,1,code,60500,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
260 area code,1,code,40500,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
262 area code,1,code,60500,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
267 area code,1,code,110000,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
269 area code,1,code,33100,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
269 telephone area code,1,code,14800,keyword_tool,4,23,False,False,False,normal,42,502,False,0,code_B0,code
