Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results,seed_word,source_file
mathematics in action solution,Informational,49500,"0.66,0.66,0.81,0.66,0.66,0.66,0.81,0.81,1.00,0.00,0.02,0.24",17,2.07,0.0,"AI Overview, Video, Related searches",63600000.0,action,action_broad-match_us_2025-12-12.csv
action film action,Commercial,27100,"0.00,0.00,0.00,0.00,0.20,1.00,0.66,0.66,0.81,0.00,0.01,0.29",27,0.91,0.05,"Sitelinks, Image, Image pack, Video, Video carousel, Related searches",10.0,action,action_broad-match_us_2025-12-12.csv
credit one bank class action settlement,Informational,22200,"0.01,0.00,0.00,0.00,0.00,0.00,0.44,0.07,1.00,0.54,0.01,0.00",13,1.08,0.0,"Sitelinks, AI Overview, Video, People also ask, Related searches",57000000.0,action,action_broad-match_us_2025-12-12.csv
wwe action figures,"Informational, Transactional",22200,"0.66,1.00,0.66,0.44,0.44,0.54,0.44,0.44,0.44,0.54,0.44,0.44",27,0.13,0.93,"Sitelinks, Image, Image pack, Video, Related searches, Popular products, Things to know, Ads bottom",10.0,action,action_broad-match_us_2025-12-12.csv
new action movies,Commercial,14800,"0.36,0.81,1.00,0.44,0.36,0.44,0.29,0.44,0.36,0.36,0.36,0.24",26,0.93,0.15,"Sitelinks, Image, Image pack, Video, Related searches",10.0,action,action_broad-match_us_2025-12-12.csv
short action customs,Navigational,14800,"0.81,1.00,0.81,0.67,0.16,0.24,0.24,0.19,0.36,0.24,0.19,0.29",21,2.8,0.01,"Sitelinks, Video, Related searches",158000000.0,action,action_broad-match_us_2025-12-12.csv
affirmative action definition,Informational,12100,"1.00,0.69,0.55,0.55,0.69,0.55,0.55,0.45,0.10,0.14,0.14,0.55",24,1.04,0.01,"Sitelinks, AI Overview, Instant answer, Video, Related searches",9.0,action,action_broad-match_us_2025-12-12.csv
new jersey political action committee,Informational,12100,"0.01,0.01,0.02,0.00,1.00,0.81,1.00,0.54,0.54,0.00,0.04,0.44",15,0.85,0.12,"AI Overview, Video, Related searches",19600000.0,action,action_broad-match_us_2025-12-12.csv
ninja kidz action park,"Informational, Transactional",12100,"0.54,0.29,0.44,0.44,0.54,1.00,0.66,0.54,0.66,0.81,0.81,0.66",21,1.38,0.04,"Sitelinks, Image, Video, Video carousel, Short videos, People also ask, Related searches, See results about",484000.0,action,action_broad-match_us_2025-12-12.csv
spiderman action figure,"Informational, Transactional",12100,"0.67,0.81,0.67,0.54,0.44,0.44,0.30,0.35,0.67,1.00,0.67,0.67",22,0.49,0.97,"Sitelinks, Image, Image pack, Video, Related searches, Popular products",72600000.0,action,action_broad-match_us_2025-12-12.csv
capital one class action lawsuit,Informational,9900,"0.01,0.02,0.01,0.10,0.54,0.02,0.13,0.07,0.19,0.44,1.00,0.81",16,0.34,0.0,"AI Overview, Video, People also ask, Related searches",210000000.0,action,action_broad-match_us_2025-12-12.csv
capital one class action settlement,Informational,9900,"0.00,0.00,0.27,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.27,1.00",20,0.77,0.0,"AI Overview, Video, Video carousel, Related searches",,action,action_broad-match_us_2025-12-12.csv
dji osmo action 5,Navigational,9900,"0.36,0.54,0.54,0.66,0.54,0.66,0.54,0.54,0.81,0.44,1.00,0.66",25,0.39,1.0,"Sitelinks, Image, Image pack, Video, Video carousel, People also ask, Knowledge panel, Discussions and forums, Related searches, Popular products",10.0,action,action_broad-match_us_2025-12-12.csv
home depot class action lawsuit,Informational,9900,"0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",12,6.35,0.0,"Sitelinks, AI Overview, Image pack, Video, People also ask, Top stories, Related searches",847000.0,action,action_broad-match_us_2025-12-12.csv
class action lawsuit no proof,"Informational, Transactional",8100,"0.81,0.81,0.81,1.00,0.54,0.54,0.81,0.66,0.66,0.66,0.54,0.81",18,1.64,0.23,"Sitelinks, Image pack, Video, Related searches",10.0,action,action_broad-match_us_2025-12-12.csv
credit one class action settlement,Informational,8100,"0.00,0.00,0.00,0.00,0.00,0.00,0.29,1.00,0.08,0.00,0.00,0.00",18,4.24,0.0,"Sitelinks, AI Overview, Video, Related searches",7.0,action,action_broad-match_us_2025-12-12.csv
deadpool action figure,"Informational, Transactional",8100,"0.30,0.67,1.00,0.30,0.10,0.10,0.10,0.09,0.10,0.10,0.12,0.09",25,0.34,1.0,"Sitelinks, Image, Image pack, Video, Related searches, Popular products",13800000.0,action,action_broad-match_us_2025-12-12.csv
dji action 4,Navigational,8100,"0.53,0.81,1.00,0.53,0.67,1.00,0.81,0.67,0.67,1.00,0.81,0.67",28,0.29,1.0,"Sitelinks, Video, Video carousel, People also ask, Knowledge panel, Discussions and forums, Related searches, Popular products",10.0,action,action_broad-match_us_2025-12-12.csv
spider man action figure,"Informational, Transactional",8100,"0.45,0.82,1.00,0.66,0.36,0.18,0.36,0.30,0.30,0.55,0.55,0.45",27,0.49,0.97,"Sitelinks, Image, Image pack, Video, Related searches, Popular products",92400000.0,action,action_broad-match_us_2025-12-12.csv
venom action figure,"Informational, Commercial",8100,"0.54,1.00,0.81,0.43,0.19,0.24,0.12,0.15,0.19,0.19,0.19,0.12",15,0.39,1.0,"Sitelinks, Image, Image pack, Video, Related searches, Popular products",32000000.0,action,action_broad-match_us_2025-12-12.csv
walgreens class action lawsuit,Informational,8100,"0.00,0.66,0.54,1.00,0.36,0.54,0.66,0.07,0.07,0.03,0.03,0.04",26,1.96,0.0,"Sitelinks, AI Overview, Video, Related searches",674000.0,action,action_broad-match_us_2025-12-12.csv
action newsletter,Transactional,6600,"0.00,0.00,0.01,0.00,1.00,0.00,0.00,0.00,0.00,0.01,0.02,0.20",14,2.13,0.0,"Sitelinks, Related searches",1610000000.0,action,action_broad-match_us_2025-12-12.csv
fanf action figure,,6600,"0.36,0.44,0.44,0.24,0.19,0.24,0.24,0.24,0.36,1.00,0.54,0.00",28,0.22,0.88,"Sitelinks, Image, Image pack, Video, People also ask, Related searches, Popular products",10.0,action,action_broad-match_us_2025-12-12.csv
foot action,"Informational, Commercial",6600,"0.13,0.33,1.00,0.67,0.29,0.67,0.33,0.33,0.17,0.29,0.42,0.21",29,0.62,1.0,"Sitelinks, Image, Image pack, Video, People also ask, Related searches, Ads top, Ads bottom",10.0,action,action_broad-match_us_2025-12-12.csv
godzilla action figures,"Informational, Transactional",6600,"0.30,0.44,0.67,1.00,0.44,0.36,0.36,0.30,0.30,0.30,0.36,0.23",29,0.21,0.92,"Sitelinks, Image, Image pack, Video, Video carousel, People also ask, Related searches, Popular products, Things to know, Ads bottom",6.0,action,action_broad-match_us_2025-12-12.csv
goku action figure,"Informational, Transactional",6600,"0.54,0.81,1.00,0.66,0.36,0.24,0.24,0.24,0.29,0.29,0.19,0.24",28,0.25,0.92,"Sitelinks, Image, Image pack, Video, Video carousel, People also ask, Related searches, Popular products",9.0,action,action_broad-match_us_2025-12-12.csv
invincible action figure,"Informational, Commercial",6600,"0.02,0.03,0.04,0.03,0.44,1.00,0.44,0.29,0.19,0.19,0.16,0.10",28,0.47,0.87,"Sitelinks, Image, Image pack, Video, People also ask, Related searches, Popular products",28000000.0,action,action_broad-match_us_2025-12-12.csv
local action group,Informational,6600,"0.10,0.03,0.07,0.01,0.81,1.00,1.00,0.66,0.66,0.00,0.00,0.00",17,0.37,0.0,"AI Overview, Image pack, Video, Related searches",10.0,action,action_broad-match_us_2025-12-12.csv
marvel action figures,Commercial,6600,"0.82,0.82,1.00,0.67,0.20,0.24,0.24,0.24,0.24,0.29,0.36,0.29",26,0.35,0.91,"Sitelinks, Image, Image pack, Video, Related searches, Popular products",10.0,action,action_broad-match_us_2025-12-12.csv
no proof class action lawsuits,Informational,6600,"0.29,0.44,1.00,0.44,0.44,0.66,0.44,0.54,0.29,0.54,0.44,0.66",13,1.64,0.23,"Sitelinks, Video, Related searches",9.0,action,action_broad-match_us_2025-12-12.csv
rainforest action network,Navigational,6600,"0.81,0.81,1.00,0.29,0.10,0.19,0.10,0.08,0.10,0.36,0.44,0.24",19,6.73,0.0,"Sitelinks, Image pack, Video, People also ask, Related searches",6.0,action,action_broad-match_us_2025-12-12.csv
wwe action figure,"Informational, Transactional",6600,"0.44,0.44,0.44,0.36,0.16,0.16,0.09,0.09,0.36,0.67,1.00,1.00",29,0.16,0.87,"Sitelinks, Image, Image pack, Video, Video carousel, Popular products",,action,action_broad-match_us_2025-12-12.csv
action bronson new balance,"Informational, Transactional",5400,"0.54,0.54,0.42,0.42,0.33,0.42,1.00,0.54,0.33,0.33,0.29,0.42",13,0.95,0.98,"Sitelinks, Image, Image pack, Video, Related searches, Popular products",7.0,action,action_broad-match_us_2025-12-12.csv
action gypsum supply,"Navigational, Commercial",5400,"0.82,1.00,0.82,0.82,0.82,0.36,0.23,0.30,0.55,0.30,0.36,1.00",27,1.69,0.05,"Sitelinks, Image, Video, Video carousel, People also ask, Local pack, Related searches",4920000.0,action,action_broad-match_us_2025-12-12.csv
action movies 2025,Commercial,5400,"0.01,0.02,0.04,0.23,0.44,0.54,0.66,0.81,0.81,0.81,0.66,1.00",27,0.39,0.05,"Image, Image pack, Video, People also ask, Related searches",10.0,action,action_broad-match_us_2025-12-12.csv
batman action figures,"Informational, Transactional",5400,"0.54,0.24,0.66,1.00,0.19,0.12,0.12,0.12,0.19,0.44,0.24,0.36",24,0.51,0.94,"Sitelinks, Image, Image pack, Video, Related searches, Popular products, Ads bottom",24100000.0,action,action_broad-match_us_2025-12-12.csv
combat action ribbon,Informational,5400,"0.54,0.81,0.54,0.54,0.81,0.81,0.81,0.66,1.00,0.81,1.00,0.81",20,0.26,0.05,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Knowledge panel, Related searches, Things to know",10.0,action,action_broad-match_us_2025-12-12.csv
credit one bank class action lawsuit,Informational,5400,"0.00,0.03,0.01,0.00,0.00,0.00,0.00,0.02,1.00,0.29,0.05,0.00",14,2.32,0.01,"Sitelinks, AI Overview, Video, Related searches",23200000.0,action,action_broad-match_us_2025-12-12.csv
gi joe action figures,"Informational, Transactional",5400,"0.29,0.66,1.00,0.81,0.29,0.29,0.44,0.44,0.54,0.54,0.66,0.44",29,0.11,0.89,"Sitelinks, Image, Image pack, Video, Video carousel, People also ask, Popular products, Ads bottom",7920000.0,action,action_broad-match_us_2025-12-12.csv
