Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
public agent,Informational,49500,"1.00,0.67,0.67,0.67,0.44,0.36,0.67,0.83,0.83,0.44,0.56,0.44",28,0.00,0.00,"Sitelinks, AI Overview, Image, Image pack, See results about",1070000000
disney travel agents,Navigational,22200,"0.67,0.67,0.67,0.67,0.81,0.67,0.81,0.81,0.81,1.00,0.67,0.54",29,3.38,0.25,"Sitelinks, Image, Video, Video carousel, Related searches",288000000
agentic ai news,Informational,18100,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,1.00",22,7.02,0.01,"Video, Top stories, Related searches",39600000
ice agents mistakenly detain u.s. marshal in arizona,Informational,18100,"1.00,0.00,0.00,0.00",30,0.00,0.00,"Sitelinks, AI Overview, Video, People also ask, Discussions and forums, Related searches",5700
direct act irs border agents funding,Informational,14800,"0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",27,0.00,0.00,"Featured snippet, Video, People also ask, Related searches",1080000
how to become a travel agent,Informational,14800,"0.81,0.66,0.54,1.00,0.66,1.00,0.66,0.66,0.81,0.81,0.66,0.66",25,1.73,0.70,"Sitelinks, AI Overview, Video, Video carousel, Short videos, Discussions and forums, Related searches",1150000000
american modern agent login,"Navigational, Transactional",12100,"0.81,0.81,0.81,1.00,0.81,0.54,0.66,0.81,0.81,0.81,0.81,0.54",25,3.32,0.00,"Sitelinks, Related searches",594000000
chubb agent login,"Navigational, Transactional",12100,"1.00,0.81,0.66,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81",28,6.22,0.00,"Sitelinks, Related searches",3330000
fbi agent salary,Informational,12100,"0.67,0.82,0.82,1.00,0.82,0.82,0.67,0.67,0.67,0.67,0.67,0.67",28,1.28,0.08,"Sitelinks, AI Overview, Video, Short videos, Related searches",6300000
general sales agent,Informational,12100,"0.07,0.00,0.00,0.02,0.07,1.00,0.00,0.00,0.00,0.01,0.01,0.36",9,3.18,0.02,"AI Overview, Image, Video, People also ask, Related searches",498000000
ibet789 agent,Transactional,12100,"0.36,0.54,1.00,0.81,0.66,0.66,0.44,0.44,0.44,0.24,0.44,0.24",14,2.06,0.02,"People also ask, Related searches",155000
messaging security agent,Informational,12100,"0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.44,0.36,0.00,0.02,0.20",26,1.79,0.00,"Featured snippet, Sitelinks, Video, People also ask, Ads bottom",233000000
ads for agents,Informational,9900,"0.00,0.00,0.00,0.00,0.81,0.81,1.00,0.36,0.36,0.00,0.00,0.00",18,7.89,0.08,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches, Ads bottom",1140000000
agent 5.5,Informational,9900,"0.00,0.00,0.00,0.00,0.00,0.81,1.00,0.10,0.02,0.03,0.04,0.07",29,11.19,0.00,"Image, Image pack, Video, Short videos, People also ask",113000000
fake agent,Informational,9900,"1.00,0.67,0.55,0.44,0.24,0.36,0.55,0.82,0.67,0.36,0.44,0.20",27,0.00,0.00,,160000000
sandals travel agent portal,Navigational,9900,"0.54,0.66,0.66,1.00,0.81,0.81,0.66,0.81,0.81,1.00,0.81,0.81",21,10.28,0.02,"Sitelinks, Image, Video, Related searches",395000
how to become a tourist agent,Informational,8100,"0.05,0.01,0.04,0.00,0.66,1.00,0.66,0.44,0.44,0.00,0.05,0.36",16,1.73,0.70,"Sitelinks, AI Overview, Image, Video, Video carousel, Discussions and forums, Related searches",157000000
prep agent agency,"Navigational, Transactional",8100,"0.10,0.03,0.07,0.01,0.81,1.00,0.81,0.66,0.66,0.00,0.07,0.44",18,1.26,0.38,"Sitelinks, Image pack, Video, Video carousel, Related searches, Ads bottom",7610000
ramp agent jobs,Commercial,8100,"0.54,0.44,0.66,0.81,0.81,0.66,0.66,0.81,0.81,0.81,1.00,0.81",28,0.26,0.08,"Sitelinks, Video, Jobs, Related searches",34300000
555mix agent,Informational,6600,"0.29,0.36,1.00,0.66,0.08,0.24,0.19,0.05,0.16,0.13,0.08,0.03",26,2.45,0.00,"Image, Video, Related searches",116000
agente de propaganda medica,Informational,6600,"0.04,0.00,0.03,0.00,0.00,0.13,1.00,0.67,0.00,0.00,0.03,0.44",16,2.45,0.54,"Sitelinks, AI Overview, Image pack, Video, Knowledge panel, Related searches",10
electronic service agent,"Informational, Transactional",6600,"0.00,0.00,0.01,0.00,0.00,0.07,1.00,0.03,0.00,0.00,0.03,0.36",21,4.39,0.39,"Sitelinks, Video, Related searches",483000000
hanover agent login,"Navigational, Transactional",6600,"0.66,0.36,0.44,0.44,0.81,0.81,1.00,0.44,1.00,0.81,0.66,0.81",29,0.21,0.02,"Sitelinks, Related searches",49300000
milwaukee clothing store federal agents,"Informational, Transactional",6600,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00",11,0.00,0.00,"AI Overview, Image, Video, Video carousel, Short videos, Related searches",332000
mycoverageinfo agent,Navigational,6600,"0.36,0.24,0.28,0.15,0.00,0.00,0.00,0.00,0.66,1.00,0.28,0.24",30,54.46,0.01,"Sitelinks, Related searches",3200
sagesure agent login,"Navigational, Transactional",6600,"1.00,0.81,0.81,1.00,0.81,1.00,1.00,1.00,1.00,1.00,1.00,0.81",29,0.00,0.00,"Sitelinks, People also ask, Related searches",3120
server intelligence agent,Informational,6600,"0.00,0.00,0.01,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.02,0.29",17,3.87,0.00,"Sitelinks, AI Overview, Video, Ads bottom",10
agent america marvel,Informational,5400,"0.03,0.00,0.10,0.01,0.81,0.44,0.54,1.00,0.24,0.00,0.02,0.16",22,0.00,0.00,"Sitelinks, Image, Video, Video carousel, People also ask, Knowledge panel, Related searches",17400000
agent dale cooper,"Informational, Transactional",5400,"0.66,0.44,0.54,0.29,0.54,0.29,1.00,0.23,0.44,0.54,0.44,0.15",30,0.00,0.00,"Sitelinks, Image, Video, Video carousel, Knowledge panel, Related searches",12900000
concrete bonding agent,"Informational, Transactional",5400,"0.29,0.24,0.24,0.24,0.36,0.66,0.66,0.66,0.66,0.66,1.00,0.54",14,0.32,0.93,"Sitelinks, Image, Video, Video carousel, Related searches, Popular products",9600000
ezlynx agent login,"Navigational, Transactional",5400,"0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,1.00,0.66,0.54,0.81",16,0.00,0.00,"Sitelinks, Video, Related searches",108000
how much do fbi agents make,Informational,5400,"0.67,0.67,0.67,1.00,0.67,0.67,0.54,0.67,0.67,0.67,0.54,0.67",26,1.45,0.05,"Sitelinks, AI Overview, Video, Short videos, Related searches",78600000
leasing agent jobs,Commercial,5400,"0.54,0.54,0.54,1.00,0.44,0.66,0.66,0.81,1.00,0.66,0.81,0.66",24,0.38,0.13,"Sitelinks, Video, People also ask, Jobs, Related searches, Ads bottom",179000000
my secret agent husband,Informational,5400,"0.02,1.00,0.24,0.13,0.07,0.06,0.04,0.02,0.04,0.02,0.02,0.02",30,3.19,0.01,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, People also ask, Knowledge panel, Related searches",178000000
remote diagnostic agent,"Informational, Transactional",5400,"0.10,0.02,0.01,0.01,0.01,0.01,1.00,0.66,0.81,0.00,0.08,0.54",6,11.10,0.03,"Video carousel, People also ask, Related searches",22600000
ria money agent,Informational,5400,"0.10,0.03,0.16,0.02,0.54,1.00,1.00,1.00,1.00,0.00,0.24,0.81",23,2.28,0.05,"Sitelinks, AI Overview, Image, Video, Related searches",11300000
tower hill agent login,"Navigational, Transactional",5400,"0.82,1.00,1.00,1.00,0.67,0.82,0.82,1.00,0.82,0.82,1.00,0.82",26,0.00,0.00,"Sitelinks, Video, Related searches",93500000
agent aika,Informational,4400,"0.28,0.44,0.28,0.44,0.28,0.44,1.00,0.36,0.36,0.36,0.44,0.54",29,0.00,0.00,"Sitelinks, Video, Video carousel, Knowledge panel, Related searches",1560000
crew member detained by customs agents at logan airport,"Informational, Commercial",4400,"1.00,0.67,0.67,0.67,0.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00",21,0.00,0.00,"Image, Video, Related searches",82300
ethos agent login,"Navigational, Transactional",4400,"0.66,0.54,0.43,0.66,0.66,0.66,0.81,1.00,0.81,0.66,0.81,0.66",16,2.14,0.00,"Sitelinks, Video, Related searches",46200000
free agent qbs,Commercial,4400,"0.24,0.13,0.15,0.19,0.24,1.00,0.15,0.09,0.02,0.09,0.13,0.35",29,0.00,0.00,"Sitelinks, Video, Carousel, Top stories, Related searches",1520000
leasing agent,Commercial,4400,"0.66,0.54,0.54,1.00,0.66,0.66,0.81,0.81,0.81,0.81,0.81,0.54",11,2.10,0.13,"AI Overview, Video, Video carousel, Jobs, Related searches, Ads bottom",158000000
lightspeed filter agent,Informational,4400,"1.00,0.81,0.81,0.81,0.81,1.00,0.81,0.81,0.23,0.10,0.54,1.00",13,3.59,0.03,"Sitelinks, AI Overview, Video, Video carousel, Related searches",287000
us assure agent login,"Navigational, Transactional",4400,"1.00,0.66,0.81,1.00,0.81,1.00,1.00,0.66,0.81,1.00,0.66,0.81",20,0.00,0.00,"Sitelinks, Video, Related searches",84500000
agent cody banks cast,Informational,3600,"1.00,0.81,0.54,0.81,0.28,1.00,0.36,0.43,0.20,0.67,0.36,0.36",30,0.00,0.00,"Sitelinks, Image, Image pack, Video, People also ask, Knowledge panel, Related searches",968000
agent gideon from criminal minds,Informational,3600,"0.00,0.00,0.02,0.00,0.00,0.00,0.81,1.00,1.00,0.00,0.13,0.66",24,0.00,0.00,"Sitelinks, AI Overview, Image, Image pack, Video, Related searches",1010000
agent mulder,Informational,3600,"1.00,0.81,0.54,0.29,0.23,0.35,0.44,0.19,0.35,0.35,0.54,0.16",30,0.00,0.00,"Sitelinks, Image, Video, Video carousel, Knowledge panel, Related searches",8390000
agent patch fortnite,"Informational, Transactional",3600,"0.05,0.16,1.00,0.24,0.05,0.05,0.16,0.16,0.05,0.05,0.16,0.00",27,0.00,0.49,"Sitelinks, Image, Image pack, Video, Video carousel, People also ask, Related searches",1660000
agent red girl double snuggle 2,"Informational, Commercial",3600,"0.01,1.00,0.81,0.01",18,0.00,0.00,Sitelinks,253000
american amicable agent login,"Navigational, Transactional",3600,"0.81,0.54,0.65,0.65,0.54,1.00,0.81,1.00,1.00,1.00,0.81,0.81",29,5.08,0.00,"Video, Related searches",1040000
cna agent login,"Navigational, Transactional",3600,"1.00,0.81,0.81,1.00,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81",24,0.00,0.00,"Sitelinks, Related searches",34600000
crew member detained by customs agents at logan airport.,"Informational, Commercial",3600,"1.00,0.67,0.67,0.67,0.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00",18,0.00,0.00,"Image, Video, Related searches",79700
disney travel agent portal,Navigational,3600,"0.53,0.53,0.53,0.81,1.00,0.66,0.81,0.53,0.66,0.81,1.00,0.81",24,4.31,0.06,"Sitelinks, Video, Related searches, Ads bottom",7880000
grange agent login,"Navigational, Transactional",3600,"0.81,0.65,0.65,0.81,0.81,0.81,1.00,0.81,0.81,0.81,0.81,0.81",20,0.00,0.00,"Sitelinks, Related searches",30600000
how much do travel agents make,Informational,3600,"0.65,0.65,0.65,1.00,0.81,0.81,0.65,0.65,1.00,0.81,0.65,0.65",26,0.90,0.04,"Sitelinks, AI Overview, Video, Related searches",472000000
ice agents middletown confrontation,Informational,3600,"1.00,0.00",24,0.00,0.00,"AI Overview, Image, Image pack, Video, Related searches",20300
ihaveinsurance/agent,Navigational,3600,"0.13,0.19,0.19,0.24,0.19,0.24,0.81,1.00,0.43,0.66,0.81,1.00",25,0.00,0.00,"Sitelinks, Related searches",7180000
loan signing agent,Informational,3600,"0.83,0.55,0.55,1.00,0.55,0.66,0.66,0.55,0.55,0.66,0.55,0.55",24,1.70,0.29,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches",88100000
