Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
snow day calculator,"Informational, Commercial",201000,"0.00,0.09,0.45,0.82,1.00,0.09,0.03,0.00,0.00,0.00,0.00,0.00",27,0.00,0.00,"Sitelinks, Video, Related searches",48000000
height calculator,Informational,90500,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.83,0.83,0.83,0.83,0.67",27,0.00,0.00,"Video, Related searches",429000000
one rep max calculator,"Informational, Transactional",74000,"0.82,0.82,0.82,1.00,1.00,1.00,0.82,0.82,0.67,0.82,0.67,0.67",1,0.01,0.00,"Video, Related searches",188000000
mortgage payoff calculator,"Informational, Commercial",49500,"0.66,0.66,0.81,1.00,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.66",25,0.42,0.04,"Sitelinks, Video, Related searches",86500000
gravel calculator,Informational,40500,"0.54,0.36,0.29,0.36,0.54,1.00,1.00,0.81,0.66,0.66,0.54,0.54",20,0.63,0.01,"Video, Related searches",20900000
long division calculator,"Informational, Commercial",40500,"0.81,1.00,0.66,0.66,0.44,0.44,0.29,0.29,0.08,0.04,0.16,0.29",19,1.29,0.01,"Image pack, Video, Related searches, See results about",105000000
calculator soup,Navigational,33100,"1.00,1.00,1.00,0.80,0.80,0.67,0.80,0.80,0.53,0.33,0.53,0.80",25,0.00,0.00,"Sitelinks, Video, Related searches",33800000
grow a garden calculator,"Informational, Commercial",33100,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,1.00,0.54,0.67,0.44",20,2.25,0.00,"Image, Video, Related searches",45000000
how to calculate square feet,Informational,33100,"1.00,1.00,0.67,0.81,0.81,1.00,1.00,1.00,1.00,1.00,0.81,0.81",18,0.99,0.01,"AI Overview, Video, Video carousel, Short videos, People also ask, Related searches, Questions and answers",69600000
cd rate calculator,Commercial,27100,"1.00,0.82,0.82,0.82,0.82,1.00,1.00,0.67,0.67,0.82,0.82,0.67",29,2.56,0.41,"Video, People also ask, Related searches, Ads top",225000000
cubic yard calculator,"Informational, Commercial",27100,"0.54,0.44,0.44,0.36,0.54,1.00,0.81,0.81,1.00,0.66,0.66,0.54",27,0.16,0.01,"Sitelinks, Video, Related searches",5860000
asphalt calculator,"Informational, Commercial",22200,"0.67,0.54,0.36,0.29,0.44,0.54,0.67,0.67,0.67,0.81,1.00,0.67",14,2.84,0.04,"Video, Related searches, Ads top",28400000
board foot calculator,"Informational, Commercial",22200,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.81,0.81,0.81",24,0.01,0.01,"Video, Related searches",105000000
rv loan calculator,Informational,22200,"0.83,0.67,0.54,0.83,0.83,1.00,1.00,0.83,1.00,0.83,0.83,0.83",28,0.59,0.28,"Related searches, Ads bottom",28000000
terminus calculator,Informational,22200,"0.00,1.00,0.36,0.16,0.13,0.07,0.06,0.07,0.04,0.04,0.04,0.02",22,0.00,0.00,"Sitelinks, Video, Video carousel, Related searches",2150000
blox fruits calculator,"Informational, Transactional",18100,"0.16,0.16,0.44,0.44,0.36,1.00,0.66,0.24,0.20,0.36,0.54,0.66",19,0.00,0.00,"Video, Related searches",1350000
cd interest calculator,Informational,18100,"1.00,0.81,0.81,1.00,0.81,1.00,1.00,0.81,0.81,0.81,0.81,0.81",24,2.37,0.43,"Sitelinks, Related searches",261000000
sat score calculator,"Informational, Commercial",18100,"0.67,0.30,0.36,0.10,0.16,0.67,0.25,0.36,0.54,0.30,1.00,0.67",7,1.91,0.00,"Sitelinks, Video, Related searches",56000000
ap score calculator,Navigational,14800,"0.01,0.00,0.01,0.01,0.02,0.04,0.24,1.00,0.02,0.04,0.00,0.01",29,0.00,0.00,"Sitelinks, Video, Related searches",54300000
apush score calculator,"Informational, Commercial",14800,"0.00,0.00,0.00,0.01,0.01,0.02,0.20,1.00,0.02,0.03,0.00,0.01",15,0.00,0.00,"Video, Related searches",31500
calculadora de horas,"Informational, Commercial",14800,"0.81,0.66,0.66,0.66,0.66,0.81,1.00,0.81,1.00,0.81,1.00,0.81",28,0.00,0.00,"Sitelinks, Video, Related searches",66500000
dave ramsey retirement calculator,Transactional,14800,"0.66,0.54,0.54,0.66,0.54,0.44,0.44,0.54,0.54,0.66,0.81,1.00",30,2.26,0.02,"Sitelinks, Video, People also ask, Related searches",977000
freight class calculator,"Informational, Commercial",14800,"1.00,0.66,0.54,0.81,0.81,0.81,0.66,0.66,0.66,0.81,0.81,0.81",29,3.33,0.30,"Video, Related searches, Ads top, Ads bottom",21700000
grade average calculator,Informational,14800,"0.83,0.67,1.00,0.44,0.44,0.54,0.67,0.67,0.36,0.09,0.12,0.54",30,0.00,0.00,"Sitelinks, Video, Related searches",484000000
land loan calculator,Informational,14800,"0.81,0.81,0.66,1.00,0.81,0.81,0.81,0.66,0.66,0.81,0.66,0.66",25,1.44,0.28,"Sitelinks, People also ask, Related searches",161000000
mixed fraction calculator,"Informational, Commercial",14800,"1.00,0.82,0.55,1.00,0.66,1.00,0.82,0.66,0.23,0.18,0.45,0.66",30,1.40,0.01,"Video, Related searches",37500000
pokemon type calculator,Navigational,14800,"0.67,0.67,0.67,0.67,0.81,1.00,0.81,0.81,0.81,0.67,0.67,0.67",18,0.00,0.00,"Sitelinks, Video, Related searches",29600000
racine carree calculator,"Informational, Transactional",14800,"0.00,0.00,0.01,0.00,0.54,0.54,1.00,0.36,0.29,0.00,0.29,0.24",16,0.23,0.02,"Video, Video carousel, Related searches, See results about",59400
rent affordability calculator,Informational,14800,"0.19,0.36,0.36,0.54,0.54,1.00,1.00,0.81,0.81,0.81,0.66,0.54",23,0.33,0.02,"Video, People also ask, Related searches",39100000
ap lang score calculator,"Informational, Commercial",12100,"0.03,0.02,0.03,0.04,0.04,0.08,0.29,1.00,0.02,0.04,0.02,0.03",16,0.00,0.00,"Video, People also ask, Related searches",1350000
