Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
january 2025 calendar,Informational,165000,"0.11,0.16,0.67,1.00,0.09,0.03,0.01,0.01,0.00,0.00,0.00,0.00",21,0.00,0.54,"Sitelinks, AI Overview, Image, Video, Video carousel, Related searches",917000000
november 2024 calendar,Informational,165000,"0.67,1.00,0.11,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00",26,5.06,0.50,"Sitelinks, Image, Image pack, Video, Related searches",493000000
nyc school calendar,Informational,60500,"0.15,0.15,0.81,1.00,0.81,0.81,1.00,0.45,0.66,0.12,0.45,0.81",19,0.00,0.00,"Sitelinks, Image pack, Video, Related searches",567000000
nyc doe calendar,Informational,49500,"0.30,0.36,1.00,1.00,1.00,1.00,0.81,0.54,0.67,0.30,0.81,1.00",25,0.00,0.00,"Sitelinks, Image pack, Video, Related searches",124000000
chinese gender calendar,"Informational, Transactional",40500,"0.54,0.54,0.30,0.36,0.54,1.00,0.44,0.54,0.54,0.54,0.54,0.44",24,0.50,0.13,"Sitelinks, Image, Image pack, Video, Related searches",177000000
unm calendar 2025 2026,"Navigational, Transactional",40500,"0.66,1.00,0.66,0.54,0.36,0.08,0.02,0.01,0.00,0.00,0.00,0.00",23,0.00,0.00,"Image pack, Related searches",238000
november calendar 2024,Informational,33100,"0.44,1.00,0.07,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",22,0.00,0.51,"Image, Image pack, Video, People also ask, Related searches",498000000
chinese calendar baby gender 2025,Informational,27100,"0.36,0.44,0.66,0.66,0.54,0.44,0.36,0.29,0.66,0.36,1.00,1.00",26,0.00,0.00,"Sitelinks, AI Overview, Image, Image pack, Video, Related searches",18100000
december calendar 2024,Informational,27100,"0.20,0.66,1.00,0.07,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00",28,0.00,0.42,"Sitelinks, Image, Image pack, Video, Related searches",1410000000
pgcps calendar,"Navigational, Transactional",27100,"0.81,1.00,0.81,1.00,0.54,0.66,0.66,0.36,0.29,0.36,0.36,1.00",26,3.00,0.00,"Sitelinks, Image pack, Video, Related searches",201000
february calendar,Informational,22200,"0.04,0.06,0.11,1.00,1.00,0.20,0.07,0.06,0.00,0.00,0.00,0.00",30,0.00,0.26,"Sitelinks, Image, Image pack, Video, Video carousel, Related searches",1390000000
ramadan 2025 calendar,Informational,22200,"0.00,0.02,0.04,0.20,1.00,0.81,0.02,0.01,0.01,0.00,0.00,0.00",28,7.43,0.01,"Sitelinks, Instant answer, Image, Image pack, Video, Knowledge panel, Related searches, Ads bottom",44500000
cms calendar,Informational,18100,"1.00,1.00,0.81,1.00,0.81,0.66,0.54,0.54,0.29,0.24,0.66,1.00",11,0.00,0.00,Related searches,203000000
hisd calendar,Informational,18100,"0.67,1.00,0.54,1.00,0.81,0.54,0.36,0.44,0.13,0.19,0.36,0.44",29,0.00,0.00,"Image pack, Video, Related searches",637000
september 2024 calendar,Informational,18100,"1.00,0.20,0.20,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10",30,2.61,0.51,"Sitelinks, Image, Image pack, Video carousel, Related searches",1250000000
wcpss calendar,"Informational, Transactional",18100,"1.00,0.82,0.67,0.82,0.67,0.44,0.55,0.55,0.30,0.24,0.55,0.67",23,0.00,0.00,"Image pack, Video, Related searches",388000
asu academic calendar,Navigational,14800,"0.81,0.81,0.81,1.00,0.81,0.54,0.44,0.54,0.36,0.44,0.81,0.66",25,0.00,0.00,"Sitelinks, Video, Related searches",20300000
beanie boo calendar,Commercial,14800,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00",26,0.01,0.05,"Sitelinks, Image, Image pack, Video, Related searches",1210000
calendar october 2024,Informational,14800,"1.00,0.08,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",29,0.64,0.44,"Image, Image pack, Video, Related searches",1420000000
frisco isd calendar,"Informational, Navigational",14800,"0.81,0.81,1.00,0.81,0.67,0.54,0.81,0.30,0.10,0.30,0.67,0.81",29,0.00,0.00,"Image pack, Video, Related searches",1710000
nycdoe calendar,Informational,14800,"0.25,0.54,0.30,0.67,0.36,0.36,0.36,0.54,0.30,0.06,0.30,1.00",22,0.00,0.00,"Sitelinks, Image pack, Video, Related searches",1500000
ramadan calendar 2025,Informational,14800,"0.01,0.02,0.05,0.16,0.54,1.00,0.03,0.01,0.01,0.00,0.00,0.00",21,7.43,0.01,"Sitelinks, Instant answer, Image, Image pack, Video, Knowledge panel, Related searches",43700000
