Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
sewer inspection camera,"Informational, Transactional",40500,"0.02,0.01,0.00,0.01,0.66,0.81,0.66,0.81,0.81,1.00,1.00,0.81",25,9.19,0.56,"Sitelinks, Image, Image pack, Video, Related searches, Popular products",22100000
mirrorless camera,Commercial,27100,"0.67,0.67,0.67,0.83,0.67,0.67,0.56,0.56,1.00,1.00,0.83,0.56",23,0.28,0.90,"Sitelinks, Image, Image pack, Video, People also ask, Related searches, Popular products, Things to know",32400000
storing camera,Informational,22200,"0.00,0.00,0.01,0.00,0.66,1.00,0.54,0.24,0.20,0.00,0.02,0.16",12,1.00,0.39,"Sitelinks, Image, Video, Video carousel, Related searches",78700000
camera attachment nyt,Informational,18100,"1.00,0.00",24,0.00,0.00,"Featured snippet, Related searches",309000
snapshot wisconsin trail camera photos,Informational,18100,"0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00",30,0.00,0.00,"Sitelinks, AI Overview, Image, Video, Video carousel, People also ask, Discussions and forums, Related searches",155000
backup camera,"Informational, Transactional",14800,"0.67,0.54,0.67,0.67,0.54,0.81,0.67,0.54,0.67,1.00,0.54,0.54",27,0.36,1.00,"Sitelinks, Image, Video, Video carousel, Discussions and forums, Related searches, Popular products",495000000
bird feeder with camera,Commercial,14800,"0.10,0.81,1.00,0.44,0.20,0.36,0.36,0.54,0.44,0.20,0.16,0.10",30,0.93,1.00,"Sitelinks, Image, Video, Discussions and forums, Related searches, Popular products",44900000
camera video video,"Informational, Transactional",14800,"1.00,1.00,1.00,0.81,0.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00",27,0.56,0.86,"Sitelinks, Image, Video, Video carousel, Related searches, Popular products",1750000000
35mm film camera,Commercial,12100,"0.44,0.44,0.66,0.54,0.36,0.44,0.29,0.29,0.54,0.66,1.00,0.81",23,0.31,0.87,"Sitelinks, Image, Video, Related searches",23300000
acer camera quality,Informational,12100,"0.05,0.02,0.03,0.00,0.54,0.81,1.00,0.54,0.44,0.00,0.05,0.67",17,0.00,0.00,"Sitelinks, AI Overview, Image pack, Video, Video carousel, Related searches, Popular products",17000000
camera drawing,Informational,12100,"0.44,0.29,0.29,0.36,0.24,0.36,0.54,0.54,0.19,0.19,1.00,0.81",30,0.56,0.01,"Image, Image pack, Video, Short videos, Related searches",532000000
camera emoji,Informational,12100,"0.66,0.81,0.66,0.54,0.66,1.00,0.66,0.66,0.66,0.66,0.81,0.81",30,0.00,0.00,"Sitelinks, Image, Image pack, Video, Related searches",141000000
tornado spotted at florida intersection via traffic camera,Informational,12100,"1.00,0.20,0.00,0.00,0.00",24,0.00,0.00,"AI Overview, Video, Short videos, Related searches",19700
underwater camera,Commercial,12100,"0.54,0.54,0.81,1.00,0.67,0.81,0.54,0.67,0.81,0.81,0.67,0.44",27,0.36,1.00,"Sitelinks, Image, Video, People also ask, Related searches, Popular products",153000000
camera bbw,"Informational, Transactional",9900,"0.81,0.81,0.81,1.00,0.81,1.00,0.81,0.81,0.81,0.81,0.81,0.81",2,0.00,0.00,"Sitelinks, Image pack, Video carousel",4010000
camera nikon s6900,Commercial,9900,"0.56,0.67,0.81,0.67,0.56,0.81,0.67,1.00,0.67,0.00,0.08,0.44",24,0.20,0.97,"Sitelinks, Image, Image pack, Video, Video carousel, Discussions and forums, Related searches, Popular products",316000
