Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
cartoon network characters,Informational,12100,"1.00,0.82,0.67,0.82,0.82,0.67,0.55,0.67,0.67,0.55,0.67,0.55",29,0.00,0.00,"Image, Image pack, Video, Carousel, Related searches",148000000
network cartoon characters,Informational,5400,"0.02,0.00,0.07,0.01,0.01,1.00,1.00,0.66,0.02,0.00,0.08,0.54",30,0.00,0.00,"Image, Image pack, Video, Carousel, Related searches",145000000
cartoon network cartoon characters,Informational,4400,"0.29,0.16,0.44,0.44,1.00,0.24,0.05,0.05,0.05,0.16,0.05,0.66",28,0.00,0.00,"Sitelinks, Image, Image pack, Video, Carousel, Related searches",531000000
cartoon network porn,"Informational, Commercial",4400,"0.30,0.22,1.00,0.22,0.44,0.35,0.54,0.54,0.54,0.54,0.67,0.54",28,0.00,0.00,,163000000
cartoon network shows 90s and 2000s,Informational,2900,"0.81,0.81,0.44,0.35,0.30,1.00,0.67,0.67,0.44,0.81,0.09,0.44",29,0.00,0.00,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches",16200000
cartoon network store,"Informational, Commercial",2400,"1.00,1.00,1.00,0.40,0.60,0.60,0.60,0.40,0.40,0.40,0.40,0.40",19,0.16,0.25,"Sitelinks, Image, Image pack, Video, People also ask, Related searches",116000000
hbo max cartoon network series removal,Informational,2400,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00",23,0.00,0.00,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, Related searches",319000
mad in cartoon network,Informational,2400,"0.19,0.15,0.13,0.10,0.15,1.00,1.00,0.43,0.66,0.00,0.05,0.43",25,0.00,0.00,"Sitelinks, AI Overview, Image, Video, Video carousel, Knowledge panel, Related searches",23200000
who framed roger rabbit on cartoon network,Informational,2400,1.00,23,0.00,0.00,"Sitelinks, AI Overview, Image, Image pack, Video, Related searches",389000
cartoon network tv listing,Informational,1900,"0.13,0.07,0.29,0.03,1.00,0.66,0.53,0.44,0.66,0.00,0.16,0.44",19,0.00,0.00,"Sitelinks, Image, Video, Related searches",189000000
cartoon network using ai,Informational,1900,"1.00,0.00",20,0.00,0.00,"Sitelinks, AI Overview, Image, Video, Video carousel, People also ask, Related searches",10
cartoon network warner bros and discovery split,"Informational, Transactional",1900,"1.00,0.00",25,0.00,0.00,"Sitelinks, AI Overview, Image, Video, Video carousel, People also ask, Related searches",10
