Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
disney channel schedule,"Informational, Commercial",18100,"0.81,0.81,0.81,0.81,0.66,0.54,0.54,0.66,0.81,1.00,0.66,0.54",22,2.16,0.00,"Sitelinks, Image, Video, Related searches",348000000
sankaku channel,Informational,18100,"0.67,0.67,0.55,0.67,0.67,0.55,0.55,0.82,1.00,0.82,0.44,0.24",23,0.00,0.00,,2890000
alternative delivery channels,Informational,14800,"0.00,0.00,0.01,0.00,0.81,0.54,1.00,0.54,0.29,0.00,0.03,0.29",12,2.73,0.02,"AI Overview, Video, People also ask, Discussions and forums, Related searches",163000000
channel with 2,Informational,14800,"0.81,0.81,0.81,1.00,0.81,0.81,0.81,0.81,0.00,0.00,0.04,0.36",17,1.11,0.00,"Sitelinks, AI Overview, Video, People also ask, Related searches",4080000000
what channel is espn on directv,Informational,14800,"1.00,0.67,0.67,1.00,0.44,0.44,0.44,0.67,0.44,0.36,0.67,1.00",29,3.13,0.00,"AI Overview, Video, Related searches",7170000
what channel is the eagles game on,Informational,14800,"0.08,0.16,0.16,1.00,0.03,0.00,0.00,0.00,0.00,0.00,0.10,0.44",30,3.24,0.03,"Sitelinks, Video, People also ask, Top stories, Related searches",218000000
debate tonight time and channel,Informational,12100,"1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",27,0.00,0.00,"Image pack, Video, Related searches",48200000
what channel is the lions game on,Informational,12100,"0.20,0.82,0.67,1.00,0.00,0.00,0.00,0.00,0.00,0.03,0.05,0.30",20,2.61,0.03,"Video, Video carousel, Top stories, Related searches",809000000
how to delete youtube channel,Informational,9900,"0.66,0.81,0.66,0.81,0.81,0.66,0.54,0.54,1.00,0.81,0.81,0.66",22,0.72,0.00,"AI Overview, Video, Video carousel, Short videos, Related searches",538000000
what channel is the bruce willis special on tonight,Informational,9900,"1.00,0.44,1.00,0.44,0.36,0.36,0.24,0.03,0.01,0.00,0.00,0.00",25,1.81,0.03,"AI Overview, Video, Video carousel, Related searches",98300000
channel orange vinyl,Commercial,8100,"0.08,0.29,0.36,0.24,0.16,0.16,0.16,0.10,1.00,0.54,0.36,0.16",24,0.42,0.85,"Sitelinks, Image, Image pack, Video, People also ask, Related searches",429000000
j channel,"Informational, Transactional",8100,"1.00,1.00,0.66,0.54,0.54,0.81,0.66,0.81,0.81,0.81,0.81,0.81",6,0.75,0.89,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, Related searches, Popular products",2180000000
