Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
checkers rules,Informational,14800,"0.54,0.81,1.00,0.81,0.67,0.67,0.54,0.67,0.67,0.67,0.67,0.44",24,0.09,0.07,"Featured snippet, Sitelinks, Image, Video, Video carousel, People also ask, Related searches",38400000
checkered rug,"Informational, Transactional",9900,"0.54,0.54,0.44,0.81,1.00,0.81,0.44,0.44,0.44,0.54,0.54,0.44",15,1.24,1.00,"Sitelinks, Image, Image pack, Video, Related searches, Popular products, Shopping ads",31400000
menu for checkers restaurant,Informational,6600,"0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00",26,0.13,0.13,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches, See results about",6430000
checkers fries,Informational,5400,"1.00,0.82,0.67,0.67,0.67,0.82,0.82,0.82,0.82,0.67,0.82,0.82",27,0.24,0.69,"Sitelinks, Image pack, Video, Video carousel, Related searches",7500000
checkered background,Informational,4400,"0.54,0.43,0.36,0.66,0.54,0.66,0.81,0.54,0.66,0.81,1.00,0.81",26,6.65,0.19,"Sitelinks, Image, Image pack, Video, Related searches",367000000
checkers board,"Informational, Transactional",4400,"0.67,0.82,0.82,0.55,0.44,0.82,0.82,0.55,0.55,1.00,0.82,0.67",23,0.37,0.71,"Sitelinks, Image, Video, Video carousel, Related searches, Popular products",118000000
checkers careers,"Navigational, Commercial",4400,"0.54,0.54,0.54,0.67,0.54,0.67,0.36,0.81,0.81,0.67,1.00,0.81",27,1.22,0.08,"Sitelinks, Video, Related searches",34300000
flyordie checkers,Navigational,4400,"1.00,0.82,0.82,0.82,0.67,0.82,0.44,0.55,0.67,0.82,0.36,0.44",25,0.00,0.00,"Sitelinks, Image, Video, Video carousel, Related searches",15100
game rules checkers,Informational,4400,"0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00",17,0.09,0.07,"Sitelinks, AI Overview, Image, Video, Video carousel, Related searches",3580000
how to play chinese checkers,Informational,4400,"0.35,0.54,1.00,0.66,0.54,0.44,0.44,0.35,0.54,0.66,0.66,0.35",12,0.00,0.00,"AI Overview, Image, Image pack, Video, Video carousel, Short videos, Discussions and forums, Related searches",7310000
checkered flag bmw,"Navigational, Transactional",3600,"0.81,0.65,0.81,1.00,0.65,0.54,0.54,0.65,0.81,1.00,0.81,0.81",28,1.72,0.22,"Sitelinks, Image, Video, Knowledge panel, Related searches, Ads bottom",1450000
checkered pants,"Informational, Transactional",3600,"1.00,0.81,0.81,0.81,0.81,0.81,0.67,0.67,0.44,0.54,0.81,0.81",19,0.73,1.00,"Sitelinks, Image, Image pack, Video, Related searches, Popular products",123000000
checkers set up,Informational,3600,"0.44,0.67,0.81,0.53,0.44,0.53,0.53,0.81,0.67,0.67,1.00,0.44",20,0.10,0.04,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, Related searches",38900000
chinese checkers board,"Informational, Transactional",3600,"0.19,0.43,0.54,0.43,0.24,0.36,0.54,0.54,0.81,0.43,0.43,1.00",26,0.30,0.50,"Sitelinks, Image, Video, Video carousel, Knowledge panel, Related searches, Popular products",5630000
rules of checkers,Informational,3600,"0.30,0.35,0.44,0.35,1.00,0.35,0.30,0.44,0.67,0.35,0.35,0.22",16,0.09,0.07,"Sitelinks, AI Overview, Image, Video, Video carousel, Related searches",21100000
checkered garter snake,Informational,2900,"0.43,0.30,0.09,0.11,0.18,0.34,0.82,1.00,0.82,1.00,0.82,0.82",23,0.00,0.00,"Sitelinks, Image, Video, Short videos, Knowledge panel, Related searches",255000
checkered shirt,"Informational, Transactional",2900,"1.00,0.44,0.44,0.44,0.35,0.53,0.53,0.44,0.44,0.35,0.53,0.53",15,1.04,1.00,"Sitelinks, Image, Image pack, Video, Related searches, Popular products",167000000
checkers job openings,"Navigational, Commercial",2900,"0.10,0.03,0.16,0.02,0.54,0.54,0.66,0.29,1.00,0.00,0.01,0.29",23,1.22,0.08,"Sitelinks, People also ask, Jobs, Related searches",2280000
checkers pizza,Commercial,2900,"1.00,0.65,0.65,0.65,0.43,0.81,0.65,0.54,0.43,1.00,0.36,1.00",23,0.98,0.04,"Video, Local pack, Related searches",7540000
checkers rally cheese bites,Informational,2900,1.00,21,0.00,0.00,"Sitelinks, Image pack, Video, People also ask, Knowledge panel, Related searches",131000
chinese checkers rules,Informational,2900,"0.43,0.65,1.00,0.65,0.81,0.81,0.54,0.81,0.81,0.81,0.65,0.43",20,0.00,0.00,"AI Overview, Image, Image pack, Video, Video carousel, Related searches",5770000
checkered flag hyundai,Navigational,2400,"1.00,0.83,0.83,1.00,0.83,1.00,1.00,1.00,0.83,1.00,1.00,0.83",29,2.30,0.95,"Sitelinks, Image, Knowledge panel, Related searches, Ads top",374000
checkered giant rabbit,Informational,2400,"0.44,0.52,0.44,0.66,0.44,0.80,0.80,1.00,0.66,0.66,0.66,0.80",27,0.00,0.00,"Sitelinks, Image, Video, Video carousel, Short videos, Knowledge panel, Related searches",997000
checkers pie,Informational,2400,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00",24,0.00,0.00,"AI Overview, Image, Video, Video carousel, Recipes, Related searches",6280000
chinese checkers directions how to play,Informational,2400,"0.13,0.07,0.29,0.04,1.00,1.00,0.81,0.44,0.81,0.01,0.05,0.44",22,0.00,0.00,"Featured snippet, Image, Image pack, Video, Video carousel, Short videos, People also ask, Discussions and forums, Related searches",789000
daytona checkered crosswalks repainting,"Informational, Transactional",2400,"0.19,0.19,0.19,0.19,1.00,0.19,0.19,0.19,0.19,0.19,0.81,0.05",22,0.00,0.49,"Image, Image pack, Video, Video carousel, People also ask, Related searches",743
how to play chinese checkers rules,Informational,2400,"0.13,0.07,0.29,0.04,1.00,1.00,0.81,0.44,0.81,0.01,0.05,0.44",21,0.00,0.00,"Sitelinks, Image, Image pack, Video, Video carousel, Short videos, Related searches",397000
how to set up checkers,Informational,2400,"0.55,0.82,1.00,0.82,0.65,0.65,0.65,0.82,0.82,1.00,0.65,0.65",29,0.09,0.03,"Featured snippet, Sitelinks, Image, Video, Video carousel, Short videos, Discussions and forums, Related searches",33300000
platform checkered vans,"Informational, Transactional",2400,"1.00,0.81,0.43,0.36,0.36,0.36,0.30,0.30,0.54,0.81,0.81,0.36",22,0.85,1.00,"Sitelinks, Image, Image pack, Video, Related searches, Popular products",3290000
transparent background checkered flag png,Informational,2400,"0.08,0.36,0.08,0.08,0.29,0.08,0.08,1.00,0.19,0.08,0.08,0.00",21,0.00,0.01,"Image, Image pack, Related searches",5330000
black and white checkered,"Informational, Commercial",1900,"0.82,0.82,0.65,0.55,1.00,0.44,0.65,0.65,0.55,0.82,1.00,0.65",15,0.78,0.75,"Sitelinks, Image, Image pack, Video, Related searches, Popular products",164000000
black and white checkered rug,"Informational, Transactional",1900,"0.55,0.45,0.55,0.65,0.55,0.65,0.55,0.55,0.55,0.83,1.00,0.65",12,0.87,1.00,"Sitelinks, Image, Image pack, Video, Related searches, Popular products",7810000
checkered flag bmw virginia beach,"Navigational, Transactional",1900,"0.52,0.44,0.52,0.36,0.44,0.66,0.80,0.36,0.36,0.66,1.00,0.66",26,1.72,0.22,"Sitelinks, Image, People also ask, Knowledge panel, Related searches",192000
checkered floor,"Informational, Transactional",1900,"0.67,0.67,0.67,1.00,1.00,0.79,1.00,0.67,0.54,0.79,0.67,0.54",16,2.98,1.00,"Sitelinks, Image, Image pack, Video, Related searches, Popular products",270000000
checkered wallpaper,"Informational, Commercial",1900,"0.79,1.00,0.54,1.00,1.00,1.00,0.67,1.00,0.79,1.00,1.00,0.79",6,0.93,1.00,"Sitelinks, Image, Image pack, Video, Related searches, Popular products",190000000
checkers application,"Navigational, Transactional",1900,"1.00,0.28,0.24,0.36,0.10,0.19,0.15,0.19,0.15,0.28,0.07,0.24",23,0.68,0.11,"Sitelinks, Video, Knowledge panel, Related searches",32900000
checkers french fries,"Informational, Commercial",1900,"0.44,0.44,0.53,1.00,0.53,0.36,0.67,0.36,0.36,0.44,0.53,0.44",28,0.24,0.69,"Sitelinks, Image pack, Video, People also ask, Related searches",5840000
checkers game rules,Informational,1900,"0.09,1.00,0.34,0.34,0.23,0.23,0.23,0.52,0.23,0.43,0.16,0.43",14,0.09,0.07,"Sitelinks, AI Overview, Image, Video, Video carousel, Related searches",7830000
