Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
clue board game,"Informational, Transactional",22200,"0.67,0.80,0.67,0.67,0.43,0.67,0.53,0.67,0.80,0.67,0.43,1.00",28,0.19,0.72,"Sitelinks, Image, Video, Knowledge panel, Related searches, Popular products",73700000
the hunger games boy crossword clue,"Informational, Commercial",2400,"1.00,0.00",9,0.00,0.00,Related searches,90700
clue board game characters,Informational,1900,"0.81,1.00,0.36,0.43,0.43,0.36,0.36,0.29,0.36,0.36,0.36,0.54",30,0.00,0.50,"Sitelinks, AI Overview, Image, Image pack, Video, Carousel, Discussions and forums, Related searches",17100000
clue games,"Informational, Commercial",1900,"1.00,0.43,0.54,0.66,0.08,0.08,0.13,0.13,0.07,0.10,0.19,0.10",29,0.22,0.77,"Sitelinks, Image, Video, Knowledge panel, Related searches, Popular products",106000000
clue steam free pc game download,Informational,1900,"1.00,0.00",25,0.00,0.00,"Sitelinks, Video, People also ask, Related searches, See results about",10
clue game rules,Informational,1600,"0.44,0.52,1.00,0.66,0.36,0.36,0.36,0.66,0.24,0.36,0.20,0.27",21,0.00,0.00,"AI Overview, Image, Image pack, Video, Video carousel, Short videos, People also ask, Related searches",111000000
weapons of clue game,Commercial,1600,"0.08,0.03,0.10,0.02,0.19,0.16,1.00,0.23,0.19,0.01,0.08,0.16",26,0.00,0.13,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches, Popular products",20700000
weapons on clue game,Informational,1600,"0.08,0.03,0.10,0.02,0.19,0.16,1.00,0.23,0.19,0.01,0.08,0.16",26,0.00,0.13,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches",20800000
characters from clue board game,Informational,1300,"1.00,0.16,0.08,0.44,0.08,0.34,0.44,0.34,0.13,0.55,0.44,0.82",26,0.00,0.50,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, Discussions and forums, Related searches, Popular products",16500000
clue game online,Informational,1300,"0.54,1.00,0.66,0.79,0.24,0.54,0.66,0.54,0.54,0.54,0.41,0.41",28,0.00,0.00,"Sitelinks, AI Overview, Image, Video, People also ask, Related searches",10
weapons in game of clue,Informational,1300,"0.01,0.07,0.10,0.02,0.12,0.16,1.00,0.01,0.12,0.04,0.02,0.01",28,0.00,0.13,"Sitelinks, AI Overview, Image, Video, Video carousel, People also ask, Related searches",21700000
clue 2025 steam free pc game download,"Informational, Transactional",1000,"1.00,0.00",22,0.00,0.00,"Sitelinks, Video, Video carousel, Related searches",393000
harry potter clue game,"Informational, Transactional",1000,"0.46,0.85,1.00,0.46,0.37,0.37,0.37,0.46,0.46,0.37,0.46,0.37",25,0.19,0.89,"Image, Video, Video carousel, People also ask, Discussions and forums, Related searches, Popular products, Ads bottom",6220000
rooms in clue game,Informational,1000,"1.00,0.52,0.68,0.46,0.37,0.46,0.85,0.37,0.46,0.37,0.31,0.52",27,0.00,0.05,"Sitelinks, AI Overview, Image, Image pack, Video, Related searches",17000000
rooms in clue game cluedo,Informational,1000,"0.27,0.08,0.27,0.04,0.44,0.36,1.00,0.52,0.44,0.03,0.05,0.44",27,0.00,0.05,"Sitelinks, AI Overview, Image, Video, Video carousel, People also ask, Related searches",195000
weapons in clue game,Informational,1000,"0.24,0.10,0.45,0.07,0.66,0.24,1.00,0.34,0.17,0.17,0.28,0.24",25,0.00,0.13,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches",21200000
