phrase,seed_word,source_type,frequency,intent,volume,keyword_difficulty,cpc
mathematics in action solution,action,semrush,49500,Informational,49500,17,2.07
action film action,action,semrush,27100,Commercial,27100,27,0.91
credit one bank class action settlement,action,semrush,22200,Informational,22200,13,1.08
wwe action figures,action,semrush,22200,"Informational, Transactional",22200,27,0.13
new action movies,action,semrush,14800,Commercial,14800,26,0.93
short action customs,action,semrush,14800,Navigational,14800,21,2.8
affirmative action definition,action,semrush,12100,Informational,12100,24,1.04
new jersey political action committee,action,semrush,12100,Informational,12100,15,0.85
ninja kidz action park,action,semrush,12100,"Informational, Transactional",12100,21,1.38
spiderman action figure,action,semrush,12100,"Informational, Transactional",12100,22,0.49
capital one class action lawsuit,action,semrush,9900,Informational,9900,16,0.34
capital one class action settlement,action,semrush,9900,Informational,9900,20,0.77
dji osmo action 5,action,semrush,9900,Navigational,9900,25,0.39
home depot class action lawsuit,action,semrush,9900,Informational,9900,12,6.35
class action lawsuit no proof,action,semrush,8100,"Informational, Transactional",8100,18,1.64
credit one class action settlement,action,semrush,8100,Informational,8100,18,4.24
deadpool action figure,action,semrush,8100,"Informational, Transactional",8100,25,0.34
dji action 4,action,semrush,8100,Navigational,8100,28,0.29
spider man action figure,action,semrush,8100,"Informational, Transactional",8100,27,0.49
venom action figure,action,semrush,8100,"Informational, Commercial",8100,15,0.39
walgreens class action lawsuit,action,semrush,8100,Informational,8100,26,1.96
action newsletter,action,semrush,6600,Transactional,6600,14,2.13
fanf action figure,action,semrush,6600,,6600,28,0.22
foot action,action,semrush,6600,"Informational, Commercial",6600,29,0.62
godzilla action figures,action,semrush,6600,"Informational, Transactional",6600,29,0.21
goku action figure,action,semrush,6600,"Informational, Transactional",6600,28,0.25
invincible action figure,action,semrush,6600,"Informational, Commercial",6600,28,0.47
local action group,action,semrush,6600,Informational,6600,17,0.37
marvel action figures,action,semrush,6600,Commercial,6600,26,0.35
no proof class action lawsuits,action,semrush,6600,Informational,6600,13,1.64
rainforest action network,action,semrush,6600,Navigational,6600,19,6.73
wwe action figure,action,semrush,6600,"Informational, Transactional",6600,29,0.16
action bronson new balance,action,semrush,5400,"Informational, Transactional",5400,13,0.95
action gypsum supply,action,semrush,5400,"Navigational, Commercial",5400,27,1.69
action movies 2025,action,semrush,5400,Commercial,5400,27,0.39
batman action figures,action,semrush,5400,"Informational, Transactional",5400,24,0.51
combat action ribbon,action,semrush,5400,Informational,5400,20,0.26
credit one bank class action lawsuit,action,semrush,5400,Informational,5400,14,2.32
gi joe action figures,action,semrush,5400,"Informational, Transactional",5400,29,0.11
jey uso action figure,action,semrush,5400,"Informational, Transactional",5400,24,0.22
sonic action figures,action,semrush,5400,"Informational, Transactional",5400,29,0.46
spider man action figures,action,semrush,5400,"Informational, Transactional",5400,25,0.49
