phrase,frequency,seed_word,Volume,source_type,word_count,phrase_length,has_question_word,has_best_or_top,is_question_like,query_type,cluster_id_A,cluster_size,is_noise
00989 area code,1,code,12100,keyword_tool,3,15,False,False,False,normal,42,502,False
10 top most dangerous cities in america,1,top,5400,keyword_tool,7,39,False,True,False,best_list,-1,3786,True
100 greatest karaoke songs album songs,1,song,12100,keyword_tool,6,38,False,False,False,normal,32,13,False
123 anime,1,anime,8100,keyword_tool,2,9,False,False,False,normal,57,33,False
18th birthday ideas,1,ideas,6600,keyword_tool,3,19,False,False,False,normal,60,37,False
1rm calculator,1,calculator,49500,keyword_tool,2,14,False,False,False,normal,-1,3786,True
2 truths and a lie ideas,1,ideas,8100,keyword_tool,6,24,False,False,False,normal,-1,3786,True
2 weeks notice template,1,template,8100,keyword_tool,4,23,False,False,False,normal,-1,3786,True
2000s style,1,style,12100,keyword_tool,2,11,False,False,False,normal,-1,3786,True
202 telephone code,1,code,12100,keyword_tool,3,18,False,False,False,normal,42,502,False
203 area code,1,code,110000,keyword_tool,3,13,False,False,False,normal,42,502,False
205 area code,1,code,90500,keyword_tool,3,13,False,False,False,normal,42,502,False
206 telephone code,1,code,9900,keyword_tool,3,18,False,False,False,normal,42,502,False
209 area code,1,code,165000,keyword_tool,3,13,False,False,False,normal,42,502,False
212 area code,1,code,49500,keyword_tool,3,13,False,False,False,normal,42,502,False
213 area code,1,code,368000,keyword_tool,3,13,False,False,False,normal,42,502,False
217 area code,1,code,74000,keyword_tool,3,13,False,False,False,normal,42,502,False
21st birthday ideas,1,ideas,8100,keyword_tool,3,19,False,False,False,normal,60,37,False
224 area code,1,code,74000,keyword_tool,3,13,False,False,False,normal,42,502,False
225 area code,1,code,49500,keyword_tool,3,13,False,False,False,normal,42,502,False
225 area code location,1,code,5400,keyword_tool,4,22,False,False,False,normal,42,502,False
229 area code,1,code,49500,keyword_tool,3,13,False,False,False,normal,42,502,False
229 code,1,code,6600,keyword_tool,2,8,False,False,False,normal,42,502,False
231 area code,1,code,40500,keyword_tool,3,13,False,False,False,normal,42,502,False
239 area code,1,code,90500,keyword_tool,3,13,False,False,False,normal,42,502,False
240 area code,1,code,90500,keyword_tool,3,13,False,False,False,normal,42,502,False
251 area code,1,code,49500,keyword_tool,3,13,False,False,False,normal,42,502,False
251 code,1,code,6600,keyword_tool,2,8,False,False,False,normal,-1,3786,True
256 area code,1,code,60500,keyword_tool,3,13,False,False,False,normal,42,502,False
260 area code,1,code,40500,keyword_tool,3,13,False,False,False,normal,42,502,False
262 area code,1,code,60500,keyword_tool,3,13,False,False,False,normal,42,502,False
267 area code,1,code,110000,keyword_tool,3,13,False,False,False,normal,42,502,False
269 area code,1,code,33100,keyword_tool,3,13,False,False,False,normal,42,502,False
269 telephone area code,1,code,14800,keyword_tool,4,23,False,False,False,normal,42,502,False
276 area code,1,code,33100,keyword_tool,3,13,False,False,False,normal,42,502,False
281 area code,1,code,90500,keyword_tool,3,13,False,False,False,normal,42,502,False
2d animation,1,anime,5400,keyword_tool,2,12,False,False,False,normal,-1,3786,True
3 hour glucose test,1,tester,6600,keyword_tool,4,19,False,False,False,normal,-1,3786,True
301 area code,1,code,74000,keyword_tool,3,13,False,False,False,normal,-1,3786,True
302 status code,1,code,5400,keyword_tool,3,15,False,False,False,normal,-1,3786,True
304 area code,1,code,74000,keyword_tool,3,13,False,False,False,normal,42,502,False
305 area code,1,code,135000,keyword_tool,3,13,False,False,False,normal,42,502,False
309 area code,1,code,49500,keyword_tool,3,13,False,False,False,normal,42,502,False
30th birthday ideas,1,ideas,9900,keyword_tool,3,19,False,False,False,normal,60,37,False
310 area code,1,code,135000,keyword_tool,3,13,False,False,False,normal,42,502,False
310 area code location california,1,code,18100,keyword_tool,5,33,False,False,False,normal,42,502,False
310 telephone code,1,code,5400,keyword_tool,3,18,False,False,False,normal,42,502,False
313 area code,1,code,90500,keyword_tool,3,13,False,False,False,normal,42,502,False
313 area code location,1,code,5400,keyword_tool,4,22,False,False,False,normal,42,502,False
314 area code,1,code,90500,keyword_tool,3,13,False,False,False,normal,42,502,False
314 area code location,1,code,5400,keyword_tool,4,22,False,False,False,normal,42,502,False
314 code area,1,code,5400,keyword_tool,3,13,False,False,False,normal,42,502,False
315 area code,1,code,110000,keyword_tool,3,13,False,False,False,normal,42,502,False
316 area code,1,code,49500,keyword_tool,3,13,False,False,False,normal,42,502,False
316 area code location,1,code,5400,keyword_tool,4,22,False,False,False,normal,42,502,False
317 area code,1,code,90500,keyword_tool,3,13,False,False,False,normal,42,502,False
317 area code location,1,code,5400,keyword_tool,4,22,False,False,False,normal,42,502,False
318 area code,1,code,60500,keyword_tool,3,13,False,False,False,normal,42,502,False
318 area code location,1,code,5400,keyword_tool,4,22,False,False,False,normal,42,502,False
318 is what area code,1,code,8100,keyword_tool,5,21,True,False,True,question,42,502,False
319 area code,1,code,40500,keyword_tool,3,13,False,False,False,normal,42,502,False
32 degrees discount code,1,code,6600,keyword_tool,4,24,False,False,False,normal,39,306,False
320 area code,1,code,40500,keyword_tool,3,13,False,False,False,normal,42,502,False
321 area code,1,code,90500,keyword_tool,3,13,False,False,False,normal,42,502,False
323 area code,1,code,165000,keyword_tool,3,13,False,False,False,normal,42,502,False
323 area code location,1,code,9900,keyword_tool,4,22,False,False,False,normal,42,502,False
331 area code,1,code,40500,keyword_tool,3,13,False,False,False,normal,42,502,False
332 area code,1,code,74000,keyword_tool,3,13,False,False,False,normal,42,502,False
336 area code,1,code,74000,keyword_tool,3,13,False,False,False,normal,42,502,False
337 area code,1,code,49500,keyword_tool,3,13,False,False,False,normal,42,502,False
346 area code,1,code,135000,keyword_tool,3,13,False,False,False,normal,42,502,False
352 area code,1,code,90500,keyword_tool,3,13,False,False,False,normal,42,502,False
360 area code,1,code,74000,keyword_tool,3,13,False,False,False,normal,-1,3786,True
361 area code,1,code,40500,keyword_tool,3,13,False,False,False,normal,42,502,False
385 area code,1,code,60500,keyword_tool,3,13,False,False,False,normal,-1,3786,True
386 area code,1,code,60500,keyword_tool,3,13,False,False,False,normal,42,502,False
3rd person point of view,1,viewer,18100,keyword_tool,5,24,False,False,False,normal,-1,3786,True
4 anime,1,anime,14800,keyword_tool,2,7,False,False,False,normal,57,33,False
4 function calculator,1,calculator,8100,keyword_tool,3,21,False,False,False,normal,-1,3786,True
4 panel drug test,1,tester,5400,keyword_tool,4,17,False,False,False,normal,-1,3786,True
401 area code,1,code,74000,keyword_tool,3,13,False,False,False,normal,-1,3786,True
401 k calculator,1,calculator,6600,keyword_tool,3,16,False,False,False,normal,-1,3786,True
401k calculator with match,1,calculator,5400,keyword_tool,4,26,False,False,False,normal,-1,3786,True
401k loan calculator,1,calculator,5400,keyword_tool,3,20,False,False,False,normal,23,58,False
408 area code,1,code,135000,keyword_tool,3,13,False,False,False,normal,42,502,False
408 phone area code,1,code,6600,keyword_tool,4,19,False,False,False,normal,42,502,False
409 area code,1,code,40500,keyword_tool,3,13,False,False,False,normal,42,502,False
40k starter set,1,starter,5400,keyword_tool,3,15,False,False,False,normal,-1,3786,True
412 area code,1,code,74000,keyword_tool,3,13,False,False,False,normal,42,502,False
413 area code,1,code,60500,keyword_tool,3,13,False,False,False,normal,42,502,False
414 area code,1,code,60500,keyword_tool,3,13,False,False,False,normal,42,502,False
415 area code,1,code,165000,keyword_tool,3,13,False,False,False,normal,42,502,False
415 code area,1,code,9900,keyword_tool,3,13,False,False,False,normal,42,502,False
416 code area,1,code,14800,keyword_tool,3,13,False,False,False,normal,42,502,False
419 area code,1,code,60500,keyword_tool,3,13,False,False,False,normal,42,502,False
423 area code,1,code,60500,keyword_tool,3,13,False,False,False,normal,42,502,False
424 area code,1,code,165000,keyword_tool,3,13,False,False,False,normal,42,502,False
424 area code location,1,code,5400,keyword_tool,4,22,False,False,False,normal,42,502,False
425 area code,1,code,74000,keyword_tool,3,13,False,False,False,normal,42,502,False
434 area code,1,code,49500,keyword_tool,3,13,False,False,False,normal,42,502,False
437 area code,1,code,90500,keyword_tool,3,13,False,False,False,normal,42,502,False
440 telephone area code,1,code,9900,keyword_tool,4,23,False,False,False,normal,42,502,False
443 area code,1,code,90500,keyword_tool,3,13,False,False,False,normal,42,502,False
443 phone code,1,code,22200,keyword_tool,3,14,False,False,False,normal,-1,3786,True
458 area code,1,code,22200,keyword_tool,3,13,False,False,False,normal,42,502,False
463 area code,1,code,22200,keyword_tool,3,13,False,False,False,normal,42,502,False
469 area code location,1,code,5400,keyword_tool,4,22,False,False,False,normal,42,502,False
470 area code,1,code,135000,keyword_tool,3,13,False,False,False,normal,42,502,False
470 area code georgia,1,code,12100,keyword_tool,4,21,False,False,False,normal,42,502,False
470 area code location,1,code,6600,keyword_tool,4,22,False,False,False,normal,42,502,False
470 country code,1,code,5400,keyword_tool,3,16,False,False,False,normal,42,502,False
478 area code,1,code,40500,keyword_tool,3,13,False,False,False,normal,42,502,False
479 area code,1,code,49500,keyword_tool,3,13,False,False,False,normal,42,502,False
484 area code,1,code,74000,keyword_tool,3,13,False,False,False,normal,42,502,False
4patriots solar generator,1,generator,5400,keyword_tool,3,25,False,False,False,normal,-1,3786,True
5 love languages test,1,tester,14800,keyword_tool,4,21,False,False,False,normal,-1,3786,True
5 panel drug test,1,tester,12100,keyword_tool,4,17,False,False,False,normal,-1,3786,True
5.1 surround sound system,1,sound,5400,keyword_tool,4,25,False,False,False,normal,-1,3786,True
50 amp generator,1,generator,5400,keyword_tool,3,16,False,False,False,normal,11,23,False
50 best restaurants in the world,1,Best,5400,keyword_tool,6,32,False,True,False,best_list,56,79,False
501 area code,1,code,74000,keyword_tool,3,13,False,False,False,normal,42,502,False
502 area code,1,code,90500,keyword_tool,3,13,False,False,False,normal,42,502,False
503 area code,1,code,90500,keyword_tool,3,13,False,False,False,normal,42,502,False
504 area code location,1,code,5400,keyword_tool,4,22,False,False,False,normal,42,502,False
505 area code,1,code,74000,keyword_tool,3,13,False,False,False,normal,42,502,False
508 area code,1,code,74000,keyword_tool,3,13,False,False,False,normal,42,502,False
509 area code,1,code,60500,keyword_tool,3,13,False,False,False,normal,42,502,False
509 area code location,1,code,6600,keyword_tool,4,22,False,False,False,normal,42,502,False
50th birthday party ideas,1,ideas,6600,keyword_tool,4,25,False,False,False,normal,60,37,False
510 area code,1,code,135000,keyword_tool,3,13,False,False,False,normal,42,502,False
513 area code,1,code,90500,keyword_tool,3,13,False,False,False,normal,42,502,False
515 area code,1,code,60500,keyword_tool,3,13,False,False,False,normal,42,502,False
515 code,1,code,9900,keyword_tool,2,8,False,False,False,normal,42,502,False
516 area code,1,code,135000,keyword_tool,3,13,False,False,False,normal,42,502,False
516 area code location,1,code,5400,keyword_tool,4,22,False,False,False,normal,42,502,False
516 telephone area code,1,code,5400,keyword_tool,4,23,False,False,False,normal,42,502,False
517 area code,1,code,49500,keyword_tool,3,13,False,False,False,normal,42,502,False
518 code area,1,code,27100,keyword_tool,3,13,False,False,False,normal,42,502,False
529 plan calculator,1,calculator,8100,keyword_tool,3,19,False,False,False,normal,-1,3786,True
551 area code,1,code,60500,keyword_tool,3,13,False,False,False,normal,42,502,False
551 is what area code,1,code,12100,keyword_tool,5,21,True,False,True,question,42,502,False
555mix agent,1,agent,6600,keyword_tool,2,12,False,False,False,normal,-1,3786,True
559 area code,1,code,90500,keyword_tool,3,13,False,False,False,normal,42,502,False
559 area code california,1,code,8100,keyword_tool,4,24,False,False,False,normal,42,502,False
561 area code location,1,code,8100,keyword_tool,4,22,False,False,False,normal,42,502,False
562 area code,1,code,110000,keyword_tool,3,13,False,False,False,normal,42,502,False
562 area code location,1,code,8100,keyword_tool,4,22,False,False,False,normal,42,502,False
563 area code,1,code,27100,keyword_tool,3,13,False,False,False,normal,42,502,False
567 area code,1,code,27100,keyword_tool,3,13,False,False,False,normal,42,502,False
570 area code,1,code,60500,keyword_tool,3,13,False,False,False,normal,42,502,False
571 area code,1,code,90500,keyword_tool,3,13,False,False,False,normal,42,502,False
573 area code,1,code,49500,keyword_tool,3,13,False,False,False,normal,42,502,False
574 area code,1,code,33100,keyword_tool,3,13,False,False,False,normal,42,502,False
575 area code,1,code,27100,keyword_tool,3,13,False,False,False,normal,42,502,False
580 area code,1,code,33100,keyword_tool,3,13,False,False,False,normal,42,502,False
585 area code,1,code,74000,keyword_tool,3,13,False,False,False,normal,42,502,False
586 area code,1,code,40500,keyword_tool,3,13,False,False,False,normal,42,502,False
601 area code,1,code,60500,keyword_tool,3,13,False,False,False,normal,42,502,False
602 area code,1,code,110000,keyword_tool,3,13,False,False,False,normal,42,502,False
603 area code,1,code,60500,keyword_tool,3,13,False,False,False,normal,42,502,False
605 area code,1,code,49500,keyword_tool,3,13,False,False,False,normal,42,502,False
606 area code,1,code,49500,keyword_tool,3,13,False,False,False,normal,42,502,False
607 area code,1,code,60500,keyword_tool,3,13,False,False,False,normal,42,502,False
608 area code,1,code,60500,keyword_tool,3,13,False,False,False,normal,42,502,False
609 area code,1,code,90500,keyword_tool,3,13,False,False,False,normal,42,502,False
609 telephone area code,1,code,5400,keyword_tool,4,23,False,False,False,normal,42,502,False
60s style guys,1,style,5400,keyword_tool,3,14,False,False,False,normal,-1,3786,True
60th birthday gift ideas,1,ideas,6600,keyword_tool,4,24,False,False,False,normal,60,37,False
610 area code,1,code,60500,keyword_tool,3,13,False,False,False,normal,42,502,False
610 pa area code,1,code,8100,keyword_tool,4,16,False,False,False,normal,42,502,False
