Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
hi anime,"Informational, Transactional",135000,"0.30,0.24,0.30,0.67,0.82,0.82,0.82,0.54,1.00,0.54,0.82,0.82",21,1.16,0.00,"Sitelinks, Image, Image pack, Video, Related searches",10
anime movies,Commercial,49500,"0.81,1.00,0.81,1.00,0.44,0.67,0.67,0.54,0.67,0.67,1.00,0.54",25,0.46,0.01,"Sitelinks, Image, Image pack, Video, People also ask, Related searches",10
black panther animal,Informational,40500,"0.66,0.81,0.66,0.66,0.54,0.81,1.00,0.81,0.44,0.81,0.66,0.66",28,2.83,0.00,"Sitelinks, AI Overview, Image, Video, Video carousel, Related searches",8
disney animal kingdom,Informational,40500,"0.55,0.67,1.00,0.82,0.44,1.00,0.67,0.82,0.55,0.44,0.67,0.44",29,0.46,0.09,"Sitelinks, Image, Image pack, Video, Local pack, Related searches, Ads bottom",7
nukitashi anime,"Informational, Transactional",40500,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,1.00,1.00,0.66",27,1.84,0.00,"Sitelinks, AI Overview, Image, Image pack, Video, Knowledge panel, Discussions and forums",9
animal in animal,Informational,33100,"0.44,0.44,0.44,0.44,0.36,0.54,0.81,0.81,1.00,0.00,0.02,0.66",19,18.11,0.04,"AI Overview, Image, Image pack, Video, People also ask, Carousel, Related searches",10
go go anime,Informational,27100,"0.66,0.30,1.00,0.44,0.44,0.30,0.10,0.08,0.36,0.20,0.13,0.03",28,4.61,0.01,"Sitelinks, Image, Image pack, Video, Related searches, See results about",9
anime drawings,Informational,22200,"0.54,0.67,0.67,0.67,0.67,0.67,1.00,1.00,0.54,0.54,0.67,1.00",28,1.30,0.00,"Sitelinks, Image, Image pack, Video, Video carousel, Discussions and forums, Related searches",10
anime pahe,Informational,22200,"1.00,0.44,0.55,0.82,0.55,0.67,0.67,0.55,0.36,0.67,0.67,0.55",24,2.59,0.00,"Sitelinks, Video, Related searches",275000
dc animated movies,"Informational, Transactional",22200,"0.44,0.36,0.36,0.44,0.24,0.29,0.24,0.24,0.24,1.00,0.36,0.36",29,1.37,0.01,"Sitelinks, Image, Video, Video carousel, Related searches, See results about",10
spirit animal,Informational,22200,"1.00,0.82,0.82,0.82,0.82,1.00,0.82,0.82,0.66,0.82,1.00,1.00",26,0.19,0.04,"Sitelinks, AI Overview, Image pack, Video, Related searches, Ads middle",510000000
spirit animal quiz,Informational,22200,"0.66,0.82,1.00,1.00,0.82,1.00,0.82,1.00,0.66,0.82,0.82,0.66",17,0.17,0.24,"Sitelinks, Image, Video, People also ask, Knowledge panel, Discussions and forums, Related searches, Ads bottom",160000000
animal crossing characters,Informational,18100,"0.81,1.00,0.81,0.81,0.81,1.00,0.67,0.67,0.81,1.00,0.67,0.56",25,1.70,0.00,"Sitelinks, Image, Image pack, Video, Carousel, Related searches",10
animators frozen 2,Commercial,18100,"0.00,0.00,0.00,0.00,0.16,1.00,0.66,0.24,0.24,0.00,0.01,0.13",27,0.94,0.06,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches, Popular products",8
anime websites free,"Informational, Commercial",18100,"1.00,0.44,0.66,0.81,0.44,0.54,0.44,0.44,0.29,0.24,0.10,0.10",25,3.88,0.03,"Sitelinks, AI Overview, Image, Video, People also ask, Discussions and forums, Related searches",2010000000
funny animal videos,"Navigational, Transactional",18100,"1.00,0.54,1.00,1.00,0.54,0.54,0.81,0.66,0.81,0.66,0.66,0.66",27,0.26,0.01,"Sitelinks, Image, Video, Short videos, Related searches",1180000000
funny animals,"Informational, Transactional",18100,"0.29,0.29,0.29,0.44,0.36,0.54,1.00,0.66,0.36,0.29,0.54,0.44",27,0.17,0.00,"Image, Image pack, Video, Carousel, Related searches",9
kickass anime,Informational,18100,"0.44,0.36,0.54,0.29,1.00,0.66,0.66,0.16,0.44,0.13,0.54,0.10",25,3.62,0.00,"Sitelinks, Image, Image pack, Video, See results about",188000
trzn anime,Informational,18100,"0.81,1.00,0.81,0.81,0.81,0.81,0.66,0.81,0.81,0.81,0.66,0.00",27,0.53,0.00,"Sitelinks, Image, Video, Related searches",6340
4 anime,Informational,14800,"0.29,0.24,0.67,0.44,1.00,0.67,0.24,0.54,0.29,0.24,0.54,0.13",27,3.67,0.00,"Image, Image pack, Video, Related searches",10
animal coloring pages,Informational,14800,"0.55,0.67,0.67,0.82,0.82,1.00,1.00,0.82,1.00,0.82,1.00,0.82",29,1.27,0.12,"Sitelinks, Image, Image pack, Video, Video carousel, Related searches",9
animal crossing villagers,Informational,14800,"0.81,1.00,0.81,1.00,0.81,0.67,0.56,0.67,0.67,0.67,0.36,0.56",26,1.59,0.00,"Sitelinks, Image, Image pack, Video, Video carousel, Related searches, See results about",24300000
