Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
today wordle answers,"Informational, Commercial",201000,"0.00,0.00,0.00,0.00,0.00,0.00,0.54,0.81,0.81,1.00,0.81,0.44",27,2.42,0.00,"Sitelinks, Image, Video, People also ask, Top stories, Related searches",10
nyt spelling bee answers,"Informational, Transactional",49500,"1.00,1.00,0.82,1.00,0.82,1.00,1.00,1.00,0.82,1.00,0.82,1.00",12,3.05,0.00,"Sitelinks, Image pack, Video, People also ask, Related searches",10
spelling bee answers today,"Informational, Transactional",49500,"0.66,0.66,0.66,0.81,0.66,0.81,0.81,1.00,0.81,0.81,0.66,0.81",10,0.04,0.01,"Sitelinks, Image pack, Related searches",10
trivia questions and answers,Informational,33100,"0.54,0.67,0.81,0.67,0.54,0.67,0.54,0.67,0.81,0.81,1.00,0.67",24,0.04,0.31,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Discussions and forums, Related searches, Ads bottom",9
answers to the new york times crossword puzzle,"Informational, Commercial",18100,"0.00,0.00,0.01,0.00,0.00,0.36,0.66,0.81,1.00,0.00,0.02,0.00",26,3.73,0.00,"Sitelinks, Image pack, Video, Top stories, Related searches",10
how to answer tell me about yourself,Informational,14800,"0.81,0.81,0.66,1.00,0.81,0.66,0.81,0.54,0.66,0.54,0.43,0.66",25,0.03,0.12,"Sitelinks, AI Overview, Video, Video carousel, Related searches",10
new york times crossword answers,"Informational, Commercial",12100,"0.13,0.44,0.16,0.29,0.16,0.10,0.13,0.54,1.00,0.54,0.29,0.08",29,3.73,0.00,"Sitelinks, Video, Top stories, Related searches",9
cyber awareness challenge 2025 answers,Informational,9900,"0.81,0.81,0.81,1.00,0.81,0.81,0.81,0.44,0.54,0.54,0.54,0.66",10,0.03,0.04,"Image pack, Video, Related searches, Questions and answers",10
mybusinesscourse answer key,"Informational, Transactional",9900,"0.01,0.01,0.05,0.00,0.54,0.81,1.00,0.67,0.36,0.00,0.00,0.00",22,2.91,0.00,"Sitelinks, Image pack, Video, People also ask, Related searches",30100
answer key,Informational,8100,"0.24,0.24,0.16,0.29,0.19,0.24,0.29,0.19,0.13,0.10,0.24,1.00",24,1.90,0.02,"AI Overview, Video carousel, Related searches",
ar test answers,Informational,5400,"1.00,0.66,0.66,0.54,0.66,0.81,0.66,0.54,0.05,0.02,0.13,0.36",22,2.47,0.01,"Video, People also ask, Related searches",214000000
christmas trivia questions and answers,Informational,5400,"0.00,0.10,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",16,0.04,0.67,"AI Overview, Image, Image pack, Video, Video carousel, Discussions and forums, Related searches, Ads bottom",10
citizenship practice test questions and answers,Informational,5400,"0.44,0.35,0.44,1.00,1.00,1.00,0.81,0.81,0.66,0.66,0.66,0.81",24,0.34,0.05,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Discussions and forums, Related searches, Ads bottom",10
five area codes you should never answer,Informational,5400,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.82,0.53,0.82,0.82",23,0.63,0.01,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Discussions and forums, Related searches",114000000
how do you answer tell me about yourself,Informational,5400,"0.81,0.67,0.54,1.00,0.44,0.30,0.23,0.30,0.36,0.36,0.23,0.54",22,0.05,0.10,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches",10
ixl answers,Informational,5400,"0.29,0.24,0.19,0.24,0.24,0.54,1.00,0.81,0.16,0.04,0.19,0.66",26,1.64,0.02,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches",10
