Keyword,Intent,Volume,Keyword Difficulty,CPC (USD)
anesthesiologist assistant,Informational,60500,26,4.37
physician assistant salary,Informational,49500,24,2.90
administrative assistant,Informational,40500,21,2.31
dental assistant salary,Informational,40500,27,7.52
roadside assistance near me,Transactional,40500,28,3.42
medical assistant jobs near me,Transactional,33100,29,0.86
anesthesiologist assistant salary,Informational,27100,20,3.85
country assistance strategy,Informational,22200,24,4.71
dental assistant jobs near me,Commercial,22200,16,1.14
assistant to the villain,Informational,18100,29,0.41
dental assistant jobs,Commercial,18100,29,1.44
psu physician assistant,Navigational,18100,27,7.13
assist org,Navigational,14800,23,7.87
communicative disorders assistant,Informational,14800,21,4.88
executive assistant jobs,Commercial,14800,22,0.46
penn state university physician assistant,Navigational,14800,29,8.00
personal care assistant,"Informational, Commercial",14800,27,3.46
regional selective assistance,Informational,14800,11,4.20
temple university physician assistant,Navigational,14800,22,3.52
windows 11 update assistant,Informational,14800,27,4.89
anesthesiologist assistant programs,Informational,12100,25,4.28
hochschule physician assistant,Informational,12100,15,4.17
ovary assist symptoms,Informational,12100,28,0.17
what does a medical assistant do,Informational,12100,15,6.81
anesthesia assistant salary,Informational,9900,26,5.33
assistant manager,Informational,9900,27,0.90
assisted pull up machine,Informational,9900,22,0.87
how much do dental assistants make,Informational,9900,17,10.54
job as a lab assistant,Commercial,9900,20,0.68
physician assistant jobs,Commercial,9900,27,0.92
unemployed physician assistant,Informational,9900,16,1.77
assistive devices program application,Informational,8100,11,5.45
certified anesthesiologist assistant,Informational,8100,21,3.91
certified nursing assistant jobs,Commercial,8100,23,1.08
lab assistant jobs,Commercial,8100,25,0.68
left ventricular assist device,Informational,8100,24,1.57
legal assistant vacancy,Commercial,8100,23,0.61
manager and assistant,Informational,8100,21,0.84
market development assistance,"Informational, Commercial",8100,12,3.84
medical assistant job description,"Informational, Commercial",8100,29,4.42
nurse practitioner vs physician assistant,Commercial,8100,28,0.05
part time medical assistant jobs,Commercial,8100,25,0.71
snap assistance texas,Informational,8100,28,2.32
the vampire's assistant,Informational,8100,27,4.20
veterinary assistant,Informational,8100,20,3.09
veterinary assistant vacancy,"Informational, Commercial",8100,26,0.94
assist.org,Navigational,6600,25,7.87
assistance league,Navigational,6600,19,5.80
assistant accounts officer,Informational,6600,19,0.52
assistant section officer,Informational,6600,27,7.02
assistant vice president,Informational,6600,21,0.94
assisted reproductive technology,Informational,6600,25,1.41
assisted reproductive technology jobs,Commercial,6600,12,1.03
computer assisted interview,"Informational, Transactional",6600,10,7.93
government jobs physician assistant,Commercial,6600,29,0.49
how much does a medical assistant make,Informational,6600,18,12.10
how to become a physician assistant,Informational,6600,27,3.97
hr assistant jobs,Commercial,6600,28,0.52
medical assistant duties,Informational,6600,16,4.42
occupational therapy assistant salary,Informational,6600,29,7.67
physician assistant vs nurse practitioner,Commercial,6600,25,0.14
remote medical assistant jobs,Commercial,6600,21,0.59
teaching assistant employment opportunity,Commercial,6600,29,0.76
veteran debt assistance,Informational,6600,21,16.15
administrative assistant job description,Commercial,5400,16,1.55
assistant principal,Informational,5400,16,2.62
assistant statistical officer,Informational,5400,22,7.02
assisted living cost,Informational,5400,16,2.88
communicative disorders assistant certificate,"Informational, Commercial",5400,19,5.10
county assistance office,Commercial,5400,28,3.78
delaware assist,Navigational,5400,22,5.30
how to become an anesthesiologist assistant,Informational,5400,20,4.89
job of hr assistant,Commercial,5400,24,0.52
kick assist,Informational,5400,28,1.02
misericordia physician assistant,Navigational,5400,20,2.51
nursing assistant jobs,Commercial,5400,27,1.43
production assistant jobs,Commercial,5400,22,0.51
remote administrative assistant jobs,Commercial,5400,26,0.69
remote executive assistant jobs,Commercial,5400,25,0.84
teacher assistant jobs,Commercial,5400,22,0.76
toyota roadside assistance,Informational,5400,13,2.07
vet assistant jobs near me,Transactional,5400,16,0.78
veterinary assistant jobs near me,Commercial,5400,22,0.81
veterinary assistant salary,Informational,5400,23,8.06
windows 11 upgrade assistant,Navigational,5400,28,7.49
