Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
how to calculate net income,Informational,12100,"0.67,0.30,0.30,0.67,0.67,0.36,0.30,0.30,0.23,0.20,0.30,1.00",21,5.86,0.00,"Sitelinks, AI Overview, Image pack, Video, Related searches",10
how to calculate percent increase,Informational,12100,"1.00,0.54,0.36,0.54,0.66,0.66,0.66,0.66,0.44,0.54,0.44,0.66",27,0.01,0.00,"Sitelinks, AI Overview, Video, Video carousel, Related searches, Questions and answers",8
how to calculate a percentage increase of a percentage,Informational,8100,"0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.36,0.20,0.00,0.00,0.00",29,0.01,0.00,"Sitelinks, AI Overview, Video, Video carousel, Related searches, Questions and answers",10
how to calculate z score,Informational,8100,"0.81,0.30,0.30,0.36,0.81,0.44,0.44,0.44,0.20,0.16,0.20,1.00",29,2.27,0.00,"AI Overview, Image pack, Video, Video carousel, Related searches",7
how long will my money last calculator,Informational,6600,"0.54,0.66,0.66,0.54,1.00,0.29,0.29,0.29,0.29,0.54,0.44,0.54",18,0.50,0.09,"Video, Related searches",10
how to calculate magi,Informational,6600,"0.66,0.81,1.00,1.00,1.00,1.00,1.00,0.54,0.35,1.00,0.81,0.66",29,0.07,0.03,"Sitelinks, AI Overview, Video, Video carousel, Related searches",
how to calculate square feet of a room,Informational,6600,"1.00,0.30,0.24,0.35,1.00,0.81,0.54,0.44,0.44,0.44,0.30,0.44",22,0.60,0.06,"AI Overview, Image pack, Video, Video carousel, People also ask, Related searches, Questions and answers",104000000
how to calculate board feet,Informational,5400,"0.81,0.43,0.81,1.00,1.00,0.81,0.81,0.81,0.67,0.54,0.81,0.81",23,0.02,0.01,"Sitelinks, AI Overview, Video, Video carousel, Related searches",10
how to calculate opportunity cost,Informational,5400,"0.36,0.15,0.24,0.67,0.55,0.20,0.20,0.24,0.12,0.11,0.29,1.00",22,2.16,0.00,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Related searches",10
how to calculate ring size,Informational,5400,"0.67,0.54,0.81,0.16,0.67,0.36,0.28,0.19,0.19,0.54,0.54,1.00",27,0.41,0.92,"AI Overview, Image pack, Video, Video carousel, Short videos, Related searches, Ads middle",108000000
