Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
dynasty trade calculator,Informational,135000,"0.81,0.67,0.16,0.24,0.16,0.36,0.44,0.81,0.44,0.54,1.00,1.00",29,0.51,0.01,"Sitelinks, Image pack, Video, Knowledge panel, Related searches",8
tire size calculator,"Informational, Commercial",110000,"0.81,1.00,0.81,0.81,0.81,1.00,1.00,0.81,0.81,0.81,0.81,0.81",24,1.32,0.03,"Sitelinks, Image pack, Video, Video carousel, Related searches",10
bah calculator,"Informational, Commercial",74000,"0.81,0.81,1.00,1.00,0.81,0.81,0.81,0.81,0.81,1.00,0.81,0.81",24,2.01,0.02,"Video, Related searches",10
bra size calculator,"Informational, Commercial",74000,"0.55,0.55,0.45,0.55,0.55,0.82,0.55,0.82,0.67,1.00,0.67,0.67",29,0.65,0.21,"Sitelinks, Image pack, Video, People also ask, Related searches, Ads bottom",10
quadratic formula calculator,Informational,60500,"1.00,0.83,0.56,0.56,0.67,0.67,0.56,0.44,0.20,0.11,0.17,0.44",25,0.15,0.01,"Instant answer, Image pack, Video, Related searches, See results about",10
1rm calculator,Commercial,49500,"0.67,1.00,0.81,0.67,0.81,0.67,0.67,0.54,0.54,0.67,0.67,0.81",14,0.01,0.00,"Video, Related searches",10
factoring calculator,"Informational, Commercial",49500,"1.00,0.67,0.56,0.56,0.56,0.44,0.36,0.28,0.08,0.06,0.17,0.36",23,0.01,0.04,"Video, Related searches, See results about",10
heloc calculator,Commercial,49500,"0.81,0.66,0.66,1.00,0.81,1.00,0.81,0.81,0.81,1.00,0.81,0.81",28,4.90,0.70,"Sitelinks, Related searches, Ads bottom",15000000
high yield savings account calculator,Informational,49500,"0.67,1.00,0.45,0.36,0.30,0.36,0.30,0.30,0.30,0.30,0.30,0.24",26,2.29,0.65,"Video, People also ask, Related searches, Ads bottom",10
love calculator,Informational,49500,"0.36,0.45,0.30,0.30,0.45,1.00,1.00,1.00,0.45,0.24,0.30,0.54",24,0.37,0.00,"Image, Video, Related searches",9
mortgage payoff calculator,"Informational, Commercial",49500,"0.66,0.66,0.81,1.00,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.66",23,0.42,0.04,"Sitelinks, Video, Related searches",10
