Keyword,Intent,Volume,Keyword Difficulty,CPC (USD),SERP Features
watch cartoons online,Informational,60500,17,2.91,"Sitelinks, Video, Related searches"
watch cartoon online,"Navigational, Transactional",49500,22,2.91,"Sitelinks, Video, Related searches"
kiss cartoon,"Informational, Transactional",33100,13,0.00,"Sitelinks, Video, Related searches"
black cartoon characters,Informational,18100,27,0.00,"Sitelinks, AI Overview, Image, Image pack, Video, Carousel, Related searches"
fat cartoon characters,Informational,14800,27,0.00,"Image, Image pack, Video, People also ask, Related searches"
cartoon girl,"Informational, Transactional",12100,29,0.00,"Image, Image pack, Video, Video carousel, People also ask, Related searches"
cartoon network characters,Informational,12100,29,0.00,"Image, Image pack, Video, People also ask, Related searches"
female cartoon characters,Informational,12100,26,0.00,"Sitelinks, Image, Image pack, Video, Video carousel, Carousel, Related searches"
cartoon bird,"Informational, Commercial",9900,29,0.10,"Image, Image pack, Video, People also ask, Related searches"
cow cartoon,Informational,9900,27,0.00,"Image, Image pack, Video, Related searches"
permainan cartoon network,Informational,9900,25,0.00,"Sitelinks, Image, Image pack, Video, Video carousel, Carousel, Related searches"
turkey cartoon,Informational,9900,29,0.00,"Image, Image pack, Video, Related searches"
ugly cartoon characters,Informational,9900,27,0.00,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches"
capybara cartoon,"Informational, Transactional",8100,29,0.00,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches"
car cartoon,Informational,8100,26,0.00,"Image, Image pack, Video, Related searches"
cartoon house,Informational,8100,26,0.00,"Image, Image pack, Video, Related searches"
cartoon network network games,"Informational, Commercial",8100,21,0.00,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches"
funny cartoon characters,Informational,8100,28,0.00,"Image, Image pack, Video, People also ask, Carousel, Related searches"
hot cartoon characters,Informational,8100,27,0.00,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, Related searches"
kim cartoon,Informational,8100,24,3.79,"Sitelinks, Image, Image pack, Video, Related searches"
kiss cartoon kiss cartoon,"Informational, Transactional",8100,17,0.00,"Sitelinks, Image, Image pack, Video, People also ask, Related searches"
penguin cartoon,Informational,8100,26,0.00,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, Short videos, Related searches"
bald cartoon characters,Informational,6600,26,0.00,"Sitelinks, Image, Image pack, Video, Carousel, Related searches"
cartoon bubbles,Informational,6600,26,2.46,"Image, Image pack, Video, People also ask, Related searches"
cartoon characters with glasses,Informational,6600,14,0.00,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches, Popular products"
cartoon elephant,"Informational, Transactional",6600,26,0.00,"AI Overview, Image, Video, Video carousel, People also ask, Related searches"
cartoon horse,Informational,6600,26,0.00,"Image, Image pack, Video, Video carousel, Related searches"
cartoon penguin,Informational,6600,26,0.00,"Image, Image pack, Video, Video carousel, Related searches"
cute cartoon characters,Informational,6600,28,0.00,"Sitelinks, Image, Image pack, Video, People also ask, Carousel, Related searches"
girl cartoon characters,"Informational, Commercial",6600,28,0.00,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Carousel, Related searches"
glowing twink with cartoon eyes,Informational,6600,25,0.00,"Sitelinks, Image, Image pack, Video, Related searches"
guthrie cartoon,Informational,6600,22,0.00,"AI Overview, Image, Video, People also ask, Related searches"
