Keyword,Intent,Volume,Keyword Difficulty,CPC (USD),SERP Features
monster high characters,Informational,90500,28,0.24,"Sitelinks, Image, Image pack, Video, Carousel, Related searches"
looney tunes characters,Informational,49500,27,0.21,"Sitelinks, Image, Image pack, Video, Video carousel, Carousel, Related searches"
south park characters,"Informational, Transactional",40500,29,0.01,"Sitelinks, Image, Image pack, Video, Video carousel, Knowledge panel, Related searches"
call the midwife characters,Informational,27100,28,0.03,"Sitelinks, Image, Image pack, Video, People also ask, Knowledge panel, Related searches"
character thing 1 and thing 2,"Informational, Transactional",18100,25,0.34,"Sitelinks, Image, Image pack, Video, Video carousel, Discussions and forums, Related searches, Popular products"
pixar characters,Informational,14800,29,0.21,"Sitelinks, Image, Image pack, Video, Carousel, Related searches"
wuthering waves characters,Informational,14800,28,5.41,"Sitelinks, Image, Video, Video carousel, Carousel, Discussions and forums, Related searches"
character strong,Navigational,12100,20,2.56,"Sitelinks, Image pack, Video, Video carousel, People also ask, Knowledge panel, Discussions and forums, Related searches"
marvel rivals new characters,Informational,12100,21,3.31,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, Discussions and forums, Related searches"
seven deadly sins characters,Informational,12100,23,1.88,"Sitelinks, Image, Image pack, Video, Carousel, Related searches"
best marvel rivals characters,Commercial,9900,24,0.01,"Sitelinks, AI Overview, Image, Video, Carousel, Discussions and forums, Related searches"
infp characters,Informational,9900,27,0.14,"Sitelinks, Image, Image pack, Video, Carousel, Related searches"
love and deepspace characters,Informational,9900,21,4.02,"Sitelinks, AI Overview, Image, Image pack, Video, Short videos, Related searches"
miraculous ladybug characters,"Informational, Transactional",9900,28,0.21,"Sitelinks, Image, Image pack, Video, Video carousel, People also ask, Carousel, Related searches"
candy land characters,Informational,8100,28,0.20,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Carousel, Related searches"
character user interface,Informational,8100,15,6.02,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches"
goonies characters,Informational,8100,27,0.03,"Sitelinks, Image, Image pack, Video, Knowledge panel, Related searches"
magnetic character recognition,Informational,8100,29,17.55,"Sitelinks, AI Overview, Video, Video carousel, Knowledge panel, Related searches"
negative character traits,Informational,8100,27,0.01,"Sitelinks, AI Overview, Image pack, Video, Knowledge panel, Related searches"
umamusume characters,Informational,8100,19,4.11,"Sitelinks, Image, Image pack, Video, Carousel, Related searches"
character shoes,Commercial,6600,14,0.56,"Sitelinks, Image, Video, Related searches, Popular products"
pac man characters ghosts,Informational,6600,27,0.14,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, Short videos, Carousel, Related searches"
ross friends character,"Informational, Transactional",6600,27,2.42,"Sitelinks, Image, Video, Video carousel, Knowledge panel, Related searches"
character drawing,"Informational, Transactional",5400,26,1.15,"Sitelinks, AI Overview, Image, Video, Video carousel, Related searches"
character letter for court,Informational,5400,16,0.62,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches"
character zodiac,"Informational, Transactional",5400,20,0.02,"Sitelinks, Image, Image pack, Video, Related searches"
cinnamon roll character,Informational,5400,27,0.24,"Sitelinks, Image, Video, Video carousel, Short videos, Knowledge panel, Related searches"
intj characters,Informational,5400,21,0.12,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, Carousel, Related searches"
new bond character,Informational,5400,22,0.37,"Sitelinks, AI Overview, Image, Image pack, Video, Related searches"
nikke characters,Informational,5400,25,2.72,"Image, Image pack, Video, Video carousel, People also ask, Carousel, Related searches"
rainbow friends characters,Informational,5400,25,0.23,"Sitelinks, AI Overview, Image, Video, Video carousel, Related searches"
slander defamation of character,Informational,5400,17,1.65,"Sitelinks, AI Overview, Image pack, Video, Related searches"
southpark characters,"Informational, Transactional",5400,27,0.01,"Sitelinks, Image, Image pack, Video, Video carousel, Knowledge panel, Related searches"
