Keyword,Intent,Volume,Keyword Difficulty,CPC (USD),SERP Features
ring size chart,Informational,110000,25,0.76,"Sitelinks, AI Overview, Image, Video, Video carousel, Related searches"
military time chart,Informational,90500,25,0.01,"Sitelinks, Image pack, Video, Related searches"
bears depth chart,"Informational, Commercial",49500,21,0.00,"Sitelinks, Image pack, Video, Related searches"
jaguars depth chart,"Informational, Commercial",49500,29,4.40,"Sitelinks, Image, Image pack, Video, Related searches"
seahawks depth chart,"Informational, Commercial",49500,26,0.00,"Sitelinks, Video, Related searches"
titans depth chart,"Informational, Commercial",49500,28,0.00,"Sitelinks, Image, Image pack, Video, People also ask, Related searches"
codon chart,Informational,40500,26,0.00,"Sitelinks, Image, Image pack, Video, Video carousel, Related searches"
dolphins depth chart,"Informational, Commercial",40500,28,0.00,"Sitelinks, Video, Related searches"
electronegativity chart,Informational,40500,28,0.00,"AI Overview, Image, Video, Related searches"
sanford my chart,Navigational,33100,29,2.53,"Sitelinks, Video, People also ask, Related searches"
avera chart,"Navigational, Transactional",27100,27,0.00,"Sitelinks, Video, Related searches"
baby teeth chart,Informational,27100,27,0.00,"Sitelinks, AI Overview, Image, Video, People also ask, Related searches"
clarinet fingering chart,Informational,27100,27,0.38,"Sitelinks, AI Overview, Image, Video, Related searches"
ear piercing chart,Informational,27100,16,0.12,"Sitelinks, Image, Image pack, Video, People also ask, Related searches"
flute fingering chart,Informational,27100,27,0.42,"Sitelinks, Image, Image pack, Video, Related searches"
tattoo pain chart,Informational,27100,26,0.05,"Sitelinks, AI Overview, Image, Video, People also ask, Related searches"
aces charting,Commercial,22200,29,3.83,"Image pack, Video, Related searches"
astrocartography chart,Informational,22200,24,0.80,"Sitelinks, Image, Video, People also ask, Related searches, Things to know"
eye chart,Informational,22200,25,0.58,"Sitelinks, Image, Image pack, Video, Related searches, Popular products, See results about"
hat size chart,"Informational, Commercial",22200,17,0.05,"Sitelinks, Image, Image pack, Video, Video carousel, Related searches"
media bias chart,Informational,22200,19,42.25,"Sitelinks, Video, Related searches"
tire speed rating chart,Informational,22200,27,0.14,"Sitelinks, Image, Image pack, Video, Related searches, Ads middle"
tirzepatide dosage chart,Informational,22200,23,2.94,"Sitelinks, AI Overview, Image, Image pack, Video, Related searches"
trumpet fingering chart,Informational,22200,11,0.37,"Sitelinks, AI Overview, Image, Video, Video carousel, Related searches"
apoquel dosing chart,Informational,18100,22,1.69,"Sitelinks, Image, Image pack, People also ask, Related searches"
bike size chart,Informational,18100,25,0.47,"Sitelinks, AI Overview, Image, Video, People also ask, Discussions and forums, Related searches"
birkenstock size chart,Informational,18100,26,0.23,"Sitelinks, AI Overview, Image, Video, Related searches"
conduit fill chart,Informational,18100,18,0.20,"Sitelinks, Image, Image pack, Video, Related searches"
denver broncos depth chart,"Informational, Commercial",18100,29,0.00,"Sitelinks, Image pack, Video, Top stories, Related searches"
drill bit size chart,Informational,18100,21,0.41,"Sitelinks, Image, Image pack, Video, Related searches, Popular products"
kids shoe size chart,"Informational, Commercial",18100,28,0.00,"Sitelinks, Image, Image pack, Video, People also ask, Related searches, Ads bottom"
novant my chart,Navigational,18100,23,3.04,"Sitelinks, Video, Related searches"
snowboard size chart,Informational,18100,8,0.10,"Sitelinks, AI Overview, Image, Video, Related searches"
strip chart,Informational,18100,13,2.33,"AI Overview, Image, Image pack, Video, Video carousel, People also ask"
vedic astrology chart,Informational,18100,21,0.79,"Sitelinks, Video, People also ask, Related searches"
2025 va disability pay chart,Informational,14800,29,0.03,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
bulls depth chart,"Informational, Commercial",14800,21,0.00,"Video, Related searches"
burndown chart,Informational,14800,24,5.18,"Sitelinks, AI Overview, Image, Video, Video carousel, Knowledge panel, Related searches, Ads bottom"
charter oak,Informational,14800,25,0.09,"Sitelinks, Image pack, Video, Video carousel, Related searches"
chicago bears depth chart,"Informational, Transactional",14800,26,0.00,"Sitelinks, Image, Video, Video carousel, Related searches"
crochet hook size chart,Informational,14800,28,0.06,"Featured snippet, Sitelinks, Image, Image pack, Video, Video carousel, People also ask, Related searches, Popular products, Ads bottom"
grizzlies depth chart,Informational,14800,21,0.00,"Image, Video, Related searches"
half marathon pace chart,Informational,14800,15,2.14,"Sitelinks, Image, Image pack, Video, Related searches"
hawks depth chart,"Informational, Commercial",14800,26,0.00,"Image pack, Video, Related searches"
mavericks depth chart,Informational,14800,24,0.00,"Sitelinks, Image, Video, Related searches"
multiplication chart printable,Informational,14800,25,0.44,"Sitelinks, Image, Image pack, Related searches"
pacers depth chart,"Informational, Commercial",14800,28,0.00,"Image, Image pack, Video, Related searches"
rockets depth chart,"Informational, Transactional",14800,29,0.00,"Sitelinks, Image, Image pack, Video, Related searches"
steak cooking chart,Informational,14800,23,0.31,"AI Overview, Image, Image pack, Video, Discussions and forums, Related searches"
wizards depth chart,Informational,14800,29,0.00,"Sitelinks, Image, Image pack, Video, People also ask, Related searches"
abc chart,Informational,12100,27,1.09,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches"
anchor chart,Informational,12100,23,0.26,"Sitelinks, AI Overview, Image, Video, People also ask, Related searches, Things to know"
birth flower chart,Informational,12100,19,0.03,"Sitelinks, AI Overview, Image, Image pack, Video, Related searches"
bristol poop chart,Informational,12100,21,0.06,"Sitelinks, AI Overview, Video, People also ask, Related searches, Things to know"
carolina panthers depth chart,Informational,12100,18,0.00,"Sitelinks, Image pack, Video, Related searches"
charter oak federal credit union,Navigational,12100,27,0.02,"Sitelinks, People also ask, Related searches"
dallas depth chart,"Informational, Transactional",12100,26,0.00,"Sitelinks, Image, Video, Related searches"
drill size chart,"Informational, Commercial",12100,25,0.41,"Sitelinks, Image, Image pack, Video, Related searches"
ear piercings chart,Commercial,12100,12,0.12,"Sitelinks, Image, Image pack, Video, Discussions and forums, Related searches, Popular products"
essentia my chart,Navigational,12100,22,0.00,"Sitelinks, Video, Related searches"
hair color chart,"Informational, Commercial",12100,25,0.57,"Sitelinks, Image, Image pack, Video, Related searches, Popular products"
hair length chart,"Informational, Commercial",12100,18,0.80,"AI Overview, Image, Image pack, Video, People also ask, Discussions and forums, Related searches"
hair types chart,Informational,12100,24,0.32,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Discussions and forums, Related searches"
jazz depth chart,Informational,12100,22,0.00,"Sitelinks, Image pack, Video, Related searches"
kings depth chart,Informational,12100,21,0.00,"Image, Image pack, Video, Related searches"
kwl chart,Informational,12100,23,4.08,"AI Overview, Image, Video, Related searches"
