Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features
ui cheats sims 4,"Informational, Transactional",40500,"0.81,0.81,1.00,0.81,0.66,0.66,0.29,0.66,0.54,0.81,0.66,0.66",26,0.00,0.00,"Sitelinks, Image, Video, Video carousel, People also ask, Related searches"
wordscapes cheat,Informational,33100,"1.00,1.00,1.00,1.00,0.82,0.82,0.82,0.82,0.82,0.67,0.82,0.67",19,5.44,0.00,"Sitelinks, Image, Image pack, Video, Related searches"
gta v cheats ps4,Informational,22200,"0.67,0.83,1.00,1.00,0.83,0.83,0.67,0.83,0.83,0.67,0.67,0.54",29,0.01,0.03,"Sitelinks, AI Overview, Image, Image pack, Video, Related searches"
sims 4 ui cheats,"Informational, Transactional",14800,"0.81,0.54,0.81,1.00,0.66,0.66,0.29,0.44,0.66,0.66,0.44,0.66",22,0.00,0.00,"Sitelinks, Image, Video, Video carousel, Short videos, Related searches"
word chums cheat,Commercial,14800,"0.81,1.00,0.81,1.00,0.81,1.00,0.81,0.81,1.00,0.81,1.00,0.81",26,0.00,0.00,"Sitelinks, Image, Video, People also ask, Related searches"
did pepe cheat on iris,Informational,12100,"0.54,0.54,0.24,0.54,0.54,0.54,0.54,1.00,0.24,0.81,0.54,0.04",25,0.00,0.00,"Sitelinks, AI Overview, Image, Video, Related searches"
pokemon fire red cheats,"Informational, Commercial",12100,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.81,0.81,0.81,0.81,1.00",27,0.00,0.00,"Sitelinks, Image, Video, Discussions and forums, Related searches"
wordfeud cheat,"Informational, Commercial",9900,"0.81,0.81,0.81,1.00,0.81,0.81,0.81,0.81,0.81,1.00,1.00,1.00",26,0.00,0.00,"Sitelinks, Related searches"
cheat code for emerald,Informational,8100,"0.08,0.02,0.05,0.00,0.66,1.00,0.81,0.54,0.54,0.00,0.05,0.44",14,0.00,0.00,"Sitelinks, Image, Video, Related searches"
cheat code grand theft auto 5 ps4,Informational,8100,"0.00,0.01,0.00,0.00,1.00,1.00,0.66,0.81,0.00,0.00,0.00,0.00",29,0.01,0.03,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, People also ask, Discussions and forums, Related searches"
