Keyword,Intent,Volume,Keyword Difficulty,CPC (USD),SERP Features
fitness items for swinging crossword clue,Informational,40500,13,0.00,Related searches
optimistic exclamation crossword clue,"Informational, Commercial",33100,12,0.00,"AI Overview, Related searches"
clue characters,Informational,27100,24,0.00,"Sitelinks, Image, Image pack, Video, Video carousel, Carousel, Related searches"
connections clue,Informational,27100,29,0.14,"Sitelinks, Image, Video, Top stories, Related searches"
clue board game,"Informational, Transactional",22200,28,0.19,"Sitelinks, Image, Video, Knowledge panel, Related searches, Popular products"
clues crossword puzzle clue,Informational,22200,19,0.59,"Sitelinks, AI Overview, Video, Related searches"
buddhist symbols crossword clue,Informational,14800,16,0.00,"Sitelinks, AI Overview, Video, Related searches"
fighting condition crossword clue,"Informational, Commercial",12100,14,0.00,"AI Overview, Related searches"
clue cells,Informational,9900,27,0.00,"AI Overview, Image, Video, Related searches"
dreamers collage crossword clue,Informational,9900,15,0.00,"AI Overview, Image pack, People also ask, Related searches"
home of olympus mons crossword clue,Informational,9900,16,0.00,"AI Overview, Video, People also ask, Related searches"
nature photography perhaps crossword clue,"Informational, Commercial",9900,11,0.00,Related searches
fuchsia relative crossword clue,Informational,8100,11,0.00,"AI Overview, Related searches"
hedwig and others crossword clue,"Informational, Commercial",8100,10,0.00,Related searches
hybrid pastry since 2013 crossword clue,"Informational, Commercial",8100,12,0.00,Related searches
one flying around stealing guatemalan money crossword clue,Informational,8100,12,0.00,Related searches
ones who really get into character crossword clue,Transactional,8100,12,0.00,"Video, People also ask"
peter pan's destination crossword clue,Informational,8100,18,0.00,Related searches
some faux coats crossword clue,Informational,8100,11,0.00,"AI Overview, Related searches"
usually dry creek wsj crossword clue,"Informational, Commercial",8100,13,0.00,"Image pack, People also ask, Related searches"
clues by sam,Navigational,6600,21,3.83,"Sitelinks, Video, People also ask, Discussions and forums, Related searches"
crossword clue track,Informational,6600,14,0.00,"Sitelinks, AI Overview, Video, Related searches"
cry before a jump crossword clue,"Informational, Commercial",6600,11,0.00,Related searches
dj trivia clue of the day,"Informational, Transactional",6600,24,0.00,"Sitelinks, Image, Image pack, Video, Related searches"
lily tino big clue,Informational,6600,25,0.00,Related searches
org for locavores crossword clue,"Informational, Commercial",6600,16,0.00,"Sitelinks, People also ask, Related searches"
perpetrating crossword clue,Informational,6600,11,0.00,"AI Overview, Related searches"
smoky mexican spirit crossword clue,Informational,6600,14,0.00,"AI Overview, People also ask, Related searches"
springtime side crossword clue,"Informational, Commercial",6600,12,0.00,"People also ask, Related searches"
vacation resorts crossword clue,Informational,6600,11,0.00,"AI Overview, Related searches"
crispy kosher snack crossword clue,"Informational, Commercial",5400,11,0.59,Related searches
digital canvas crossword clue,Informational,5400,8,0.00,"Video, Related searches"
gospel house ground crossword clue,Informational,5400,16,0.00,"Sitelinks, AI Overview, People also ask, Related searches"
indian wrap at a restaurant crossword clue,Informational,5400,13,0.00,"AI Overview, People also ask, Related searches"
palindromic term for uniqueness crossword clue,Informational,5400,14,0.00,"AI Overview, Image pack, People also ask, Related searches"
some send ups crossword clue,Informational,5400,12,0.00,"AI Overview, Related searches"
some soft candies crossword clue,Informational,5400,14,0.00,"AI Overview, Image pack, People also ask, Related searches"
that's my aim crossword clue,Informational,5400,11,0.00,"Video, Related searches"
toast skagen garnish crossword clue,Informational,5400,15,0.00,"AI Overview, Video, People also ask, Related searches"
