Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
213 area code,Informational,368000,"0.66,0.66,0.66,0.44,0.44,0.44,0.44,0.54,0.44,0.66,1.00,1.00",25,0.78,0.00,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches, Things to know",10
646 area code,Informational,301000,"1.00,0.81,0.66,0.81,0.66,0.66,0.81,0.81,0.81,1.00,0.81,0.81",21,0.75,0.00,"Sitelinks, AI Overview, Video, Related searches",7
929 area code,Informational,201000,"0.54,0.66,0.54,0.54,0.44,0.54,0.66,0.54,0.66,0.66,1.00,0.66",27,0.76,0.00,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches",46900000
209 area code,Informational,165000,"1.00,0.67,0.67,0.81,0.54,0.67,0.54,0.54,0.54,0.54,0.54,0.54",13,0.44,0.00,"AI Overview, Image pack, Video, Related searches",9
323 area code,"Informational, Commercial",165000,"1.00,0.82,0.82,0.67,0.67,0.82,0.67,0.67,0.67,0.67,0.67,1.00",25,0.91,0.00,"AI Overview, Image pack, Video, People also ask, Related searches",9
415 area code,Informational,165000,"0.83,0.83,0.67,1.00,0.83,0.67,0.67,0.83,0.67,0.83,0.83,0.83",13,0.50,0.00,"Sitelinks, AI Overview, Image pack, Video, Related searches",6
424 area code,"Informational, Commercial",165000,"1.00,1.00,1.00,0.83,0.54,0.67,0.67,0.67,0.67,0.67,0.67,0.67",21,0.56,0.00,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches",10
951 area code,"Informational, Commercial",165000,"0.67,0.82,1.00,0.82,0.67,0.67,0.67,0.54,0.67,1.00,1.00,0.82",18,0.60,0.00,"AI Overview, Image pack, Related searches",10
shein coupon code,Transactional,165000,"1.00,1.00,0.82,1.00,0.82,1.00,1.00,0.82,0.82,0.82,0.82,0.82",27,0.30,1.00,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Related searches, Ads top, Ads bottom",10
305 area code,"Informational, Commercial",135000,"0.66,0.66,0.66,0.81,0.66,0.66,0.81,0.81,0.81,1.00,1.00,0.81",13,1.28,0.00,"Sitelinks, AI Overview, Image pack, Video, Related searches",10
310 area code,Informational,135000,"1.00,0.81,0.81,1.00,0.81,0.81,0.81,0.81,1.00,0.81,0.81,0.81",15,1.30,0.00,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches",10
346 area code,Informational,135000,"0.81,0.66,0.66,0.81,0.66,0.66,0.66,0.81,0.81,1.00,1.00,0.81",24,0.67,0.00,"Featured snippet, Image pack, Video, Related searches",10
408 area code,"Informational, Commercial",135000,"0.44,0.44,0.44,0.54,1.00,0.44,0.44,0.54,0.44,0.44,0.44,0.36",16,0.92,0.00,"Sitelinks, AI Overview, Image, Image pack, People also ask, Related searches",10
470 area code,Informational,135000,"0.81,1.00,1.00,1.00,0.81,0.81,0.81,1.00,0.81,0.81,0.81,0.81",12,0.61,0.00,"Sitelinks, AI Overview, Image pack, Video, Related searches, See results about",4
510 area code,Informational,135000,"0.81,0.81,1.00,0.66,0.66,0.81,0.66,0.66,0.66,0.81,0.81,0.66",12,2.16,0.00,"AI Overview, Image pack, Video, Related searches",10
516 area code,Informational,135000,"1.00,1.00,0.66,0.81,0.81,0.81,0.81,0.66,0.66,0.66,0.66,0.81",15,0.46,0.00,"AI Overview, Image pack, Video, People also ask, Related searches, Things to know",10
626 area code,Informational,135000,"0.82,0.67,1.00,1.00,0.55,0.67,0.67,0.45,0.55,0.55,0.55,0.55",20,0.91,0.00,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches",10
702 area code,Informational,135000,"0.66,0.66,0.81,0.81,0.66,0.81,0.66,0.81,0.81,1.00,0.81,0.81",15,1.15,0.00,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches, Things to know",10
707 area code,Informational,135000,"0.54,0.44,0.54,1.00,0.44,0.44,0.54,0.44,0.44,0.44,0.54,0.36",20,1.02,0.00,"AI Overview, Image pack, People also ask, Related searches, Things to know",10
832 area code,"Informational, Commercial",135000,"0.67,0.54,0.82,1.00,0.67,0.67,0.67,0.67,0.67,0.82,0.67,0.67",12,0.82,0.00,"AI Overview, Image pack, Video, Related searches",8
949 area code,"Informational, Commercial",135000,"0.67,0.54,0.54,1.00,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.67",15,0.44,0.00,"Sitelinks, AI Overview, People also ask, Related searches, Things to know",10
203 area code,Informational,110000,"1.00,0.83,0.83,1.00,1.00,1.00,0.83,1.00,1.00,0.83,0.83,1.00",29,0.52,0.00,"Sitelinks, AI Overview, Video, Related searches",
267 area code,"Informational, Commercial",110000,"0.81,0.67,0.67,0.67,0.81,0.81,0.81,0.67,0.67,0.81,0.81,1.00",22,0.57,0.00,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches",10
315 area code,"Informational, Commercial",110000,"0.81,0.81,0.81,0.81,0.67,1.00,0.81,1.00,0.81,0.81,0.67,0.67",25,0.49,0.00,"AI Overview, Image pack, People also ask, Related searches, Things to know",9
562 area code,Informational,110000,"1.00,0.81,0.81,1.00,0.81,0.81,0.67,0.67,0.67,0.81,1.00,0.81",28,0.31,0.00,"Sitelinks, AI Overview, Image pack, Video, Related searches",109000000
602 area code,"Informational, Commercial",110000,"0.81,0.67,0.67,0.81,0.67,1.00,0.81,0.81,0.81,0.81,0.81,1.00",27,0.40,0.00,"AI Overview, Image pack, Video, People also ask, Related searches, Things to know",86600000
615 area code,Informational,110000,"1.00,0.83,0.83,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",28,0.62,0.00,"AI Overview, Related searches",
678 area code,Informational,110000,"0.81,0.67,0.67,1.00,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81",15,1.04,0.00,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches",10
760 area code,Informational,110000,"0.81,1.00,0.81,0.81,0.81,0.54,0.67,0.67,0.54,1.00,0.67,0.67",22,0.61,0.00,"Sitelinks, AI Overview, Image pack, Video, Related searches",
813 area code,Informational,110000,"0.81,1.00,0.67,1.00,0.81,0.81,0.67,0.67,1.00,1.00,1.00,1.00",29,0.85,0.00,"AI Overview, Video, People also ask, Related searches",56300000
833 area code,Informational,110000,"0.81,0.81,0.81,0.81,0.81,1.00,1.00,0.81,0.81,0.67,0.67,1.00",27,0.44,0.00,"Sitelinks, AI Overview, Image pack, Video, Related searches",10
904 area code,"Informational, Commercial",110000,"0.81,1.00,0.81,0.81,0.81,1.00,0.81,0.81,1.00,1.00,0.81,0.81",13,0.85,0.00,"Sitelinks, AI Overview, Image pack, Video, Related searches",10
919 area code,Informational,110000,"1.00,1.00,0.83,1.00,0.83,1.00,1.00,1.00,1.00,1.00,1.00,1.00",26,1.52,0.00,"Sitelinks, AI Overview, Video, Related searches",
954 area code,"Informational, Commercial",110000,"0.81,0.81,0.81,1.00,1.00,1.00,0.81,0.81,0.81,0.81,0.81,0.81",25,0.89,0.00,"AI Overview, Image pack, People also ask, Related searches, See results about",10
205 area code,Informational,90500,"0.83,0.83,0.83,0.83,0.83,0.83,1.00,1.00,0.83,1.00,0.83,0.83",15,0.95,0.00,"AI Overview, Image pack, Video, People also ask, Related searches",10
239 area code,Informational,90500,"0.82,0.67,0.67,0.82,0.82,0.82,1.00,0.82,0.67,1.00,0.82,0.67",20,3.11,0.00,"AI Overview, Image pack, Video, People also ask, Related searches",192000000
240 area code,"Informational, Commercial",90500,"0.83,0.67,0.67,0.83,0.83,0.83,0.83,0.83,0.83,1.00,0.83,0.67",24,0.57,0.00,"AI Overview, Video, People also ask, Related searches",412000000
281 area code,Informational,90500,"0.82,0.67,0.82,0.82,0.82,0.82,0.82,0.82,1.00,1.00,1.00,0.82",18,0.61,0.00,"AI Overview, Video, Related searches",10
313 area code,Informational,90500,"1.00,0.67,0.82,1.00,0.67,0.67,0.82,0.82,0.55,0.82,0.82,0.67",23,0.50,0.00,"Sitelinks, AI Overview, Video, People also ask, Related searches, Things to know",8
314 area code,Informational,90500,"1.00,0.82,0.67,1.00,0.67,1.00,0.82,0.82,0.82,1.00,1.00,1.00",15,0.81,0.00,"Sitelinks, AI Overview, Video, People also ask, Related searches, Things to know",8
317 area code,"Informational, Commercial",90500,"0.82,0.82,0.67,0.82,0.82,0.82,0.82,1.00,1.00,1.00,0.82,1.00",12,0.64,0.00,"Sitelinks, AI Overview, Image, Video, Related searches",9
321 area code,Informational,90500,"1.00,0.67,0.54,0.67,0.54,0.67,0.67,0.67,0.67,0.81,0.81,0.81",14,0.65,0.00,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches, Things to know",9
352 area code,Informational,90500,"0.82,0.55,0.67,0.82,0.67,0.82,0.67,1.00,1.00,1.00,0.82,0.67",19,0.37,0.00,"Sitelinks, AI Overview, Image pack, Related searches",10
437 area code,Informational,90500,"0.13,0.13,0.16,0.20,0.24,0.36,0.67,1.00,1.00,0.67,1.00,1.00",12,0.41,0.00,"Sitelinks, AI Overview, Image pack, Video, Related searches, See results about",10
443 area code,Informational,90500,"0.82,0.82,0.67,0.82,0.82,1.00,0.82,0.82,0.82,1.00,0.82,0.67",12,0.79,0.00,"AI Overview, Video, Related searches, See results about",9
502 area code,Informational,90500,"0.67,0.81,0.81,0.67,0.67,1.00,0.67,0.54,0.54,0.81,0.81,0.67",13,0.45,0.00,"AI Overview, Image pack, Video, Related searches",10
503 area code,Informational,90500,"0.83,0.67,1.00,1.00,0.83,0.83,0.67,0.83,0.67,0.83,1.00,0.83",14,0.35,0.00,"AI Overview, People also ask, Related searches",6
513 area code,Informational,90500,"0.82,0.67,0.67,1.00,0.67,0.82,0.82,0.82,0.82,1.00,1.00,0.82",25,0.59,0.00,"Sitelinks, AI Overview, Image pack, Video, Related searches",97000000
559 area code,Informational,90500,"0.54,0.66,1.00,0.66,0.44,0.54,0.54,0.54,0.44,0.54,0.54,0.36",15,0.60,0.00,"Sitelinks, AI Overview, Image pack, Video, Related searches",
571 area code,Informational,90500,"1.00,1.00,1.00,0.82,0.67,1.00,0.82,0.67,0.82,0.82,0.82,0.67",11,0.83,0.00,"Sitelinks, AI Overview, Image pack, Video, Related searches",8
609 area code,"Informational, Commercial",90500,"1.00,0.82,0.82,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.82",11,0.99,0.00,"Sitelinks, AI Overview, Image pack, Video, Related searches",9
614 area code,"Informational, Commercial",90500,"1.00,1.00,1.00,1.00,1.00,1.00,0.82,1.00,1.00,1.00,1.00,0.82",29,1.91,0.00,"Sitelinks, AI Overview, Video, Related searches",
631 area code,Informational,90500,"1.00,0.67,0.67,0.67,0.67,0.67,0.82,0.67,0.67,0.82,0.82,0.82",19,0.69,0.00,"Featured snippet, Sitelinks, People also ask, Related searches, Things to know",9
650 area code,Informational,90500,"0.54,0.66,0.66,0.54,0.54,0.54,0.44,0.36,0.44,1.00,0.81,0.44",12,1.18,0.00,"Sitelinks, AI Overview, Image pack, Video, Related searches",10
661 area code,Informational,90500,"1.00,1.00,1.00,1.00,0.83,0.83,0.67,0.67,0.67,0.83,0.83,0.67",15,0.50,0.00,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches",10
703 area code,"Informational, Commercial",90500,"1.00,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,1.00,0.82,0.82",25,0.65,0.00,"Sitelinks, AI Overview, Image pack, Video, Related searches",9
706 area code,Informational,90500,"1.00,0.82,0.82,0.82,0.82,1.00,1.00,1.00,1.00,1.00,1.00,1.00",29,0.62,0.00,"Sitelinks, AI Overview, People also ask, Related searches",58500000
713 area code,"Informational, Commercial",90500,"0.82,0.67,0.82,0.82,0.67,0.67,0.67,0.82,0.67,1.00,1.00,0.67",12,2.38,0.00,"Sitelinks, AI Overview, Image pack, Video, Related searches, See results about",9
716 area code,"Informational, Commercial",90500,"1.00,0.82,0.82,1.00,0.67,0.82,0.82,0.82,0.82,1.00,0.82,0.67",22,0.82,0.00,"Sitelinks, AI Overview, Video, People also ask, Related searches, Things to know",9
717 area code,"Informational, Commercial",90500,"1.00,0.82,0.82,0.82,0.82,1.00,0.82,0.82,0.82,0.82,0.82,0.82",28,0.75,0.00,"Sitelinks, AI Overview, Video, People also ask, Related searches",63900000
719 area code,Informational,90500,"0.67,0.67,0.67,0.82,0.82,1.00,0.82,0.82,0.82,0.67,0.82,0.67",27,0.70,0.00,"AI Overview, Image pack, Video, People also ask, Related searches",56300000
773 area code,Informational,90500,"0.83,0.83,1.00,1.00,0.67,0.83,0.83,0.83,1.00,1.00,1.00,0.83",20,1.31,0.00,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches",8
804 area code,"Informational, Commercial",90500,"1.00,0.81,0.81,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",29,0.66,0.00,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches, Things to know",49900000
808 area code,"Informational, Commercial",90500,"0.81,0.81,0.81,0.81,1.00,1.00,0.81,1.00,1.00,1.00,1.00,1.00",15,0.72,0.00,"Sitelinks, AI Overview, Video, Related searches",
844 area code,Informational,90500,"0.81,0.81,1.00,1.00,1.00,0.81,1.00,1.00,0.81,1.00,1.00,1.00",27,0.77,0.00,"Sitelinks, AI Overview, Video, People also ask, Related searches",87000000
913 area code,"Informational, Commercial",90500,"0.67,0.55,0.55,0.67,0.67,1.00,0.82,0.82,1.00,0.82,0.67,0.82",12,0.74,0.00,"Sitelinks, AI Overview, Image pack, Video, Related searches",10
914 area code,Informational,90500,"0.66,0.66,1.00,0.81,0.36,0.44,0.54,0.30,0.44,0.54,0.54,0.44",15,2.69,0.00,"AI Overview, Image pack, Video, People also ask, Related searches, Things to know",7
978 area code,Informational,90500,"0.54,1.00,0.81,0.54,0.36,0.44,0.44,0.44,0.44,0.44,0.44,0.36",24,0.76,0.00,"Sitelinks, AI Overview, People also ask, Related searches, Things to know",565000000
fashion nova discount code,Transactional,90500,"0.82,1.00,0.45,0.55,0.55,0.67,0.67,1.00,0.82,1.00,0.82,0.67",20,0.44,1.00,"Sitelinks, Video, People also ask, Related searches, Ads bottom",9
217 area code,Informational,74000,"0.81,0.66,0.66,0.81,0.81,0.81,0.81,0.54,0.66,0.66,1.00,0.81",22,0.55,0.00,"AI Overview, Video, People also ask, Related searches, Things to know",198000000
224 area code,Informational,74000,"0.81,0.66,0.81,0.81,0.81,1.00,0.81,0.81,0.81,0.81,1.00,0.66",14,0.47,0.00,"AI Overview, Video, People also ask, Related searches",7
301 area code,"Informational, Commercial",74000,"1.00,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82",19,0.32,0.00,"Sitelinks, AI Overview, Image, Image pack, People also ask, Related searches, See results about",8
