Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features
youtube to mp3 converter,Commercial,201000,"0.46,0.46,0.67,1.00,0.54,0.54,0.54,0.54,0.38,0.54,0.54,0.25",28,1.52,0.00,"Sitelinks, Video, Related searches"
mp3 youtube converter,Commercial,40500,"0.66,0.44,1.00,0.20,0.66,0.29,0.44,0.44,0.44,0.29,0.36,0.44",16,0.00,0.00,"Sitelinks, Video, Related searches"
mp3 youtube converter --,Informational,40500,"0.54,0.66,0.10,0.36,1.00,0.01,0.00,0.00,0.00,0.24,0.01,0.00",21,0.00,0.00,"Sitelinks, Video, Video carousel, Related searches"
torque converter,"Informational, Commercial",40500,"0.81,0.81,0.66,0.81,0.81,1.00,0.81,0.81,0.81,0.81,0.81,0.81",22,0.47,0.83,"Sitelinks, Image pack, Video, Video carousel, People also ask, Related searches, Popular products, Things to know"
youtube to mp4 converter,"Informational, Commercial",40500,"1.00,0.82,1.00,0.82,0.67,0.67,0.55,0.67,1.00,0.44,0.55,0.44",25,2.27,0.00,"Sitelinks, Video, Related searches"
convert youtube to mp3,Commercial,33100,"1.00,0.54,0.67,0.67,1.00,1.00,0.67,0.83,0.83,0.67,0.67,0.67",23,0.95,0.00,"Sitelinks, Video, Related searches"
convertible car seat,Commercial,27100,"0.44,0.44,0.36,0.44,0.54,0.54,0.44,0.54,0.81,0.81,1.00,0.66",26,0.37,0.97,"Sitelinks, Image, Image pack, Video, People also ask, Related searches, Popular products, Things to know"
cloud convert,Navigational,22200,"1.00,0.66,0.81,0.66,0.54,0.81,0.81,1.00,0.66,0.66,1.00,0.54",29,1.27,0.02,"Sitelinks, Video, Video carousel, Related searches"
caterpillar convert,"Informational, Transactional",18100,"0.00,0.00,0.00,0.00,0.00,0.00,0.66,0.81,1.00,0.00,0.20,0.30",27,0.60,0.40,"Sitelinks, Image pack, Video, Video carousel, Related searches, Popular products"
youtube mp3 download converter --,Commercial,18100,"1.00,0.81,0.44,0.36,0.81,0.00,0.36,0.30,0.30,0.12,0.20,0.05",24,0.00,0.00,"Sitelinks, Video, Related searches"
youtube to mp3 converter free,Transactional,18100,"0.36,0.66,0.44,0.44,0.13,0.04,0.24,0.36,1.00,1.00,0.44,0.29",19,1.68,0.00,"Sitelinks, Video, Related searches"
convertible crib,Commercial,14800,"0.36,0.36,0.24,0.44,0.54,0.54,0.54,0.54,0.54,0.81,0.66,1.00",22,1.01,0.84,"Sitelinks, Image, Image pack, Video, Discussions and forums, Related searches, Popular products, Things to know"
uppercase to lowercase converter,Navigational,14800,"0.44,0.66,0.66,0.44,0.44,1.00,0.66,0.66,0.81,0.44,0.54,0.44",27,0.02,0.01,"Sitelinks, Video, People also ask, Related searches"
youtube converter mp4,"Informational, Commercial",14800,"0.44,0.44,0.44,0.55,0.67,0.36,1.00,0.24,0.36,0.20,0.24,0.24",17,2.35,0.00,"Video, Related searches"
best convertible car seat,Commercial,12100,"1.00,0.82,0.66,0.82,0.82,1.00,0.82,0.82,0.66,1.00,0.66,0.66",23,0.39,1.00,"Sitelinks, Image, Video, Related searches"
catalytic converter replacement cost,Informational,12100,"0.54,0.66,1.00,1.00,0.54,0.66,0.54,0.54,0.81,0.81,0.81,0.66",28,0.95,0.08,"Featured snippet, Sitelinks, Video, People also ask, Related searches, Popular products"
convert website visitors with garage2global,Informational,12100,"1.00,0.04,0.00,0.00,0.00,0.00",1,12.07,0.21,"Sitelinks, AI Overview, Video, People also ask"
discord time converter,"Informational, Commercial",12100,"0.54,0.54,0.54,0.66,0.66,0.81,0.81,0.81,0.66,0.66,1.00,0.81",22,0.00,0.00,"Sitelinks, Video, Related searches"
mini cooper convertible,Transactional,12100,"0.54,0.44,0.54,0.66,0.54,0.81,0.81,1.00,0.81,0.81,1.00,0.66",29,1.44,1.00,"Sitelinks, Image, Image pack, Video, Video carousel, Related searches"
roman letters converter,"Informational, Commercial",12100,"0.05,0.01,0.81,0.00,1.00,1.00,0.36,0.81,0.44,0.29,0.05,0.36",26,0.01,0.01,"Sitelinks, Video carousel, People also ask, Related searches"
youtube convert,Commercial,12100,"0.66,0.43,0.19,0.81,0.66,1.00,0.54,0.66,0.81,0.36,0.54,0.54",29,1.67,0.00,"Sitelinks, Video, Related searches"
youtube convert to mp3 converter,Commercial,12100,"1.00,1.00,1.00,1.00,0.81,0.54,0.44,0.44,0.36,0.00,0.00,0.00",19,1.52,0.00,"Video, Video carousel, Related searches"
youtube to mp4 converter -- free,"Informational, Commercial",12100,"0.81,0.81,0.81,1.00,1.00,0.19,0.36,0.28,0.36,0.28,0.19,0.00",25,0.00,0.00,"Video, Related searches"
yt to mp3 converter,Commercial,12100,"0.54,0.44,1.00,0.66,0.36,0.36,0.36,0.29,0.44,0.66,0.44,0.29",27,0.00,0.00,"Sitelinks, Video, Related searches"
ytmp3 converter,Informational,12100,"0.83,0.23,0.23,1.00,0.16,0.20,0.23,0.36,0.36,0.44,0.44,0.54",23,0.00,0.00,"Sitelinks, Related searches"
ytmp3 converter --,Informational,12100,"1.00,0.43,0.27,0.67,0.43,0.07,0.07,0.03,0.03,0.13,0.03,0.03",27,0.00,0.00,"Sitelinks, Image, Video, Related searches"
av to hdmi converter,Commercial,9900,"0.67,0.67,1.00,1.00,0.67,0.81,0.67,0.67,0.67,0.81,1.00,0.67",25,0.36,0.96,"Sitelinks, Image, Image pack, Video, Video carousel, Short videos, Related searches, Popular products"
convert youtube to mp3 converter --,"Informational, Transactional",9900,"0.80,0.67,0.53,1.00,0.67,0.13,0.33,0.13,0.33,0.10,0.00,0.00",24,0.00,0.00,"Video, Related searches"
converter of grams to pounds,Informational,9900,"0.05,0.01,0.04,0.00,1.00,1.00,0.81,0.81,0.44,0.00,0.00,0.36",18,0.00,0.00,"Sitelinks, Instant answer, Video, People also ask, Related searches"
ford mustang convertible,"Informational, Transactional",9900,"0.66,0.54,0.44,0.44,0.44,0.54,0.54,0.66,1.00,1.00,1.00,0.66",27,0.81,1.00,"Sitelinks, AI Overview, Image, Video, Video carousel, People also ask, Related searches"
how to convert decimal to fraction,Informational,9900,"1.00,0.24,0.44,0.44,0.54,0.36,0.54,0.44,0.29,0.29,0.44,0.81",23,1.57,0.00,"AI Overview, Video, Short videos, Related searches"
lexus convertible,Transactional,9900,"0.67,0.44,0.44,0.55,0.44,0.82,0.82,1.00,1.00,0.82,1.00,0.82",25,1.16,1.00,"Image, Video, Video carousel, Related searches"
mp3 converter youtube,Commercial,9900,"0.67,1.00,0.67,0.67,0.67,0.54,0.54,0.67,0.54,0.42,1.00,0.42",25,0.95,0.00,"Sitelinks, Video, Video carousel, Related searches"
youtube mp3 converter --,"Informational, Transactional",9900,"1.00,0.54,0.46,0.46,0.69,0.15,0.00,0.08,0.08,0.08,0.00,0.00",22,0.00,0.00,"Video, Related searches"
youtube to mp3 converter --yt1,Commercial,9900,"0.83,0.33,1.00,1.00,0.67,0.42,0.00,0.29,0.42,0.29,0.21,0.21",16,0.00,0.00,"Video, People also ask, Related searches"
beetle cabriolet convertible,Commercial,8100,"0.01,0.00,0.05,0.00,0.66,0.81,0.81,1.00,0.54,0.00,0.07,0.36",15,0.52,1.00,"Image, Image pack, Video, Video carousel, Related searches"
convert youtube to mp4,"Informational, Commercial",8100,"1.00,0.83,1.00,0.83,0.83,0.69,0.83,0.55,0.55,0.55,0.34,0.55",25,1.84,0.01,"Video, Related searches"
line out converter,"Informational, Transactional",8100,"1.00,0.44,0.83,0.30,0.20,0.30,0.20,0.10,0.10,0.12,0.20,0.20",22,0.62,0.20,"Sitelinks, Image, Image pack, Video, People also ask, Related searches, Popular products"
line output converter,"Informational, Transactional",8100,"0.55,0.66,0.66,0.66,0.66,1.00,0.82,1.00,0.82,0.82,1.00,0.82",24,0.58,1.00,"Sitelinks, Image, Video, Video carousel, People also ask, Related searches, Popular products"
youtube converter -- converter mp3,Commercial,8100,"1.00,1.00,0.86,1.00,0.57,0.29,0.14,0.00,0.00,0.00,0.00,0.00",28,0.00,0.00,"Video, Related searches"
youtube t0 mp3 converter,"Informational, Commercial",8100,"0.00,0.01,0.02,0.00,1.00,0.00,0.67,0.67,0.36,0.00,0.00,0.00",18,0.00,0.00,"Sitelinks, Video, Related searches"
yt to mp3 converter --,Commercial,8100,"0.81,0.69,0.81,1.00,0.56,0.00,0.25,0.19,0.25,0.25,0.00,0.13",25,0.00,0.00,"Sitelinks, Video, Related searches"
ac to dc converter,"Informational, Transactional",6600,"1.00,0.81,1.00,0.81,0.67,0.67,0.81,0.81,0.81,1.00,1.00,0.67",22,0.56,0.89,"Sitelinks, Image, Video, People also ask, Related searches, Popular products, Things to know, Ads bottom"
convert mov to mp3,Informational,6600,"0.23,0.66,0.66,0.66,0.44,0.54,0.44,1.00,0.29,0.36,0.44,0.66",29,0.04,0.03,"Sitelinks, Video, Related searches"
