Keyword,Intent,Volume,Keyword Difficulty,CPC (USD)
tyler the creator tickets,Informational,22200,25,0.27
lego creator lego creator,"Navigational, Transactional",9900,29,0.17
what is a digital creator,Informational,9900,14,0.27
crossword creator,Commercial,8100,25,0.34
fantasy map creator,Commercial,8100,21,1.14
metahuman creator,"Informational, Transactional",8100,28,0.76
digital creator,Informational,6600,28,2.20
tyler the creator outfits,Commercial,6600,27,0.39
tyler the creator poster,"Informational, Transactional",6600,15,0.35
tyler the creator vinyl,Commercial,6600,10,0.32
digital creator meaning,Informational,5400,17,0.99
tyler the creator shirt,Commercial,5400,23,0.33
