Keyword,Intent,Volume,Keyword Difficulty,CPC (USD),SERP Features
metal detector detect,Commercial,22200,15,0.49,"Sitelinks, Image, Video, Video carousel, People also ask, Related searches, Popular products, Things to know"
gas leak detector,"Informational, Transactional",18100,27,0.87,"Sitelinks, Image, Image pack, Video, Video carousel, Related searches, Popular products, Ads bottom"
metal detector and,Commercial,18100,26,0.49,"Sitelinks, Image, Video, Video carousel, Knowledge panel, Related searches, Popular products"
smoke detector beeping,Informational,18100,14,1.14,"Sitelinks, AI Overview, Video, Video carousel, Short videos, Related searches"
a smoke detector,"Informational, Commercial",14800,29,1.15,"Sitelinks, Image, Image pack, Video, Video carousel, Related searches, Popular products"
carbon monoxide detector beeping,Informational,14800,14,0.75,"Sitelinks, AI Overview, Image, Video, Video carousel, Short videos, People also ask, Related searches, Ads bottom"
fire smoke detector battery,"Informational, Commercial",14800,28,0.30,"Sitelinks, Image, Image pack, Video, Video carousel, Short videos, People also ask, Local pack, Related searches, Things to know"
lie detector test near me,Transactional,12100,21,0.90,"Sitelinks, Video, People also ask, Local pack, Related searches"
water leak detector,"Informational, Transactional",12100,17,6.29,"Sitelinks, Image, Image pack, Video, Video carousel, Related searches, Popular products"
natural gas detector,Commercial,9900,23,0.57,"Sitelinks, Image, Video, Discussions and forums, Related searches, Popular products"
smoke detector chirping,Informational,9900,18,1.14,"Sitelinks, AI Overview, Video, Video carousel, Short videos, Related searches"
gas detector,"Informational, Transactional",8100,25,0.67,"Sitelinks, Image, Video, Related searches, Popular products, Ads bottom"
smoke detector blinking red,Informational,8100,24,1.57,"Featured snippet, Sitelinks, Image, Image pack, Video, Video carousel, People also ask, Related searches"
vape detector,"Informational, Commercial",8100,29,14.12,"Sitelinks, AI Overview, Image, Image pack, Video, Discussions and forums, Related searches, Popular products"
arc detector breaker,Commercial,6600,22,0.56,"Sitelinks, Video, Video carousel, People also ask, Related searches, Popular products"
best carbon monoxide detector,Commercial,6600,24,0.76,"Sitelinks, AI Overview, Video, People also ask, Related searches"
escort radar detector,Transactional,6600,18,1.32,"Sitelinks, Image, Image pack, Video, People also ask, Related searches, Popular products, Ads top, Ads bottom"
first alert carbon monoxide detector,Commercial,6600,24,0.60,"Sitelinks, Image, Image pack, Video, Video carousel, Related searches, Popular products, Ads bottom"
leak detector,Commercial,6600,26,9.48,"Sitelinks, Image, Video, Related searches, Popular products"
best metal detector,Commercial,5400,23,0.62,"Sitelinks, AI Overview, Image, Video, Related searches, Popular products, Ads bottom, Ads middle"
camera detector,"Informational, Transactional",5400,27,0.61,"Sitelinks, Image, Image pack, Video, Discussions and forums, Related searches, Popular products"
hardwired smoke detector,"Informational, Transactional",5400,18,0.73,"Sitelinks, Image, Video, People also ask, Related searches, Popular products"
kidde smoke detector,"Informational, Transactional",5400,17,0.55,"Sitelinks, Image, Image pack, Video, Video carousel, Discussions and forums, Related searches, Popular products"
natural gas leak detector,"Informational, Commercial",5400,24,0.76,"Sitelinks, Image, Video, Discussions and forums, Related searches, Popular products"
pitch detector,Informational,5400,25,1.32,"Sitelinks, Video, Video carousel, People also ask, Related searches, See results about"
smoke detector batteries,"Informational, Commercial",5400,27,0.37,"Sitelinks, Image, Video, Short videos, People also ask, Related searches, Popular products, Things to know"
uniden radar detector,"Navigational, Transactional",5400,22,0.39,"Sitelinks, Image, Video, Related searches, Popular products"
