Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
pink heart emoji,Informational,18100,"0.24,1.00,0.44,0.36,0.44,0.36,0.29,0.29,0.29,0.20,0.29,0.36",29,0.02,0.02,"AI Overview, Image, Image pack, Video, People also ask, Related searches",82600000
white heart emoji,Informational,14800,"1.00,0.54,0.44,0.54,0.44,0.54,0.44,0.44,0.44,0.36,0.36,0.36",29,0.03,0.01,"Sitelinks, Image, Image pack, Video, People also ask, Related searches",137000000
blue heart emoji,Informational,12100,"0.81,1.00,0.66,0.81,0.66,0.66,0.81,0.81,0.81,0.81,0.81,0.81",29,0.03,0.03,"Sitelinks, AI Overview, Image, Video, People also ask, Related searches",176000000
purple heart emoji,Informational,12100,"0.81,0.81,0.81,1.00,0.44,0.66,0.54,0.81,0.66,0.81,0.54,0.66",28,0.03,0.03,"Sitelinks, Image, Image pack, Video, Related searches",92700000
birthday emoji,Informational,9900,"1.00,1.00,0.67,0.81,0.67,0.67,0.81,1.00,0.81,1.00,0.81,0.67",27,0.19,0.01,"Image, Image pack, Video, People also ask, Related searches",7
snapchat emoji meanings,Informational,9900,"0.83,0.69,0.83,1.00,0.69,0.83,0.83,0.83,0.83,0.83,0.69,0.83",28,0.02,0.00,"AI Overview, Image pack, Video, Video carousel, People also ask, Related searches",9
emoji stickers,Informational,8100,"0.36,0.81,0.66,0.54,0.44,0.54,0.54,0.54,0.54,1.00,1.00,0.81",25,0.40,0.79,"Sitelinks, Image, Image pack, Video, Related searches, Popular products, See results about",5
fun emoji,Informational,6600,"0.66,1.00,0.36,0.29,0.36,0.36,0.54,0.29,0.36,0.54,0.36,0.44",26,0.17,0.00,"Image, Image pack, Video, Video carousel, Related searches",
green heart emoji,Informational,6600,"0.81,0.81,0.81,0.81,0.81,1.00,1.00,1.00,0.81,0.81,1.00,0.81",21,0.02,0.00,"AI Overview, Image, Image pack, Video, People also ask, Related searches",10
blue emoji heart,Informational,5400,"1.00,1.00,0.66,0.44,0.66,0.66,0.81,0.54,0.66,0.81,0.29,0.23",29,0.03,0.03,"Sitelinks, AI Overview, Image, Video, People also ask, Related searches",178000000
emoji keyboard mac,Informational,5400,"0.81,0.67,0.67,0.67,0.81,1.00,0.81,1.00,0.81,1.00,0.81,0.81",28,0.01,0.00,"AI Overview, Image, Image pack, Video, Video carousel, People also ask, Discussions and forums, Related searches",64800000
emojis snapchat significance,Informational,5400,"0.24,0.04,0.08,0.01,0.66,0.81,1.00,0.81,0.81,0.00,0.08,0.54",15,0.01,0.00,"Sitelinks, AI Overview, Video, Video carousel, Related searches",9
what does the blue heart emoji mean,Informational,5400,"0.55,0.67,0.44,0.44,0.55,0.67,0.82,1.00,0.82,0.55,0.67,0.55",27,0.03,0.31,"Sitelinks, AI Overview, Image pack, Video, Related searches",28100000
