Keyword,Intent,Volume,Keyword Difficulty,CPC (USD)
spiderman action figure,"Informational, Transactional",12100,18,0.49
gojo figure,"Informational, Commercial",9900,29,0.33
hatsune miku figure,Commercial,9900,16,0.26
how to figure square footage,Informational,9900,19,0.53
smiski figures,Transactional,9900,29,0.21
action figures invincible,Commercial,8100,25,0.47
deadpool action figure,"Informational, Transactional",8100,25,0.34
examples of figurative language,Informational,8100,24,0.05
hirono figures,Commercial,8100,24,0.30
miku figure,"Informational, Transactional",8100,19,0.23
one piece figures,"Informational, Transactional",8100,18,0.32
spider man action figure,"Informational, Transactional",8100,27,0.49
venom action figure,"Informational, Transactional",8100,21,0.39
7 figures,Informational,6600,25,14.99
demon slayer figures,"Informational, Transactional",6600,12,0.32
figure skates,"Informational, Transactional",6600,26,0.41
figuring asphalt,Informational,6600,17,2.84
godzilla action figures,"Informational, Transactional",6600,26,0.21
goku action figure,"Informational, Transactional",6600,28,0.25
how do you figure out percentage change,Informational,6600,29,0.01
invincible action figure,"Informational, Commercial",6600,26,0.47
marvel action figures,"Informational, Transactional",6600,19,0.35
miku figures,Commercial,6600,14,0.23
pokemon figures,"Informational, Transactional",6600,26,0.34
batman action figures,"Informational, Transactional",5400,24,0.51
figure 8 island,Informational,5400,25,0.63
figuring cubic ft,Informational,5400,24,0.27
gi joe action figures,"Informational, Transactional",5400,29,0.15
godzilla figures,Transactional,5400,28,0.30
how do you figure out the size of a ring,Informational,5400,28,0.40
jey uso action figure,"Informational, Commercial",5400,24,0.22
sonic action figures,"Informational, Transactional",5400,29,0.46
spider man action figures,"Informational, Transactional",5400,25,0.49
spiderman action figures,"Informational, Transactional",5400,25,0.49
tmnt action figures,"Informational, Transactional",5400,26,0.25
