Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features
freaky font,Informational,60500,"1.00,0.67,0.56,0.30,0.30,0.30,0.24,0.24,0.19,0.24,0.17,0.13",24,0.00,0.00,"Sitelinks, Image, Video, Related searches"
bubble font,Informational,14800,"0.44,0.44,0.44,0.44,0.44,0.44,0.81,0.81,0.44,0.36,1.00,1.00",25,1.58,0.14,"Sitelinks, Image, Image pack, Video, People also ask, Related searches, Things to know"
bubble letter font,Informational,12100,"0.54,0.54,0.44,0.54,0.44,0.81,0.66,1.00,0.66,0.44,1.00,0.81",26,1.55,0.20,"Sitelinks, Image, Image pack, Video, Related searches"
dyslexia font,Informational,12100,"0.81,1.00,1.00,1.00,1.00,0.81,1.00,0.81,0.81,0.54,1.00,0.54",29,0.00,0.00,"Sitelinks, Image, Image pack, Video, Related searches"
italic font generator,"Informational, Commercial",9900,"0.66,1.00,0.81,0.81,0.54,0.54,0.66,0.54,0.54,0.36,0.36,0.81",14,0.00,0.00,Related searches
brat font,Informational,8100,"1.00,0.44,0.44,0.35,0.44,0.44,0.67,0.67,0.44,0.30,0.35,0.35",10,0.00,0.00,"Sitelinks, Image, Image pack, Video, People also ask, Related searches"
pokemon font,"Informational, Transactional",8100,"0.67,0.67,0.67,0.67,1.00,0.81,0.81,0.81,0.81,0.67,0.81,0.67",14,0.00,0.00,"Sitelinks, Image, Image pack, Video, Related searches"
times roman font,Informational,8100,"0.44,1.00,0.36,0.81,0.44,0.29,0.19,0.54,0.19,0.54,0.54,0.81",28,2.83,0.00,"Sitelinks, Image pack, Video, People also ask, Knowledge panel, Related searches"
twitter fonts,"Informational, Commercial",8100,"1.00,0.55,0.43,0.55,0.66,0.55,0.55,0.66,0.36,0.36,0.43,0.43",7,0.00,0.00,"Sitelinks, Video, People also ask, Related searches"
wes font,Informational,8100,"0.02,0.03,0.07,0.01,0.81,0.66,1.00,0.66,0.66,0.54,0.07,0.44",17,1.58,0.79,"Image, Image pack, Video, Related searches"
arabesque font,Informational,6600,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00",17,2.96,0.00,"AI Overview, Image, Image pack, Related searches"
facebook site font,Informational,6600,"0.12,0.04,0.08,0.01,1.00,0.81,1.00,0.81,0.81,0.00,0.08,0.54",25,0.00,0.00,"Sitelinks, AI Overview, Image, Video, People also ask, Related searches"
font poppins,"Informational, Transactional",6600,"0.66,0.54,0.81,0.66,0.44,0.81,0.54,1.00,0.66,1.00,0.36,0.19",18,0.00,0.00,"Sitelinks, Image, Image pack, Video, Related searches"
papyrus type font,Informational,6600,"0.00,0.00,0.01,0.01,0.81,0.00,1.00,1.00,0.54,0.00,0.05,0.00",27,3.30,0.00,"Sitelinks, AI Overview, Image, Video, Related searches, Things to know"
playfair display font,"Informational, Commercial",6600,"0.66,0.66,0.44,0.66,0.81,0.81,0.66,1.00,1.00,1.00,1.00,1.00",29,0.00,0.00,"Video, Video carousel, People also ask, Related searches, Things to know"
preppy fonts,"Informational, Commercial",6600,"0.67,0.82,1.00,0.67,0.67,1.00,1.00,1.00,1.00,1.00,0.82,0.82",12,2.94,0.00,"Sitelinks, Image, Image pack, Video, Related searches"
spongebob font,Informational,6600,"0.81,0.54,0.54,0.66,0.81,0.66,0.81,1.00,0.66,0.66,0.66,0.81",23,0.00,0.00,"Sitelinks, Image, Image pack, Video, People also ask, Related searches"
white background meme font,Informational,6600,"0.03,0.03,0.07,0.00,0.54,0.66,1.00,0.66,0.81,0.00,0.02,0.54",20,0.00,0.00,"Image, Image pack, Video, People also ask, Related searches"
baseball font,Informational,5400,"0.67,0.44,0.44,0.55,0.67,0.82,0.82,1.00,0.82,0.67,0.44,0.55",29,1.53,0.53,"Sitelinks, Image, Image pack, Video, People also ask, Related searches"
bluey font,"Informational, Commercial",5400,"0.82,0.67,1.00,1.00,0.82,1.00,1.00,1.00,0.82,0.82,0.82,0.67",24,0.00,0.41,"Sitelinks, Image, Image pack, Video, People also ask, Related searches, Things to know"
fontan procedure,Informational,5400,"1.00,0.81,0.54,0.66,0.54,0.66,0.81,0.66,0.81,0.81,0.81,0.66",29,3.63,0.11,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, Knowledge panel, Related searches"
fonts alphabet,Informational,5400,"0.29,0.36,0.29,0.36,0.36,0.67,0.55,1.00,0.24,0.24,0.82,1.00",28,1.15,0.07,"Sitelinks, Image, Image pack, Video, Video carousel, People also ask, Related searches"
fonts for tattoos,Informational,5400,"0.44,0.44,0.44,0.55,0.55,0.67,1.00,0.82,0.82,0.67,0.55,0.55",27,0.70,0.11,"Sitelinks, Image, Image pack, Video, Related searches"
happy birthday font,Informational,5400,"0.66,0.66,0.66,0.54,0.66,0.66,0.81,1.00,0.54,0.81,0.81,0.66",23,1.72,0.71,"Sitelinks, Image, Image pack, Video, Related searches"
roman font,Informational,5400,"0.66,0.29,0.44,0.23,0.29,0.29,1.00,0.54,0.29,0.19,0.29,0.44",27,1.75,0.01,"Sitelinks, AI Overview, Image, Image pack, Video, Related searches"
twitter font,Informational,5400,"1.00,1.00,0.83,0.55,0.66,0.55,0.66,0.66,0.34,0.66,0.45,0.66",29,0.00,0.00,"Sitelinks, Video, People also ask, Related searches"
