Keyword,Intent,Volume,Keyword Difficulty,CPC (USD)
fantasy name generator,Transactional,110000,27,0.01
generac generator,"Navigational, Transactional",90500,26,3.03
portable solar power generator,"Informational, Transactional",90500,26,0.83
username generator,Informational,90500,27,0.55
portable generator,"Informational, Transactional",40500,27,0.79
generator installation,Commercial,33100,19,15.65
juice generation,"Navigational, Transactional",27100,29,0.60
generac generator cost,Commercial,22200,27,1.63
generac generators,"Navigational, Transactional",22200,28,3.03
ipad 6th generation,Commercial,22200,25,0.28
whole house generator,"Informational, Commercial",22200,26,5.47
9th generation ipad,"Informational, Commercial",18100,28,0.32
gamertag generator,Informational,18100,24,0.80
ipad 5th generation,Commercial,18100,29,0.30
email signature generator,Commercial,14800,23,2.88
generator transfer switch,"Informational, Commercial",14800,17,0.97
acs citation generator,Informational,12100,27,4.09
fantasy map generator,"Informational, Commercial",12100,23,1.14
generac home generator,Commercial,12100,25,3.21
lastpass password generator,Navigational,12100,28,2.49
computer generated solutions,Navigational,9900,27,1.07
dual fuel generator,Commercial,9900,29,0.78
generation jones,Informational,9900,28,1.51
generator miami,Informational,9900,28,1.13
generators inverter generators,Transactional,9900,9,0.56
guid generator,Informational,9900,29,0.01
rap name generator,Commercial,9900,28,0.78
uncensored ai generator,Commercial,9900,24,0.57
upside down text generator,Navigational,9900,6,0.01
wedding hashtag generator,"Informational, Transactional",9900,7,0.36
ai cover letter generator,Informational,8100,29,1.97
ai image generator no restrictions,Informational,8100,28,0.66
album cover generator,Informational,8100,21,0.65
ambigram generator,"Informational, Transactional",8100,12,2.59
apple pencil for ipad 10th generation,Informational,8100,25,0.24
book title generator,"Informational, Commercial",8100,25,0.12
chicago style generator,"Informational, Commercial",8100,27,1.77
generac portable generator,"Navigational, Transactional",8100,26,0.92
generation based incentive,Informational,8100,18,1.03
generations bank,Commercial,8100,8,7.34
generator repair,Commercial,8100,27,8.17
honda company generator,"Navigational, Transactional",8100,21,0.49
onan generator,Commercial,8100,21,1.71
ozone generator ozone,Commercial,8100,23,0.52
ryobi generator,"Informational, Transactional",8100,29,0.58
sixth generation fighter,Informational,8100,16,0.58
venn diagram generator,Informational,8100,26,1.25
ai kissing generator,Commercial,6600,26,0.43
ai tattoo generator free,Commercial,6600,26,0.89
best solar generator,Commercial,6600,27,1.45
cse citation generator,Informational,6600,28,3.52
handwritten signature generator,Informational,6600,22,1.17
ipad 9th generation case,"Informational, Transactional",6600,25,0.49
phone number generator,"Informational, Commercial",6600,14,1.50
powerhouse generation,Navigational,6600,12,2.37
predator generators,Transactional,6600,26,0.59
rap lyrics generator,Commercial,6600,20,0.84
seventh generation dishwasher detergent,"Informational, Transactional",6600,13,0.48
tri fuel generator,"Informational, Transactional",6600,11,0.96
4patriots solar generator,"Informational, Transactional",5400,29,1.17
50 amp generator,"Informational, Transactional",5400,15,0.60
all generating,Navigational,5400,21,0.02
azgaar's fantasy map generator,,5400,21,0.98
chord progression generator,"Informational, Transactional",5400,17,1.83
corvette generations,Informational,5400,18,0.25
gas in generator,"Informational, Commercial",5400,21,1.50
generation love,Navigational,5400,21,0.89
generational curses,Informational,5400,29,0.19
generator cover,"Informational, Transactional",5400,26,0.68
generator maintenance,Commercial,5400,25,8.03
gmail generator,Informational,5400,27,2.95
honda generator 2200,"Navigational, Transactional",5400,22,0.52
how much is a generac generator,Informational,5400,15,0.97
instagram caption generator,Commercial,5400,24,1.24
instagram name generator,"Informational, Commercial",5400,27,0.02
online graffiti generator,"Informational, Commercial",5400,17,0.60
predator 5000 generator,"Informational, Transactional",5400,25,0.86
random phone number generator,"Informational, Commercial",5400,19,1.50
random verse generator,Navigational,5400,19,5.00
song name generator,Informational,5400,26,1.05
tacoma generations,Informational,5400,27,2.77
turabian citation generator,Informational,5400,25,2.65
