Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
x ideos,Navigational,246000,"0.04,0.04,1.00,0.06,0.16,0.09,0.04,0.07,0.07,0.07,0.44,0.11",27,2.63,0.00,Sitelinks,3
elf on the shelf ideas,"Informational, Commercial",165000,"0.00,0.09,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",14,0.07,0.88,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches, Popular products, Ads top, Ads bottom",10
white elephant gift ideas,Commercial,90500,"0.00,0.20,1.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",29,0.20,0.88,"Sitelinks, AI Overview, Image, Video, People also ask, Related searches, Popular products, Ads top, Ads bottom",9
pumpkin painting ideas,Informational,60500,"1.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06",21,0.08,0.28,"Sitelinks, Image, Image pack, Video, Video carousel, Discussions and forums, Related searches, Popular products",7
vegan meal prep ideas,Informational,60500,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00",24,1.05,0.31,"Sitelinks, AI Overview, Image, Video, Recipes, Related searches",243000000
tattoo ideas for men,Informational,40500,"0.82,0.55,0.44,0.55,0.55,1.00,0.65,0.82,0.82,0.55,0.82,0.65",27,0.39,0.07,"Image, Image pack, Video, Related searches",8
date night ideas,Informational,33100,"0.67,0.82,0.55,1.00,0.82,0.82,0.82,0.82,0.82,0.67,0.67,0.67",7,0.67,0.42,"Sitelinks, AI Overview, Image, Image pack, Video, Related searches",9
easy elf on the shelf ideas,Informational,33100,"0.00,0.03,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",18,0.07,0.80,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches, Popular products, Ads bottom",10
hair color ideas,"Informational, Commercial",33100,"0.53,0.53,0.80,0.53,1.00,0.67,0.80,0.53,0.44,0.53,0.67,0.53",23,0.36,0.48,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, Related searches, Popular products",10
tattoo ideas tattoos,Informational,33100,"0.81,0.81,0.81,0.81,0.81,1.00,0.00,0.00,0.00,0.00,0.00,0.30",29,0.40,0.05,"Image, Image pack, Video, Related searches",9
easy lunch ideas,Informational,27100,"0.81,0.81,0.81,1.00,0.81,1.00,0.81,0.81,0.81,0.81,0.81,0.81",27,0.18,0.35,"Sitelinks, AI Overview, Image, Video, People also ask, Recipes, Related searches",917000000
elf ideas,Informational,27100,"0.00,0.07,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",27,0.04,0.13,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches, Popular products",10
sunday dinner ideas,Informational,27100,"0.66,0.81,0.81,0.66,0.66,1.00,0.66,0.44,0.44,0.54,0.66,0.81",23,0.08,0.49,"AI Overview, Image, Image pack, Video, Video carousel, Recipes, Related searches",8
chicken coop ideas,Informational,22200,"0.20,0.16,0.25,0.37,0.37,1.00,0.44,0.54,0.30,0.20,0.20,0.16",27,0.20,1.00,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, Discussions and forums, Related searches, Popular products",9
rock painting ideas,Informational,22200,"0.55,0.44,0.30,0.44,0.36,0.55,0.67,1.00,0.82,0.82,1.00,0.24",27,0.14,0.96,"Sitelinks, Image, Image pack, Video, Video carousel, Related searches, Popular products",10
wedding gift ideas,Commercial,22200,"1.00,0.67,0.54,0.36,0.44,0.67,0.54,0.67,0.67,0.67,0.54,0.67",29,0.37,1.00,"Sitelinks, AI Overview, Image, Video, People also ask, Related searches, Popular products",6
backsplash ideas,Informational,18100,"1.00,1.00,1.00,0.82,1.00,1.00,0.66,0.82,0.45,0.66,0.45,0.45",27,0.36,1.00,"Sitelinks, Image, Image pack, Video, Video carousel, People also ask, Related searches, Popular products, Ads bottom",5
birthday ideas,Informational,18100,"0.43,0.66,0.43,0.81,0.81,0.81,0.81,0.81,0.66,1.00,0.81,1.00",24,0.80,0.43,"Sitelinks, AI Overview, Image, Video, People also ask, Related searches",2020000000
birthday party ideas,Informational,18100,"0.44,0.66,0.54,1.00,0.66,0.66,0.66,0.66,0.54,0.54,0.54,0.54",25,1.22,0.51,"Sitelinks, AI Overview, Image, Video, Video carousel, Discussions and forums, Related searches",10
bucket list ideas,Informational,18100,"0.82,0.55,0.82,1.00,0.55,0.55,1.00,1.00,0.82,0.44,0.67,0.67",13,0.02,0.06,"Sitelinks, AI Overview, Image, Video, Discussions and forums, Related searches",8
