Keyword,Intent,Volume,Keyword Difficulty,CPC (USD),SERP Features
list crawler,Navigational,550000,28,2.35,Sitelinks
angelina jolie movies list,Informational,74000,28,0.00,"Sitelinks, Image, Image pack, Video, Related searches, See results about"
one piece filler list,Informational,74000,27,0.00,"Sitelinks, Image, Video, Related searches"
nikke tier list,Informational,49500,20,0.00,"Sitelinks, Image, Image pack, Video, Video carousel, People also ask, Related searches"
ppp loan warrant list,"Informational, Commercial",40500,23,2.99,"Sitelinks, AI Overview, Video, Related searches"
surging sparks card list,"Informational, Commercial",40500,18,0.05,"Sitelinks, Image pack, Video, Video carousel, Related searches"
destined rivals card list,"Informational, Transactional",33100,20,0.10,"Sitelinks, Image pack, Video, Video carousel, Related searches"
hsr tier list,"Informational, Commercial",33100,27,5.54,"Sitelinks, Image, Image pack, Video, Related searches"
peyton list nude,"Informational, Commercial",33100,22,0.00,
anime vanguards tier list,Commercial,27100,26,0.00,"Sitelinks, Image, Image pack, Video, Related searches"
crown zenith card list,Commercial,27100,10,0.08,"Sitelinks, Image, Image pack, Video, Related searches"
dollar general penny list,"Informational, Transactional",27100,27,1.47,"Sitelinks, Video, Video carousel, Related searches"
natasha richardson movies list,Informational,27100,28,0.00,"Sitelinks, AI Overview, Image, Video, Discussions and forums, Related searches, See results about"
obsidian flames card list,"Informational, Transactional",27100,29,0.06,"Sitelinks, Image pack, Video, Video carousel, Related searches"
paradox rift card list,"Informational, Transactional",27100,11,0.08,"Sitelinks, Image pack, Video, Video carousel, Related searches"
prismatic evolutions card list,"Informational, Transactional",27100,16,0.19,"Sitelinks, Image, Image pack, Video, Related searches"
stellar crown card list,"Informational, Commercial",27100,20,0.00,"Sitelinks, Image, Image pack, Video, Video carousel, People also ask, Related searches"
temporal forces card list,Informational,27100,27,0.10,"Sitelinks, Image, Video, Video carousel, Related searches"
twilight masquerade card list,Informational,27100,19,0.03,"Sitelinks, Image pack, Video, Video carousel, Related searches"
f list,"Informational, Transactional",22200,27,3.75,"Sitelinks, Video, Related searches"
paldea evolved card list,Informational,22200,14,0.11,"Sitelinks, Image, Image pack, Video, People also ask, Related searches"
paldean fates card list,Commercial,22200,16,0.08,"Sitelinks, Image, Video, Related searches"
pierce brosnan movies list,Informational,22200,23,0.00,"Sitelinks, AI Overview, Image, Video, People also ask, Related searches, See results about"
shrouded fable card list,"Informational, Commercial",22200,11,0.21,"Sitelinks, Video, Video carousel, Related searches"
terminal list season 2,Informational,22200,29,0.00,"Sitelinks, AI Overview, Image, Video, Video carousel, People also ask, Discussions and forums, Related searches"
bucket list ideas,Informational,18100,20,0.02,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Discussions and forums, Related searches"
honkai star rail tier list,Commercial,18100,17,13.54,"Sitelinks, Image, Video, Related searches"
silver tempest card list,Informational,18100,19,0.14,"Sitelinks, Image, Image pack, Video, Related searches"
