Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
logo autoaufbereitung,Informational,49500,"1.00,1.00,0.81,0.81,0.81,1.00,1.00,0.37,0.30,0.00,0.02,0.20",28,1.73,0.05,"Sitelinks, Image, Image pack, Video, Related searches",144000000
the taking of deborah logan,Informational,40500,"0.66,0.36,1.00,0.54,0.36,0.30,0.44,0.66,0.44,0.30,0.81,0.54",25,2.62,0.00,"Sitelinks, Image, Video, Video carousel, People also ask, Knowledge panel, Discussions and forums, Related searches",10
log splitter,"Informational, Transactional",33100,"0.81,0.81,1.00,0.66,0.44,0.44,0.36,0.36,0.36,0.54,0.44,0.44",20,0.37,1.00,"Sitelinks, Image, Image pack, Video, Video carousel, Related searches, Popular products",10
toyota logo,Informational,22200,"1.00,0.67,0.67,1.00,1.00,1.00,1.00,1.00,0.82,0.82,0.82,0.82",25,0.41,0.03,"Sitelinks, AI Overview, Image, Image pack, Video, Related searches",9
hellcat logo,Informational,18100,"0.54,0.44,0.67,0.67,0.44,0.54,1.00,1.00,0.67,0.29,0.44,0.44",28,0.26,0.21,"Sitelinks, Image, Image pack, Video, People also ask, Related searches, Popular products",17700000
logan express framingham,"Informational, Transactional",18100,"1.00,0.66,1.00,0.81,1.00,0.81,0.81,0.54,0.81,0.81,0.54,0.81",29,1.57,0.06,"Sitelinks, Image, Image pack, Video, People also ask, Local pack, Related searches",10
logos ethos pathos,Informational,18100,"1.00,1.00,0.44,0.55,0.82,0.67,1.00,0.67,0.30,0.15,0.44,0.82",27,1.10,0.00,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, Related searches",6
notre dame logo,Informational,18100,"0.29,0.29,0.44,1.00,0.36,0.29,0.36,0.36,0.24,0.20,0.81,0.44",27,0.29,0.13,"Sitelinks, Image, Image pack, Video, People also ask, Related searches",10
chevy logo,Informational,14800,"0.67,0.54,0.81,0.81,0.67,1.00,1.00,1.00,0.67,0.67,0.81,0.81",10,0.30,0.18,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches",381000000
corvette logo,Informational,14800,"0.54,0.54,0.66,0.54,0.54,0.66,0.66,0.81,0.81,0.54,1.00,0.66",11,0.44,0.19,"Sitelinks, Image, Image pack, Video, Related searches, Popular products",8
dr pepper logo,"Informational, Commercial",14800,"0.54,0.54,0.36,0.66,0.44,0.66,0.81,0.81,0.54,0.44,1.00,0.66",22,0.16,0.14,"Sitelinks, Image, Image pack, Video, Related searches, Popular products",8
la rams logo,Informational,14800,"0.44,0.63,0.81,1.00,0.38,0.44,0.44,0.44,0.25,0.38,0.44,0.81",27,0.14,0.31,"Sitelinks, Image, Image pack, Video, Video carousel, People also ask, Related searches",10
lincoln logs and,Commercial,14800,"0.00,0.00,0.02,0.00,1.00,0.66,1.00,0.44,0.36,0.00,0.04,0.36",14,0.23,0.88,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Related searches, Popular products",10
louis vuitton logo,Informational,14800,"0.66,0.66,0.81,0.54,0.66,0.66,0.66,1.00,0.54,0.54,0.66,0.54",28,0.80,0.47,"Sitelinks, Image, Image pack, Video, Related searches, Popular products",9
minnesota vikings logo,Informational,14800,"1.00,0.67,1.00,0.81,0.67,0.30,0.44,0.30,0.36,0.23,0.54,1.00",25,0.92,0.50,"Image, Image pack, Video, People also ask, Related searches",75500000
redskins logo,Informational,14800,"0.54,0.81,0.54,1.00,0.24,0.16,0.20,0.20,0.13,0.24,0.29,0.36",27,0.14,0.01,"Sitelinks, AI Overview, Image, Video, Related searches",
vikings logo,Informational,14800,"0.66,0.66,0.81,0.81,0.54,0.29,0.54,0.36,0.29,0.36,0.66,1.00",25,0.92,0.50,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, Related searches",95100000
atlanta falcons logo,Informational,12100,"1.00,1.00,0.67,0.55,0.55,0.44,0.36,0.44,0.36,0.36,0.67,0.82",13,0.83,0.32,"Sitelinks, Image, Image pack, Video, Related searches",10
bills logo,Informational,12100,"0.36,0.44,0.55,1.00,0.24,0.24,0.24,0.36,0.24,0.20,0.44,0.82",28,0.26,0.30,"Sitelinks, Image, Image pack, Video, Related searches",395000000
broncos logo,Informational,12100,"0.54,0.81,0.66,0.81,0.44,0.36,0.36,0.36,0.44,0.29,0.54,1.00",25,0.49,0.66,"Sitelinks, Image, Image pack, Video, Video carousel, Top stories, Related searches",58100000
cadillac logo,Navigational,12100,"0.54,0.54,0.81,0.44,0.81,0.66,0.81,0.81,0.81,0.66,1.00,0.66",23,0.18,0.25,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches",205000000
capcut logo,Informational,12100,"0.10,0.16,0.54,1.00,0.13,0.29,0.24,0.16,0.16,0.20,0.16,0.13",25,2.85,0.00,"Image, Image pack, Video, Related searches",10
mustang logo,Informational,12100,"0.81,0.67,1.00,0.67,0.67,0.67,1.00,1.00,0.81,0.81,1.00,1.00",23,0.26,0.14,"Image, Image pack, Video, Video carousel, People also ask, Related searches, Popular products",10
nbc logo,Informational,12100,"0.81,1.00,0.81,0.81,0.81,0.67,0.67,0.54,0.54,0.67,0.81,0.81",21,4.46,0.00,"Sitelinks, Image, Image pack, Video, Related searches",9
playboy bunny logo,Informational,12100,"1.00,0.82,0.67,0.82,0.67,1.00,1.00,0.82,1.00,0.82,0.82,0.67",24,0.82,0.03,"Sitelinks, AI Overview, Image, Video, People also ask, Related searches",23600000
army logo,Informational,9900,"0.82,1.00,0.82,0.82,0.82,0.67,1.00,1.00,0.82,0.82,0.82,0.82",26,0.45,0.20,"Image, Image pack, Video, People also ask, Related searches",9
avengers logo,Informational,9900,"0.82,0.66,0.66,0.66,0.66,0.66,0.66,1.00,0.66,0.82,1.00,0.66",26,0.51,0.03,"Sitelinks, Image, Image pack, Video, Related searches",6
car logos and names,Informational,9900,"0.81,0.36,1.00,1.00,0.81,0.81,0.67,0.81,0.81,0.81,0.81,0.81",27,1.88,0.07,"Sitelinks, Image, Image pack, Video, Video carousel, People also ask, Related searches",131000000
denver broncos logo,Informational,9900,"0.36,0.29,0.36,0.44,0.24,0.19,0.44,0.44,0.36,0.36,0.29,1.00",26,0.49,0.66,"Sitelinks, Image, Image pack, Video, Related searches",
