Keyword,Intent,Volume,Keyword Difficulty,CPC (USD)
tie dye patterns,Informational,22200,19,0.11
perler bead patterns,Commercial,18100,24,0.26
crochet blanket pattern,"Informational, Transactional",14800,21,0.21
male or female pattern baldness,Informational,14800,21,2.51
paisley pattern,Informational,14800,17,0.27
head and shoulders pattern,Informational,12100,23,0.10
pattern sewer,"Informational, Transactional",12100,16,0.29
crochet patterns for beginners,Informational,9900,25,0.33
red nail patterns,Informational,9900,28,0.18
crochet newborn blanket patterns,"Informational, Transactional",8100,11,0.16
granny square crochet pattern,Informational,8100,25,0.23
plaid pattern,"Informational, Commercial",8100,26,1.09
quilt pattern,Informational,8100,18,0.26
bull flag pattern,Informational,6600,29,0.99
crochet flower pattern,"Informational, Commercial",6600,17,0.37
crochet hat pattern,"Informational, Transactional",6600,21,0.17
dress patterns,Commercial,6600,26,0.19
message exchange pattern,Informational,6600,18,3.05
tire rotation pattern,Informational,6600,17,0.15
camo pattern,"Informational, Commercial",5400,28,1.53
camo patterns,Commercial,5400,19,1.53
crochet bag pattern,Informational,5400,24,0.13
crochet beanie pattern free,Informational,5400,21,0.11
crochet cardigan pattern,Informational,5400,28,0.16
crochet scarf patterns,"Informational, Transactional",5400,21,0.12
crochet sweater patterns,"Informational, Transactional",5400,9,0.19
free amigurumi patterns,Informational,5400,25,0.20
free crochet blanket patterns,Informational,5400,24,0.11
free pattern making,"Informational, Commercial",5400,29,0.25
jelly roll quilt patterns,Commercial,5400,10,0.13
knitted pattern jumper,Informational,5400,14,0.24
knitting patterns knitting,"Informational, Commercial",5400,19,0.32
pony bead patterns,"Informational, Commercial",5400,25,0.23
stained glass patterns,"Informational, Commercial",5400,28,0.24
tile patterns,Informational,5400,19,1.18
