Keyword,Intent,Volume,Keyword Difficulty,CPC (USD),SERP Features
hitch receiver,"Informational, Transactional",9900,29,0.66,"Sitelinks, Image, Image pack, Video, Video carousel, People also ask, Related searches, Popular products"
receive signal level,Informational,9900,16,0.58,"Featured snippet, Video, Video carousel, People also ask, Related searches"
logitech unifying receiver,"Informational, Transactional",8100,27,0.44,"Sitelinks, AI Overview, Image, Video, Related searches, Popular products, Ads bottom"
receiving blankets,"Informational, Commercial",8100,29,0.40,"Sitelinks, Image, Video, Related searches, Popular products"
stereo receiver,"Informational, Transactional",8100,24,0.40,"Sitelinks, Image, Video, Video carousel, People also ask, Related searches, Popular products, Things to know, Ads bottom"
universal receiver blood type,Informational,8100,25,0.37,"Sitelinks, AI Overview, Video, People also ask, Related searches"
best wide receivers of all time,Commercial,6600,17,0.02,"Sitelinks, Video, People also ask, Carousel, Related searches"
blood group universal receiver,Informational,6600,19,0.37,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches"
locking receiver hitch,"Informational, Transactional",6600,14,1.06,"Sitelinks, Image, Video, Video carousel, People also ask, Related searches, Popular products"
wide receiver rankings,Informational,6600,28,0.30,"Image pack, Video, Video carousel, People also ask, Related searches"
accounts payable vs accounts receivable,Commercial,5400,26,2.34,"Sitelinks, AI Overview, Image pack, Video, Short videos, People also ask, Discussions and forums, Related searches"
accounts receivable jobs,Commercial,5400,26,0.49,"Video, People also ask, Jobs, Related searches"
is accounts receivable an asset,Informational,5400,21,4.96,"Sitelinks, AI Overview, Video, People also ask, Discussions and forums, Related searches"
manifest and receive by eva hartley,Informational,5400,27,0.48,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Related searches, Ads top"
receivable management services,"Informational, Commercial",5400,24,5.36,"Sitelinks, AI Overview, Video, People also ask, Local pack, Knowledge panel, Related searches, Ads bottom"
receiving blanket blankets,Commercial,5400,24,0.40,"Sitelinks, Image, Video, Video carousel, Related searches, Popular products"
why am i not receiving emails,Informational,5400,22,0.41,"Sitelinks, AI Overview, Video, Video carousel, Related searches"
wireless hdmi transmitter and receiver,Commercial,5400,27,0.72,"Sitelinks, Image, Video, Video carousel, People also ask, Related searches, Popular products, Things to know, Ads bottom"
