Keyword,Intent,Volume,Keyword Difficulty,CPC (USD),SERP Features
record player stand,"Informational, Transactional",27100,29,0.62,"Sitelinks, Image, Image pack, Video, People also ask, Related searches, Popular products"
record player and turntable,Commercial,18100,29,0.35,"Sitelinks, Image, Video, Discussions and forums, Related searches, Popular products"
horry county land records,Transactional,14800,25,1.00,"Video, Related searches"
record of ragnarok season 3,"Informational, Transactional",14800,26,2.54,"Sitelinks, AI Overview, Image, Video, Video carousel, Discussions and forums, Related searches, See results about"
gregg county judicial records,Informational,12100,20,0.70,"Sitelinks, People also ask, Related searches"
record player with speakers,Commercial,12100,26,0.52,"Sitelinks, Image, Image pack, Video, Discussions and forums, Related searches, Popular products, Ads bottom"
how to add screen record on iphone,Informational,8100,27,2.74,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Related searches"
how to record on youtube tv,Informational,8100,24,0.51,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches"
network video recorder,Commercial,8100,23,1.65,"Sitelinks, Image, Video, Video carousel, People also ask, Related searches, Popular products, Things to know, Ads bottom"
pirate com rehearsal & recording studios,Navigational,8100,20,1.60,"Sitelinks, Image, Video carousel, Local pack, Related searches"
blockflote recorder,"Informational, Transactional",6600,13,0.41,"Sitelinks, Video, Video carousel, Knowledge panel, Related searches"
fisher price record player,Transactional,6600,25,0.19,"Sitelinks, Image, Image pack, Video, Video carousel, Short videos, Related searches, Popular products"
greensboro news & record newspaper,Navigational,6600,21,1.95,"Sitelinks, Video, Knowledge panel, Related searches"
record player table,Commercial,6600,14,0.60,"Sitelinks, Image, Image pack, Video, Discussions and forums, Related searches, Popular products"
recorder fingering chart,Informational,6600,23,0.30,"Image, Image pack, Video, People also ask, Related searches"
shelves vinyl records,"Informational, Transactional",6600,10,0.70,"Sitelinks, Image, Image pack, Video, Video carousel, Related searches, Popular products"
alabama record,Informational,5400,29,0.24,"Sitelinks, Instant answer, Video, Video carousel, Top stories, Related searches"
bluetooth record player,Commercial,5400,26,0.43,"Sitelinks, Image, Video, People also ask, Related searches, Popular products, Things to know"
comal county court records,Informational,5400,14,0.71,"Sitelinks, AI Overview, Video, Related searches"
comal county jail records,Informational,5400,17,0.40,"AI Overview, Image, Video, People also ask, Related searches"
guadalupe county jail records,"Informational, Commercial",5400,21,0.51,"Sitelinks, Image, Video, Related searches"
hays county jail records,Informational,5400,27,0.59,"AI Overview, Video, Related searches"
how to clean vinyl records,Informational,5400,10,0.14,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches"
how to on screen record iphone,Informational,5400,27,2.48,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches"
lasalle county court records,"Informational, Transactional",5400,26,0.45,Related searches
medical records jobs,Commercial,5400,28,0.56,"Video, People also ask, Jobs, Related searches"
miami dade public records,Informational,5400,22,0.69,"Sitelinks, Video, Related searches"
music producer and record producer,Informational,5400,15,3.79,"Sitelinks, AI Overview, Image, Video, Video carousel, Related searches"
old record player,Commercial,5400,29,0.44,"Sitelinks, Image, Image pack, Video, Video carousel, Related searches, Popular products"
record of fossils,Informational,5400,29,2.60,"Sitelinks, AI Overview, Image pack, Video, Video carousel, Related searches"
record player cabinet,"Informational, Transactional",5400,10,0.79,"Sitelinks, Image, Image pack, Video, Related searches, Popular products"
record producer,Informational,5400,28,3.79,"Sitelinks, AI Overview, Image, Video, Related searches"
recorder musical instrument,"Informational, Transactional",5400,28,0.41,"Sitelinks, Image, Video, Video carousel, Short videos, People also ask, Related searches, Popular products, Things to know"
sangamon county court records,"Navigational, Transactional",5400,27,0.40,"Video, Related searches"
speakers for record player,Commercial,5400,24,0.52,"Sitelinks, Image, Video, Discussions and forums, Related searches, Popular products"
wisconsin immunization records,"Informational, Transactional",5400,22,3.07,"Video, Related searches"
