Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features
atlas resources partners,Informational,27100,"0.00,0.00,0.00,0.00,0.16,1.00,0.55,0.55,0.67,0.00,0.01,0.16",11,0.63,0.00,"Sitelinks, AI Overview, Video, People also ask, Related searches"
bureau of fisheries and aquatic resources,Navigational,18100,"1.00,0.00,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",24,0.00,0.00,"Sitelinks, Video, People also ask, Related searches, See results about"
dog trainers for resource guarding,Informational,8100,"0.00,0.00,0.00,0.00,0.54,1.00,0.81,0.81,0.29,0.00,0.04,0.36",14,3.72,0.05,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Local pack, Discussions and forums, Related searches"
gender resource centre,Informational,8100,"0.10,0.02,0.07,0.01,0.81,1.00,1.00,0.66,0.81,0.00,0.08,0.54",12,12.48,0.14,"Video carousel, People also ask, Related searches"
open up resources,Navigational,8100,"0.44,0.36,0.30,0.44,0.54,0.36,0.54,0.44,0.23,0.23,0.81,1.00",26,2.00,0.05,"Sitelinks, Video, Video carousel, Related searches, See results about, Ads top, Ads bottom"
resources in a ___ economy are allocated through individual decision-making.,Informational,8100,"1.00,0.00",17,0.00,0.00,"Sitelinks, AI Overview, Video, People also ask, Related searches, Questions and answers"
trillium health resources,"Navigational, Commercial",8100,"1.00,0.81,0.81,1.00,0.81,0.81,0.81,0.81,0.81,1.00,0.81,1.00",21,2.78,0.11,"Sitelinks, Video, Local pack, Related searches"
models resource,Navigational,6600,"0.66,0.66,0.66,1.00,1.00,0.81,0.66,0.81,0.81,0.66,0.81,0.66",24,2.70,0.00,"Sitelinks, Video, Video carousel, Related searches"
neighbourhood resource centre,Commercial,6600,"0.10,0.00,0.07,0.01,0.00,1.00,1.00,0.66,0.66,0.00,0.08,0.54",23,3.39,0.00,"Image, Video, Related searches"
remote human resources jobs,Commercial,6600,"0.44,0.44,0.81,0.44,0.29,0.44,1.00,0.54,0.54,0.36,0.36,0.12",28,0.65,0.29,"Video, People also ask, Jobs, Related searches"
what are natural resources,Informational,6600,"0.66,0.29,0.16,0.24,0.19,0.54,1.00,1.00,0.08,0.03,0.44,0.81",25,0.00,0.00,"Sitelinks, AI Overview, Image pack, Video, Related searches"
ecisd resources,Navigational,5400,"0.66,0.44,0.44,0.19,0.44,0.54,0.54,1.00,0.44,0.10,0.66,1.00",17,0.00,0.00,"Sitelinks, Video, Related searches"
list and describe 5 different ways to allocate resources.,Informational,5400,"1.00,0.00",26,0.00,0.00,"AI Overview, Video, Related searches"
minecraft 1.21.8 resource packs,Commercial,5400,"0.66,0.66,1.00",25,0.00,0.00,"Sitelinks, Image, Image pack, Video, Video carousel, People also ask, Related searches"
resource boy,Navigational,5400,"0.81,1.00,0.01,0.00,0.81,0.01,1.00,0.02,0.81,0.66,1.00,0.01",28,0.00,0.00,"Sitelinks, Image, Video, Related searches"
resource distribution definition geography,Commercial,5400,1.00,15,0.00,0.00,"Sitelinks, AI Overview, Video, Related searches"
school resource officer,Informational,5400,"0.55,0.67,0.55,0.44,0.82,1.00,0.55,0.55,0.55,0.55,0.67,0.82",20,0.00,0.00,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Top stories, Related searches"
teks resource system,Commercial,5400,"1.00,0.53,0.14,0.81,0.67,0.53,0.44,0.36,0.28,0.53,1.00,0.53",13,0.00,0.00,"Sitelinks, Video, Related searches"
