Keyword,Intent,Volume,Keyword Difficulty,CPC (USD)
period cramp simulator,"Informational, Commercial",18100,29,0.19
tcg card shop simulator mods,Informational,12100,24,1.74
totally accurate battle simulator,"Informational, Transactional",9900,28,0.30
drag race simulator,"Informational, Transactional",8100,26,1.60
full swing golf simulator price,Transactional,8100,20,0.91
credit score simulator,Informational,6600,25,2.54
golf daddy simulator,"Informational, Transactional",6600,28,0.21
home golf simulator,Commercial,6600,26,1.40
period simulator,"Informational, Commercial",6600,29,0.14
racing simulator cockpit,"Informational, Transactional",6600,19,0.44
foresight golf simulator,Informational,5400,20,5.88
