Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
worship songs,Informational,40500,"1.00,1.00,0.66,1.00,1.00,1.00,1.00,1.00,1.00,0.81,1.00,1.00",28,1.95,0.02,"Video, Video carousel, Carousel, Related searches",10
disney songs,"Informational, Commercial",33100,"1.00,0.81,0.81,0.81,0.81,1.00,1.00,1.00,0.67,0.56,0.81,0.81",29,0.58,0.00,"Sitelinks, AI Overview, Image, Video, Video carousel, People also ask, Discussions and forums, Related searches",10
the song of achilles,Informational,27100,"0.82,0.68,0.82,1.00,1.00,0.68,0.82,0.55,0.36,1.00,0.82,1.00",20,0.39,0.12,"Sitelinks, Video, Knowledge panel, Related searches, Popular products",6
song select,Navigational,22200,"0.67,0.67,0.67,0.54,0.54,0.81,0.67,0.67,0.54,1.00,0.67,0.67",29,0.05,0.13,"Sitelinks, Video, Video carousel, Related searches",8
ccli song select,Navigational,18100,"0.66,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,1.00,0.81",22,0.06,0.03,"Sitelinks, Video, Video carousel, Related searches",6
easy guitar songs,Informational,18100,"1.00,1.00,1.00,0.81,0.81,0.81,0.81,1.00,1.00,0.66,0.81,0.66",21,3.16,0.10,"Sitelinks, AI Overview, Image, Video, People also ask, Carousel, Discussions and forums, Related searches",10
easy piano songs,"Informational, Transactional",18100,"0.67,1.00,1.00,0.81,0.81,0.67,0.81,1.00,0.81,0.67,1.00,0.81",19,4.28,0.50,"Image, Image pack, Video, Video carousel, People also ask, Carousel, Related searches",5
mother son dance songs,Informational,18100,"0.81,0.66,0.43,0.66,0.66,0.81,0.81,1.00,0.81,0.81,0.81,1.00",21,0.04,0.48,"Sitelinks, AI Overview, Image, Video, Related searches",798000000
songs in the bar,Commercial,18100,"1.00,1.00,0.81,0.67,0.67,0.54,0.54,0.54,0.44,0.00,0.04,0.00",22,0.18,0.00,"Sitelinks, AI Overview, Image, Video, Video carousel, Carousel, Discussions and forums, Related searches",528000000
country love songs,"Informational, Commercial",14800,"0.82,0.82,0.67,0.82,1.00,0.67,0.67,0.82,0.82,0.82,0.67,0.55",29,0.03,0.09,"Sitelinks, Video, People also ask, Carousel, Discussions and forums, Related searches",1440000000
funeral songs,"Informational, Commercial",14800,"0.82,0.82,0.67,1.00,1.00,0.82,0.82,1.00,0.82,0.82,0.82,0.67",7,0.17,0.02,"Sitelinks, AI Overview, Video, Video carousel, Carousel, Discussions and forums, Related searches",221000000
karaoke songs list,Informational,14800,"0.67,0.67,1.00,0.67,0.54,0.54,0.67,0.81,0.67,0.81,0.54,0.44",25,0.09,0.07,"Sitelinks, Video, People also ask, Knowledge panel, Related searches",10
songs about friendship,Informational,14800,"0.81,0.81,1.00,0.67,0.81,0.81,0.81,1.00,0.67,0.54,0.67,0.67",28,0.03,0.11,"Sitelinks, AI Overview, Image, Video, Video carousel, Discussions and forums, Related searches",
100 greatest karaoke songs album songs,"Informational, Transactional",12100,"0.44,0.54,1.00,0.66,0.36,0.29,0.24,0.29,0.24,0.19,0.24,0.10",21,0.02,0.00,"Sitelinks, Video, Video carousel, People also ask, Knowledge panel, Discussions and forums, Related searches",17300000
easy songs to play on guitar,"Informational, Transactional",12100,"0.36,1.00,0.81,0.66,0.44,0.66,0.44,0.66,0.44,0.81,0.66,0.66",15,2.76,0.15,"Sitelinks, Image, Image pack, Video, Video carousel, People also ask, Carousel, Related searches",10
