Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
anxious attachment style,Informational,74000,"1.00,0.81,0.81,1.00,0.81,1.00,0.81,0.81,1.00,1.00,0.81,0.81",29,0.23,0.22,"Sitelinks, AI Overview, Image pack, Video, People also ask, Discussions and forums, Related searches, Things to know",10
disorganized attachment style,Informational,33100,"0.81,0.66,0.66,0.81,0.81,0.81,0.66,0.81,0.66,1.00,0.81,0.81",13,0.19,0.17,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Discussions and forums, Related searches, Things to know",10
old money style,Commercial,33100,"1.00,0.67,0.82,1.00,0.67,0.55,0.67,1.00,0.67,0.67,0.55,0.67",27,1.66,0.86,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, Related searches, Popular products",9
ha style,Informational,27100,"0.00,0.00,0.01,0.00,0.16,1.00,0.66,0.66,0.81,0.00,0.01,0.20",28,0.20,0.09,"Sitelinks, Image, Image pack, Video, People also ask, Related searches, See results about",1150000000
short cut style for women,Informational,22200,"0.81,0.81,0.81,1.00,0.81,1.00,1.00,0.00,0.00,0.00,0.00,0.00",22,0.06,0.12,"Sitelinks, Image, Image pack, Video, Video carousel, Related searches",7
apa style title page,Informational,18100,"1.00,0.67,1.00,0.36,0.44,0.44,0.44,0.36,0.20,0.36,0.15,0.24",27,2.50,0.00,"Sitelinks, Image pack, Video, Video carousel, Related searches",
tattoo styles,Informational,18100,"0.81,0.81,0.81,0.81,0.81,1.00,1.00,1.00,1.00,1.00,1.00,0.67",11,0.91,0.01,"Sitelinks, Image, Image pack, Video, People also ask, Related searches",10
communication styles,Informational,14800,"1.00,0.66,0.54,0.81,0.66,1.00,0.66,0.66,0.66,0.54,0.54,0.66",28,0.35,0.01,"AI Overview, Image pack, Video, People also ask, Related searches, Things to know",8
curly hair styles,Informational,14800,"0.55,0.82,0.67,0.82,0.82,1.00,0.82,0.67,0.67,0.67,0.82,1.00",29,0.26,0.09,"AI Overview, Image, Image pack, Video, People also ask, Related searches",8
hair style for man curly,Informational,14800,"0.00,0.00,0.00,0.00,0.00,0.00,0.81,0.36,1.00,0.00,0.02,0.24",24,0.49,0.00,"Sitelinks, Image, Image pack, Video, Video carousel, Related searches",612000000
hair styles for over 60s ladies,Informational,14800,"0.03,0.00,0.01,0.00,0.81,0.66,1.00,0.54,0.29,0.00,0.02,0.29",28,0.05,0.31,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, People also ask, Discussions and forums, Related searches",10
medela pump in style,"Informational, Transactional",14800,"0.67,0.67,0.67,0.67,0.54,0.67,0.67,0.67,0.67,0.67,1.00,0.67",24,0.58,0.97,"Sitelinks, Image pack, Video, Video carousel, Knowledge panel, Discussions and forums, Related searches, Popular products, Ads bottom",10
ranch style beans,Informational,14800,"0.81,0.81,0.81,1.00,0.81,0.81,0.81,0.81,0.66,0.66,0.54,0.66",28,0.28,0.96,"Sitelinks, Image, Video, Video carousel, Short videos, Recipes, Discussions and forums, Related searches, Popular products",45000000
style seat,Navigational,14800,"0.67,0.54,1.00,0.54,0.81,0.54,0.67,0.67,0.67,0.36,0.54,0.54",25,1.20,0.12,"Sitelinks, Image pack, Video, Related searches, Ads top, Ads bottom",6
2000s style,"Informational, Commercial",12100,"1.00,0.36,0.23,1.00,0.30,0.67,0.36,0.44,0.23,0.30,0.36,0.36",26,0.22,0.09,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, People also ask, Discussions and forums, Related searches, Popular products",4
dread styles for men,Informational,12100,"0.54,0.04,0.04,0.44,0.12,1.00,0.54,0.44,0.36,0.36,0.67,0.67",26,0.15,0.01,"Image, Image pack, Video, Related searches",9
goatee styles,"Informational, Commercial",12100,"1.00,0.81,0.54,0.81,0.54,0.67,0.54,0.67,0.67,0.67,0.67,0.67",25,0.53,0.02,"Sitelinks, Image, Image pack, Video, People also ask, Related searches",12200000
loc styles for women,Informational,12100,"0.44,0.36,0.44,0.10,0.54,0.81,0.66,0.66,0.54,0.54,1.00,0.54",26,0.11,0.01,"Image, Image pack, Video, Related searches, Popular products",9
long hair styles for men,"Informational, Commercial",12100,"1.00,0.55,0.45,0.55,0.23,0.18,0.16,0.36,0.23,0.30,0.36,0.16",25,0.47,0.00,"Sitelinks, Image, Image pack, Video, People also ask, Discussions and forums, Related searches",10
art baroque style,Informational,9900,"0.04,0.01,0.03,0.00,0.54,0.81,1.00,0.67,0.36,0.00,0.04,0.44",18,0.49,0.01,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches, Popular products",9
japandi style,"Informational, Commercial",9900,"1.00,1.00,0.81,1.00,0.67,0.81,0.67,0.81,0.81,0.81,0.67,0.67",20,0.53,1.00,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches, Popular products, Things to know, Ads bottom",8
loc styles,Informational,9900,"0.83,0.55,0.83,0.69,0.69,1.00,1.00,1.00,0.69,0.83,1.00,1.00",29,0.22,0.01,"Image, Image pack, Video, Video carousel, People also ask, Related searches, See results about, Things to know",54800000
loc styles for men,Informational,9900,"0.44,0.67,0.36,0.54,0.44,0.81,0.54,1.00,0.67,0.81,0.67,0.54",25,0.19,0.01,"Sitelinks, Image, Image pack, Video, Related searches",10
men braid styles,Informational,9900,"0.67,0.54,0.35,0.15,1.00,0.44,0.54,0.54,0.54,0.35,0.44,0.67",26,0.18,0.00,"Sitelinks, Image, Image pack, Video, Video carousel, Related searches",10
old style beer,Commercial,9900,"0.67,1.00,0.67,0.81,0.54,0.54,0.54,0.81,0.81,0.81,0.81,0.67",25,0.43,0.40,"Sitelinks, Image, Image pack, Video, People also ask, Related searches, Things to know",1210000000
ranch style house plans,Informational,9900,"1.00,1.00,0.82,1.00,0.24,0.29,0.29,0.44,0.82,0.82,0.44,0.82",27,0.36,1.00,"Sitelinks, Image, Image pack, Video, People also ask, Knowledge panel, Related searches, Ads bottom",39500000
short beard styles,Informational,9900,"1.00,1.00,0.67,1.00,0.81,1.00,0.81,1.00,1.00,1.00,1.00,0.67",26,0.39,0.01,"AI Overview, Image, Video, Video carousel, Discussions and forums, Related searches",291000000
st louis style ribs,Informational,9900,"0.54,0.36,0.36,0.36,0.36,0.54,0.66,1.00,0.81,1.00,1.00,0.66",28,0.23,0.38,"Sitelinks, AI Overview, Image, Video, Video carousel, People also ask, Knowledge panel, Recipes, Related searches, See results about, Things to know",10
style medieval,Informational,9900,"0.05,0.01,0.03,0.00,0.54,0.81,1.00,0.67,0.44,0.00,0.03,0.44",29,0.72,0.08,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches, Popular products, See results about",188000000
styling powder,"Informational, Commercial",9900,"1.00,0.81,0.81,0.81,0.67,0.81,0.67,0.81,0.54,0.44,0.67,0.54",10,0.65,0.98,"Sitelinks, Image, Video, Related searches, Popular products",74000000
what is new york style pizza,Informational,9900,"0.81,0.67,0.81,1.00,0.81,0.67,0.54,0.67,0.67,0.81,0.81,1.00",19,0.47,0.01,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches",10
80s style,"Informational, Commercial",8100,"1.00,0.54,0.35,0.54,0.54,0.54,0.54,0.67,0.44,0.44,0.35,0.54",27,0.15,0.54,"Sitelinks, AI Overview, Image, Video, Video carousel, Discussions and forums, Related searches, Popular products",10
