Keyword,Intent,Volume,Keyword Difficulty,CPC (USD)
google docs resume template,Informational,40500,29,1.87
traffic flow template,Informational,22200,11,0.33
obituary template,Informational,18100,26,0.92
birth plan template,Informational,14800,20,0.44
framer templates,Navigational,12100,25,3.74
trip itinerary template,Informational,9900,27,1.00
2 weeks notice template,Informational,8100,18,0.83
doctors note template,Informational,8100,29,1.83
avery template 5160,Navigational,6600,29,4.41
note from doctor template,Informational,6600,26,1.83
apa annotated bibliography template,Informational,5400,24,2.50
balance sheet template,Informational,5400,25,5.84
esa letter template,Informational,5400,17,1.70
sign in sheet template,"Navigational, Transactional",5400,29,0.99
sign up sheet template,"Navigational, Transactional",5400,19,1.28
snowflake template,"Informational, Transactional",5400,23,0.13
