Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
mchc blood test,Informational,165000,"0.67,0.54,0.54,0.67,0.67,0.67,0.67,1.00,0.81,1.00,0.81,0.67",29,0.02,0.00,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches, Things to know",10
ati testing,Navigational,110000,"1.00,0.81,0.54,1.00,1.00,0.81,1.00,0.67,0.67,0.67,0.81,1.00",24,0.16,0.22,"Sitelinks, Video, Video carousel, Knowledge panel, Related searches",155000000
love language test,"Informational, Commercial",110000,"0.81,0.69,1.00,0.69,0.56,1.00,0.69,0.69,0.44,0.81,0.56,0.25",22,0.68,0.59,"Sitelinks, Image, Image pack, Video, People also ask, Related searches, Ads top, Ads bottom",9
rdw blood test,Informational,110000,"0.81,0.81,0.67,0.81,0.81,1.00,1.00,0.81,0.81,0.81,0.81,0.81",23,0.98,0.00,"Sitelinks, AI Overview, Image, Video, People also ask, Related searches, Things to know",10
ast blood test,Informational,74000,"0.81,0.81,0.66,0.81,0.81,1.00,0.81,0.81,0.81,0.81,0.81,0.81",23,0.70,0.00,"Sitelinks, AI Overview, Image, Video, People also ask, Related searches, Things to know",10
gay test,Informational,74000,"0.83,1.00,0.83,1.00,1.00,0.83,0.83,0.67,0.56,0.37,0.37,0.44",23,0.68,0.02,"Sitelinks, Video, Related searches",10
rdw blood test high,Informational,49500,"0.66,0.66,0.66,0.81,0.66,0.81,1.00,1.00,1.00,0.81,0.81,0.81",25,0.96,0.00,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches, Things to know",10
what is mchc in blood test,Informational,49500,"0.66,0.54,0.44,0.54,0.54,0.54,0.66,0.66,0.66,0.81,0.66,1.00",26,0.02,0.01,"Sitelinks, AI Overview, Image, Video, People also ask, Related searches",10
litmus test,Informational,40500,"1.00,0.81,0.81,0.81,1.00,0.81,0.81,0.81,0.81,0.54,0.66,0.81",27,11.01,0.00,"Sitelinks, AI Overview, Instant answer, Image pack, Video, Knowledge panel, Related searches",10
well water testing near me,Transactional,40500,"0.16,0.10,0.44,0.54,0.36,0.54,0.66,0.81,0.81,1.00,0.81,0.81",27,4.38,0.49,"Sitelinks, People also ask, Local pack, Related searches, Ads bottom",10
first response pregnancy test,"Informational, Transactional",27100,"1.00,0.82,0.82,1.00,0.82,0.82,0.82,1.00,1.00,1.00,1.00,1.00",21,0.95,0.09,"Sitelinks, Image, Image pack, Video, Knowledge panel, Discussions and forums, Related searches, Popular products",10
how soon can you take a pregnancy test,Informational,27100,"0.66,0.66,0.81,0.81,0.66,1.00,0.66,0.66,0.66,0.66,0.66,0.66",20,0.43,0.10,"Sitelinks, AI Overview, Video, Video carousel, Discussions and forums, Related searches",10
mold test kit,Commercial,27100,"0.81,0.66,0.66,0.66,0.54,1.00,0.66,0.81,0.66,0.66,0.81,0.81",16,0.90,0.48,"Sitelinks, Image, Image pack, Video, Discussions and forums, Related searches, Popular products",9
national entrance screening test,"Informational, Commercial",27100,"0.00,0.00,0.00,0.00,0.16,1.00,0.55,0.55,0.67,0.00,0.01,0.30",23,2.36,0.63,"Sitelinks, Video, Video carousel, People also ask, Knowledge panel, Related searches, Things to know",95700000
albumin blood test,Informational,22200,"0.81,0.66,0.66,0.81,0.81,1.00,1.00,0.81,0.81,0.81,0.81,0.81",29,0.67,0.00,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches",10
chivalry test,Informational,22200,"0.02,0.00,0.01,0.00,0.44,0.36,0.81,0.36,1.00,0.00,0.02,0.24",10,3.66,0.14,"Sitelinks, Video, Video carousel, People also ask, Related searches",3550000
dutch test,Navigational,22200,"0.66,1.00,0.54,1.00,1.00,0.81,1.00,1.00,1.00,1.00,0.81,0.54",13,0.87,0.29,"Sitelinks, Image, Video, Video carousel, People also ask, Related searches",10
food sensitivity test,Commercial,22200,"0.83,0.69,0.83,0.83,0.83,1.00,0.83,1.00,0.83,0.83,0.83,0.69",28,2.22,0.89,"Sitelinks, AI Overview, Image, Video, People also ask, Discussions and forums, Related searches, Popular products, Things to know, Ads bottom",10
