Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features
poly track,"Informational, Transactional",135000,"0.20,0.24,0.16,0.66,0.66,0.66,0.66,0.66,0.10,0.03,0.36,1.00",22,0.06,0.00,"Image, Image pack, Video, Video carousel, Related searches"
speedx tracking,Navigational,74000,"0.03,0.07,0.10,0.07,0.10,0.44,1.00,0.44,0.30,1.00,0.66,0.81",20,0.33,0.01,"Sitelinks, Video, Related searches"
lbc tracking,"Informational, Transactional",60500,"0.66,0.81,1.00,0.66,0.66,0.81,0.66,0.66,0.66,0.66,0.81,0.81",29,0.00,0.00,"Sitelinks, Video, People also ask, Related searches"
uniuni tracking,"Informational, Transactional",60500,"0.24,0.20,0.81,0.54,0.44,0.66,1.00,0.44,0.44,0.81,0.81,0.81",18,0.45,0.00,"Sitelinks, Image, Image pack, Video, Related searches"
rivals tracker,Navigational,40500,"0.00,0.00,0.02,0.24,1.00,1.00,0.67,0.67,0.30,0.24,0.45,0.45",22,1.27,0.00,"Sitelinks, Image, Image pack, Video, Related searches"
dayton freight tracking,"Informational, Transactional",27100,"0.81,0.66,0.66,1.00,0.81,0.81,0.81,1.00,0.81,1.00,1.00,1.00",22,10.80,0.00,"Sitelinks, Related searches"
dhgate tracking,"Informational, Transactional",27100,"0.36,0.24,0.36,0.44,0.44,0.81,0.54,1.00,0.54,0.36,0.54,0.29",27,1.46,0.05,"Sitelinks, Video, Related searches"
instagram follower tracker,Informational,27100,"0.29,0.36,0.29,0.44,0.29,0.36,0.36,0.66,0.66,0.81,0.81,1.00",24,0.93,0.04,"Sitelinks, Video, Video carousel, Related searches, Ads bottom"
moose tracks ice cream,"Informational, Transactional",27100,"0.54,0.44,0.36,0.44,0.54,0.54,0.54,0.66,1.00,1.00,0.81,0.54",14,1.28,0.87,"Sitelinks, AI Overview, Image pack, Video, Knowledge panel, Related searches, Popular products"
track pants,"Informational, Transactional",27100,"0.81,0.81,0.81,0.81,0.81,0.81,0.67,0.67,0.67,0.67,0.81,1.00",27,1.44,1.00,"Sitelinks, Image, Image pack, Video, Related searches, Popular products"
track saw,"Informational, Commercial",27100,"1.00,0.81,1.00,0.81,0.67,0.67,0.81,0.81,0.67,0.81,0.67,0.67",19,0.47,1.00,"Sitelinks, Image, Video, Video carousel, People also ask, Related searches, Popular products, Things to know"
tracker bus tracker,"Informational, Commercial",27100,"0.00,0.00,0.01,0.00,0.16,1.00,0.66,0.66,0.81,0.00,0.00,0.00",28,0.89,0.00,"Sitelinks, Image, Video, Related searches"
averitt tracking,Navigational,22200,"1.00,0.67,0.54,0.81,0.67,0.54,0.67,0.54,0.54,0.67,0.67,0.67",17,3.74,0.00,"Sitelinks, Image pack, Video, Related searches"
pitt ohio tracking,"Navigational, Transactional",22200,"1.00,0.81,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",26,2.84,0.00,"Sitelinks, Video, Related searches"
track hawk,Transactional,22200,"1.00,0.82,1.00,0.82,0.82,1.00,0.82,0.82,0.67,0.67,0.67,0.67",25,1.52,0.82,"Sitelinks, AI Overview, Image, Image pack, Video, Related searches"
js express tracking,"Informational, Commercial",18100,"0.54,0.44,1.00,0.67,0.24,0.54,0.54,0.54,0.54,0.36,0.29,0.36",20,0.08,0.07,"Video, Related searches"
poly track unblocked,Informational,18100,"0.44,0.29,0.29,0.16,0.20,0.36,0.81,0.81,0.10,0.01,0.36,1.00",28,0.00,0.00,"Sitelinks, Image, Related searches"
rl carriers tracking,Navigational,18100,"0.44,0.56,0.56,0.44,0.30,0.37,0.37,0.44,0.37,0.44,0.37,1.00",29,3.89,0.00,"Sitelinks, Video, Related searches"
ru tracker,Informational,18100,"0.66,0.66,0.66,0.54,0.24,0.16,0.44,0.66,0.36,1.00,0.36,0.05",29,1.49,0.00,"Sitelinks, Video, Related searches"
track lighting,Commercial,18100,"0.82,0.82,0.82,1.00,0.82,0.82,0.66,0.66,0.66,0.82,0.82,0.82",28,0.89,1.00,"Sitelinks, Image, Image pack, Video, Video carousel, People also ask, Knowledge panel, Related searches, Things to know"
averitt express tracking,Navigational,14800,"0.55,0.67,1.00,0.67,1.00,0.82,0.82,0.82,0.67,0.82,0.67,1.00",24,3.74,0.00,"Sitelinks, Video, Related searches"
destiny tracker,Navigational,14800,"0.65,0.65,0.45,0.55,0.80,1.00,0.55,0.80,0.55,0.65,0.55,0.45",22,0.00,0.00,"Sitelinks, Image, Video, Related searches, See results about"
dhl inside track,"Informational, Transactional",14800,"0.00,0.00,0.00,0.00,0.00,1.00,0.66,0.00,0.00,0.00,0.00,0.00",27,0.10,0.00,"Sitelinks, Image, Video, Knowledge panel, Related searches"
estes express tracking,"Navigational, Transactional",14800,"0.08,0.44,0.24,0.44,0.20,0.29,0.16,0.24,0.29,0.36,0.20,1.00",28,4.27,0.00,"Sitelinks, Knowledge panel, Related searches"
r & l transfer inc tracking,"Informational, Transactional",14800,"0.00,0.00,0.01,0.00,0.16,1.00,0.66,0.00,0.00,0.00,0.00,0.29",28,3.89,0.00,"Sitelinks, Video, Related searches, Ads top, Ads bottom"
a duie pyle tracking,"Navigational, Transactional",12100,"0.81,0.66,0.81,0.66,0.66,0.66,0.81,0.66,0.81,1.00,0.81,1.00",26,7.12,0.00,"Sitelinks, Video, Related searches"
call of duty tracker,Informational,12100,"0.66,1.00,0.54,0.36,0.29,0.36,0.36,0.24,0.36,0.36,0.36,0.05",23,0.00,0.00,"Sitelinks, Image, Image pack, Video, Related searches"
canada post tracking canada post tracking canada post tracking,"Navigational, Transactional",12100,"0.04,0.01,0.02,0.00,1.00,0.81,1.00,0.67,0.36,0.00,0.03,0.29",26,0.10,0.00,"Sitelinks, Video, Related searches, See results about"
cast of wrong side of the tracks,Informational,12100,"0.02,0.02,0.05,0.13,1.00,0.16,0.07,0.05,0.04,0.01,0.05,0.02",29,0.00,0.00,"Sitelinks, Image, Image pack, Video, People also ask, Knowledge panel, Related searches"
executive tracks associates,"Informational, Transactional",12100,"0.00,0.00,0.00,0.00,0.00,0.16,1.00,0.44,0.36,0.00,0.02,0.20",23,3.07,0.16,"Sitelinks, Video, Knowledge panel, Related searches"
forward air tracking,"Informational, Transactional",12100,"1.00,0.55,0.82,0.82,0.67,0.55,0.67,0.67,0.67,0.67,0.67,0.67",26,9.67,0.00,"Sitelinks, Video, Related searches"
jcex tracking,"Informational, Transactional",12100,"0.03,0.02,0.16,0.13,0.10,0.13,0.19,1.00,0.81,0.81,0.66,0.81",9,0.02,0.03,"Sitelinks, Video, Related searches"
madleen tracker,"Informational, Transactional",12100,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00",25,0.00,0.00,"Sitelinks, Image, Video, People also ask, Related searches"
mata bus tracker,Informational,12100,"1.00,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,1.00,0.81",21,0.00,0.00,"Video, People also ask, Related searches"
mata tracker,Informational,12100,"0.54,0.44,0.54,0.66,0.54,0.54,0.54,0.66,0.66,0.81,0.81,1.00",18,6.03,0.00,"Video, People also ask, Related searches"
