Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
instagram profile viewer,"Informational, Commercial",74000,"0.66,0.81,0.66,0.81,0.81,0.54,0.66,0.81,0.66,1.00,0.66,1.00",20,0.02,0.01,"Video, Related searches",492000000
twitter viewer,Informational,40500,"1.00,1.00,1.00,0.81,0.81,0.81,0.81,0.81,0.66,0.81,0.81,0.66",26,2.34,0.00,"Sitelinks, Video, Related searches",5050000000
point of view,Informational,27100,"0.45,0.36,0.36,0.36,0.36,0.82,0.67,0.67,0.55,0.36,0.67,1.00",28,0.16,0.01,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches, Things to know",10
3rd person point of view,Informational,18100,"0.36,0.36,0.67,0.81,0.67,0.81,1.00,0.81,0.44,0.44,0.54,1.00",21,0.02,0.01,"Sitelinks, Image pack, Video, Video carousel, Related searches",10
how much does youtube pay per view,Informational,18100,"0.54,0.66,0.81,1.00,0.81,0.81,0.81,0.81,1.00,1.00,1.00,0.66",23,0.23,0.01,"Sitelinks, AI Overview, Video, Related searches",9
how to view archived emails in gmail,Informational,18100,"0.81,0.67,0.81,0.67,0.81,0.67,0.44,0.67,1.00,0.67,1.00,1.00",21,0.09,0.01,"Sitelinks, AI Overview, Video, Video carousel, Related searches",9
first person point of view,Informational,14800,"0.66,0.55,0.55,0.55,0.55,0.55,1.00,0.66,0.36,0.36,0.66,0.82",21,0.02,0.00,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Related searches",10
ig profile viewer,Informational,14800,"0.67,0.67,0.54,0.67,0.67,1.00,0.67,0.81,1.00,0.81,0.81,0.81",16,0.06,0.01,"Sitelinks, Video, Related searches",729000000
instagram follower viewer,"Informational, Commercial",14800,"0.04,0.08,0.19,0.36,0.44,0.54,0.66,0.81,0.81,1.00,1.00,1.00",21,0.74,0.00,"Sitelinks, Image pack, Video, Related searches",10
prairie view agricultural and mechanical university,"Navigational, Commercial",14800,"0.00,0.01,0.02,0.00,1.00,0.66,1.00,0.66,0.66,0.00,0.04,0.36",24,5.76,0.01,"Sitelinks, Image, Video, Video carousel, Local pack, Related searches",10
city view,Commercial,12100,"0.81,0.81,1.00,0.81,0.81,0.81,1.00,0.67,0.81,0.81,0.67,0.67",21,0.89,0.04,"Sitelinks, Image, Image pack, Video, Related searches",10
city view apartments,Commercial,12100,"1.00,0.82,0.82,1.00,0.67,0.67,0.82,1.00,0.82,0.55,0.67,0.44",28,0.96,0.14,"Sitelinks, Image, Video, Local pack, Related searches",897000000
manhattan view from statue of liberty,"Informational, Transactional",12100,"0.00,0.00,0.02,0.00,0.66,0.44,1.00,0.29,0.00,0.00,0.00,0.00",24,0.31,0.18,"Sitelinks, Image, Image pack, Video, Video carousel, Related searches",8
omniscient point of view,Informational,12100,"0.20,0.20,0.16,0.20,0.13,0.16,0.29,1.00,0.08,0.08,0.16,0.36",26,0.04,0.00,"Sitelinks, AI Overview, Video, Related searches",9860000
birds eye view,Informational,9900,"0.67,0.55,0.55,0.67,0.55,1.00,0.82,0.82,0.55,0.67,0.55,1.00",28,1.04,0.00,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, Knowledge panel, Related searches",9
different pointe of view,Informational,9900,"0.54,0.66,0.81,0.81,0.81,0.81,0.81,0.54,0.66,1.00,0.54,0.66",16,0.47,0.06,"Image, Image pack, Video, People also ask, Knowledge panel, Related searches",10
doppio zero mountain view,Informational,9900,"0.19,0.36,1.00,0.29,0.16,0.44,0.36,0.54,0.19,0.36,0.24,0.13",28,1.33,0.05,"Image, Video, Knowledge panel, Related searches",10
free tiktok views,Informational,9900,"0.66,0.36,0.66,0.66,0.66,0.54,0.44,0.54,0.54,0.81,1.00,1.00",16,1.07,0.01,"Sitelinks, Video, People also ask, Related searches",3200000000
the view hotel,"Informational, Navigational",9900,"0.54,1.00,0.54,0.66,0.66,0.66,0.81,0.44,0.81,0.66,0.44,0.81",27,0.46,0.15,"Sitelinks, Image, Video, People also ask, Hotels pack, Related searches",2450000000
valley view golf course,Commercial,9900,"0.54,0.24,0.10,0.08,0.13,0.29,0.54,0.66,1.00,1.00,0.44,0.66",18,1.14,0.02,"Sitelinks, Image pack, Video, Local pack, Related searches",10
view ig stories anonymously,Informational,9900,"0.29,0.29,0.44,0.29,0.55,0.82,0.67,0.67,0.55,0.82,1.00,0.67",26,0.15,0.00,"Sitelinks, Video, Video carousel, Related searches",37700000
view instagram without account,Informational,9900,"0.55,0.55,0.55,0.66,0.82,1.00,0.66,0.82,0.82,1.00,0.82,0.82",24,0.04,0.01,"Sitelinks, Video, Related searches",3900000000
bay view,"Informational, Commercial",8100,"1.00,0.54,0.81,0.81,0.67,0.19,0.54,0.67,1.00,1.00,0.81,0.81",26,0.55,0.07,"Sitelinks, Image, Image pack, Video, Video carousel, Related searches, See results about",8
city of view,Informational,8100,"0.05,0.01,0.04,0.00,0.66,1.00,0.81,0.81,0.00,0.00,0.04,0.36",19,1.02,0.04,"Sitelinks, Image pack, Video, Related searches",7110000000
how much does tiktok pay per view,Informational,8100,"0.29,0.29,0.44,0.81,0.54,0.66,0.66,0.81,1.00,0.66,0.81,0.66",29,0.28,0.01,"AI Overview, Video, People also ask, Related searches",635000000
